日期,新增确诊,确诊总数,治愈数,死亡数
02.19,2,2,0,0
02.20,3,5,0,2
02.21,13,18,0,4
02.22,10,28,0,4
02.23,15,43,0,8
02.24,0,61,0,12
02.25,35,95,0,16
02.26,44,139,0,19
02.27,106,245,49,26
02.28,143,388,49,34
02.29,205,593,123,43
03.01,0,593,123,43
03.02,908,1501,175,66
03.03,835,2336,435,77
03.04,586,2922,435,92
03.05,591,3513,435,107
03.06,1234,4747,739,124
03.07,1067,5823,739,145
03.08,743,6566,2134,194
03.09,1338,7161,2394,237
03.10,881,8042,2731,291
03.11,958,9000,2959,354
03.12,1075,10075,3276,429
03.13,1289,11364,3529,514
03.14,1365,12729,4339,611
03.15,2574,13938,4590,724
03.16,1053,14991,4996,853
03.17,1178,16169,5389,988
03.18,1192,17361,5710,1135
03.19,1046,18407,5979,1284
03.20,1237,19644,6745,1433
03.21,966,20610,7635,1556
03.22,1028,21638,7913,1685
03.23,1411,23049,8376,1812
03.24,1762,24811,8913,1934
03.25,2206,27017,9625,2077
03.26,2389,29406,10457,2234
03.27,2926,32332,11133,2378
03.28,3076,35408,11679,2517
03.29,2901,38309,12391,2640
03.30,3186,41495,13911,2757
03.31,3111,44606,14656,2898
04.01,2987,47593,15473,3036
04.02,2875,50468,16711,3160
04.03,2715,53183,17935,3294
04.04,2560,55743,19736,3452
04.05,2483,58226,19736,3603
04.06,2274,60500,24236,3739
04.07,2089,62589,27039,3872
04.08,1997,64586,27039,3993
04.09,1634,66220,32309,4110
04.10,1972,68192,35465,4232
04.11,1837,70029,41947,4357
04.12,1657,71686,43894,4474
04.13,1617,73303,45983,4585
04.14,1574,74877,48129,4683
04.15,1512,76389,49933,4777
04.16,1606,77995,52229,4869
04.17,1499,79494,54064,4958
04.18,1374,80868,55987,5031
04.19,1343,82211,57023,5118
04.20,1294,83505,59273,5209
04.21,1297,84802,60965,5297
04.22,1194,85996,63113,5391
04.23,1030,87026,64843,5481
04.24,1168,88194,66599,5574
04.25,1134,89328,68193,5650
04.26,1153,90481,69657,5710
04.27,991,91472,70933,5806
04.28,1112,92584,72439,5877
04.29,1073,93657,73791,5957
04.30,983,94640,75103,6028
05.01,1006,95646,76318,6091
05.02,802,96448,77350,6156
05.03,0,96448,77350,6156
05.04,2199,98647,79379,6277
05.05,1323,99970,80475,6340
05.06,1680,101650,81587,6418
05.07,1485,103135,82744,6486
05.08,1556,104691,83837,6541
05.09,1529,106220,85064,6589
05.10,1383,107603,86143,6640
05.11,1683,109286,87422,6685
05.12,1481,110767,88357,6733
05.13,1958,112725,89428,6783
05.14,1808,114533,90539,6854
05.15,2102,116635,91836,6902
05.16,1757,118392,93147,6937
05.17,1806,120198,94464,6988
05.18,2294,122492,95661,7057
05.19,2111,124603,97173,7119
05.20,2346,126949,98808,7183
05.21,2392,129341,100564,7249
05.22,2311,131652,102276,7300
05.23,1869,133521,104072,7359
05.24,2180,135701,105801,7417
05.25,2023,137724,107713,7451
05.26,1787,139511,109437,7508
05.27,2080,141591,111176,7564
05.28,2258,143849,112988,7627
05.29,2819,146668,114931,7677
05.30,2282,148950,116827,7734
05.31,2516,151466,118848,7797
06.01,2979,154445,121004,7878
06.02,3117,157562,123077,7942
06.03,0,157562,123077,7942
06.04,6708,164270,127485,8071
06.05,2886,167156,129741,8134
06.06,2269,169425,132038,8209
06.07,2364,171789,134349,8281
06.08,2043,173832,136360,8351
06.09,2095,175927,138457,8425
06.10,0,175927,138457,8425
06.11,4229,180156,142663,8584
06.12,2369,182525,144649,8659
06.13,2430,184955,146748,8730
06.14,2472,187427,148674,8837
06.15,2449,189876,150590,8950
06.16,2563,192439,152675,9065
06.17,2612,195051,154812,9185
06.18,0,195051,154812,9185
