日期,新增确诊,确诊总数,治愈数,死亡数
03.24,1,1,0,0
03.25,0,1,0,0
03.26,1,2,0,0
03.27,0,2,0,0
03.28,1,2,0,0
03.29,0,2,0,0
03.30,0,2,0,0
03.31,1,3,0,0
04.01,0,3,0,0
04.02,0,3,0,0
04.03,0,3,0,0
04.04,1,4,0,0
04.05,1,5,0,0
04.06,0,5,0,1
04.07,2,7,0,1
04.08,1,8,0,1
04.09,0,8,0,1
04.10,2,10,0,1
04.11,0,10,0,2
04.12,3,13,0,2
04.13,1,14,0,2
04.14,4,18,0,2
04.15,0,18,0,2
04.16,0,18,0,2
04.17,0,18,0,2
04.18,0,18,0,2
04.19,0,18,0,2
04.20,0,18,2,2
04.21,0,18,2,2
04.22,0,18,2,2
04.23,0,18,5,2
04.24,0,18,5,2
04.25,0,18,5,2
04.26,0,18,5,2
04.27,0,18,5,2
04.28,0,18,6,2
04.29,0,18,9,2
04.30,0,18,9,2
05.01,0,18,13,2
05.02,0,18,13,2
05.03,0,18,13,2
05.04,0,18,13,2
05.05,0,18,14,2
05.06,0,18,16,2
05.07,0,18,16,2
05.08,0,18,16,2
05.09,0,18,16,2
05.10,0,18,16,2
05.11,0,18,16,2
05.12,0,18,16,2
05.13,0,18,16,2
05.14,0,18,16,2
05.15,0,18,16,2
05.16,0,18,16,2
05.17,0,18,16,2
05.18,0,18,16,2
05.19,0,18,16,2
05.20,0,18,16,2
05.21,0,18,16,2
05.22,0,18,16,2
05.23,0,18,16,2
05.24,0,18,16,2
05.25,0,18,16,2
05.26,0,18,16,2
05.27,0,18,16,2
05.28,0,18,16,2
05.29,0,18,16,2
05.30,0,18,16,2
05.31,0,18,16,2
06.01,0,18,16,2
06.02,0,18,16,2
06.03,0,18,16,2
06.04,0,18,16,2
06.05,0,18,16,2
06.06,1,19,16,2
06.07,0,19,16,2
06.08,0,19,16,2
06.09,0,19,16,2
06.10,1,20,16,2
06.11,0,20,16,2
06.12,0,20,16,2
06.13,0,20,16,2
06.14,0,20,16,2
06.15,1,21,16,2
06.16,0,21,16,2
06.17,1,22,16,2
06.18,0,22,16,2
