日期,新增确诊,确诊总数,治愈数,死亡数
03.20,1,1,0,0
03.21,2,3,0,0
03.22,0,3,0,0
03.23,0,3,0,0
03.24,2,3,0,1
03.25,1,4,0,1
03.26,0,4,0,1
03.27,1,5,0,1
03.28,2,5,0,1
03.29,1,6,0,1
03.30,0,6,0,1
03.31,0,6,0,1
04.01,0,6,0,1
04.02,0,6,0,1
04.03,0,6,0,1
04.04,1,7,0,1
04.05,0,7,0,1
04.06,0,7,1,1
04.07,0,7,1,1
04.08,0,7,1,1
04.09,0,7,1,1
04.10,0,7,1,1
04.11,1,8,1,1
04.12,0,8,1,1
04.13,2,10,1,1
04.14,0,10,1,1
04.15,46,56,1,1
04.16,0,56,1,1
04.17,0,56,1,1
04.18,2,58,1,1
04.19,3,61,1,1
04.20,6,67,1,1
04.21,0,67,1,1
04.22,1,68,1,1
04.23,14,82,1,1
04.24,6,88,1,1
04.25,2,90,1,1
04.26,16,106,1,1
04.27,3,109,1,1
04.28,5,114,2,1
04.29,0,114,2,1
04.30,-1,113,2,1
05.01,8,121,4,1
05.02,1,122,18,1
05.03,30,152,18,2
05.04,23,175,37,2
05.05,11,186,37,2
05.06,5,191,38,2
05.07,27,218,38,2
05.08,12,230,44,2
05.09,0,230,44,2
05.10,6,236,56,2
05.11,10,246,56,2
05.12,21,267,58,2
05.13,22,289,61,2
05.14,26,315,67,2
05.15,11,326,67,2
05.16,0,326,67,2
05.17,2,328,84,3
05.18,0,328,84,3
05.19,0,328,85,3
05.20,21,349,85,3
05.21,0,349,85,3
05.22,7,356,95,3
05.23,15,371,142,3
05.24,0,371,142,3
05.25,19,390,155,3
05.26,0,390,155,3
05.27,0,390,155,4
05.28,0,390,155,4
05.29,0,390,155,4
05.30,31,421,167,4
05.31,0,421,167,4
06.01,14,435,193,4
06.02,31,466,237,5
06.03,0,466,237,5
06.04,36,502,239,5
06.05,0,502,239,5
06.06,40,542,240,5
06.07,0,542,240,5
06.08,25,567,266,5
06.09,18,585,270,5
06.10,0,585,270,5
06.11,72,657,294,5
06.12,40,697,294,6
06.13,0,697,294,6
06.14,53,750,301,6
06.15,9,759,301,6
06.16,1,760,354,7
06.17,31,791,354,7
06.18,0,791,354,7
