日期,新增确诊,确诊总数,治愈数,死亡数
01.31,0,2,0,0
02.01,0,2,0,0
02.02,0,2,0,0
02.03,0,2,0,0
02.04,0,2,0,0
02.05,0,2,0,0
02.06,0,2,0,0
02.07,0,2,0,0
02.08,0,2,0,0
02.09,0,2,0,0
02.10,0,2,0,0
02.11,0,2,0,0
02.12,0,2,0,0
02.13,0,2,0,0
02.14,0,2,0,0
02.15,0,2,0,0
02.16,0,2,0,0
02.17,0,2,0,0
02.18,0,2,2,0
02.19,0,2,2,0
02.20,0,2,2,0
02.21,0,2,2,0
02.22,0,2,2,0
02.23,0,2,2,0
02.24,0,2,2,0
02.25,0,2,2,0
02.26,0,2,2,0
02.27,3,5,2,0
02.28,0,5,2,0
02.29,0,5,2,0
03.01,0,5,2,0
03.02,1,6,2,0
03.03,0,6,2,0
03.04,0,6,2,0
03.05,1,7,2,0
03.06,6,13,2,0
03.07,4,17,2,0
03.08,0,17,2,0
03.09,3,20,3,0
03.10,0,20,3,0
03.11,0,20,3,0
03.12,8,28,3,0
03.13,6,34,8,0
03.14,14,59,8,0
03.15,33,60,8,0
03.16,33,93,8,0
03.17,21,114,8,0
03.18,33,147,8,0
03.19,85,199,8,1
03.20,54,253,8,1
03.21,53,306,16,1
03.22,367,367,16,1
03.23,71,438,17,1
03.24,60,498,17,1
03.25,160,658,29,1
03.26,182,840,38,2
03.27,196,1036,45,3
03.28,228,1264,45,3
03.29,270,1534,64,8
03.30,302,1836,66,9
03.31,501,2337,121,17
04.01,440,2777,190,24
04.02,771,3548,235,30
04.03,601,4149,281,34
04.04,582,4731,333,43
04.05,658,5389,355,45
04.06,954,6343,406,47
04.07,1154,7497,494,58
04.08,1175,8672,580,63
04.09,1459,10131,698,76
04.10,1786,11917,795,94
04.11,1667,13584,1045,106
04.12,2186,15770,1291,130
04.13,2558,18328,1470,148
04.14,2774,21102,1694,170
04.15,3388,24490,1986,198
04.16,3448,27938,2304,232
04.17,4070,32008,2590,273
04.18,4785,36793,3057,313
04.19,6060,42853,3291,361
04.20,4268,47121,3446,405
04.21,5642,52763,3873,456
04.22,5236,57999,4420,513
04.23,4774,62773,4891,555
04.24,5849,68622,5568,615
04.25,5966,74588,6250,681
04.26,6361,80949,6767,747
04.27,6198,87147,7346,794
04.28,6411,93558,8456,867
04.29,5841,99399,10286,972
04.30,7099,106498,11619,1073
05.01,7933,114431,13220,1169
05.02,9623,124054,15013,1222
05.03,0,124054,15013,1222
05.04,21214,145268,18095,1356
05.05,10102,155370,19865,1451
05.06,10559,165929,21327,1537
05.07,11231,177160,23803,1625
05.08,10699,187859,26608,1723
05.09,10817,198676,31916,1827
05.10,11012,209688,34306,1915
05.11,11656,221344,39801,2009
05.12,10899,232243,43512,2116
05.13,10028,242271,48003,2212
05.14,9974,252245,53530,2305
05.15,10598,262843,58226,2418
05.16,9200,272043,63166,2537
05.17,9709,281752,67373,2631
05.18,8926,290678,70209,2722
05.19,9263,299941,76130,2837
05.20,8764,308705,85392,2972
05.21,8849,317554,92681,3099
05.22,8894,326448,99825,3249
05.23,9434,335882,107936,3388
05.24,8599,344481,113299,3541
05.25,8946,353427,118798,3633
05.26,8915,362342,131129,3807
05.27,8338,370680,142208,3968
05.28,8371,379051,150993,4142
05.29,8572,387623,159257,4374
05.30,8952,396575,167469,4555
05.31,9268,405843,171883,4693
06.01,9035,414878,175877,4855
06.02,8308,423186,186602,5031
06.03,0,423186,186602,5031
06.04,17352,440538,204197,5376
06.05,8718,449256,212237,5520
06.06,8846,458102,220935,5717
06.07,8971,467073,226272,5851
06.08,8970,476043,230226,5963
06.09,8587,484630,241917,6133
06.10,8393,493023,252295,6350
06.11,8777,501800,260649,6522
06.12,8961,510761,268862,6705
06.13,8697,519458,274128,6819
06.14,8809,528267,279536,6938
06.15,8217,536484,284021,7081
06.16,8241,544725,293780,7274
06.17,7824,552549,303800,7468
