日期,新增确诊,确诊总数,治愈数,死亡数
03.08,4,4,0,0
03.09,0,4,0,0
03.10,0,4,0,0
03.11,2,6,0,0
03.12,1,7,0,0
03.13,16,23,0,1
03.14,7,30,0,1
03.15,11,41,0,2
03.16,10,51,0,2
03.17,16,67,0,2
03.18,14,81,0,2
03.19,11,92,0,2
03.20,18,110,0,2
03.21,17,127,0,2
03.22,36,163,3,3
03.23,24,187,3,3
03.24,14,201,3,3
03.25,17,218,3,3
03.26,24,242,4,3
03.27,22,264,4,3
03.28,49,313,4,3
03.29,33,346,14,8
03.30,8,354,15,8
03.31,45,399,17,8
04.01,23,422,20,9
04.02,35,457,25,10
04.03,28,485,30,14
04.04,18,503,34,17
04.05,28,531,37,20
04.06,10,541,39,21
04.07,24,565,42,22
04.08,28,593,42,24
04.09,18,611,48,24
04.10,24,635,54,25
04.11,13,648,62,26
04.12,27,675,68,29
04.13,10,685,71,32
04.14,28,713,81,35
04.15,34,747,105,36
04.16,53,800,122,38
04.17,46,846,141,41
04.18,32,878,153,41
04.19,16,894,161,42
04.20,35,929,167,43
04.21,37,966,170,45
04.22,58,1024,174,49
04.23,73,1097,190,52
04.24,91,1188,193,54
04.25,59,1247,197,55
04.26,53,1300,205,56
04.27,48,1348,206,56
04.28,51,1399,222,58
04.29,48,1447,243,64
04.30,59,1506,266,66
05.01,35,1541,276,66
05.02,53,1594,287,72
05.03,0,1594,287,72
05.04,58,1652,321,78
05.05,52,1704,342,80
05.06,74,1778,360,84
05.07,51,1829,384,84
05.08,43,1872,401,86
05.09,49,1921,422,90
05.10,44,1965,444,91
05.11,25,1990,461,93
05.12,33,2023,476,95
05.13,46,2069,499,96
05.14,31,2100,531,99
05.15,38,2138,545,102
05.16,37,2175,573,105
05.17,36,2211,598,108
05.18,24,2235,612,110
05.19,24,2259,646,112
05.20,33,2292,684,116
05.21,39,2331,727,120
05.22,41,2372,769,125
05.23,36,2408,808,126
05.24,19,2427,840,130
05.25,6,2433,862,130
05.26,10,2443,880,130
05.27,17,2460,912,133
05.28,17,2477,965,134
05.29,8,2485,1016,136
05.30,14,2499,1064,139
05.31,14,2513,1074,140
06.01,6,2519,1090,140
06.02,19,2538,1123,144
06.03,0,2538,1123,144
06.04,47,2585,1322,147
06.05,42,2627,1390,159
06.06,41,2668,1528,160
06.07,43,2711,1545,160
06.08,16,2727,1548,160
06.09,83,2810,1587,164
06.10,79,2889,1623,167
06.11,104,2993,1664,167
06.12,93,3086,1688,168
06.13,105,3191,1716,172
06.14,75,3266,1723,172
06.15,24,3290,1730,174
06.16,51,3341,1784,176
06.17,112,3453,1817,181
06.18,0,3453,1817,181
