日期,新增确诊,确诊总数,治愈数,死亡数
02.25,0,1,0,0
02.26,0,1,0,0
02.27,2,3,0,0
02.28,0,3,0,0
02.29,2,5,0,0
03.01,2,7,0,0
03.02,1,8,0,0
03.03,1,9,0,0
03.04,0,9,0,0
03.05,1,10,0,0
03.06,1,11,0,0
03.07,1,12,0,0
03.08,0,12,0,0
03.09,0,12,0,0
03.10,1,13,0,0
03.11,3,16,0,0
03.12,3,19,0,0
03.13,12,31,2,0
03.14,6,37,3,0
03.15,9,46,3,0
03.16,0,46,3,0
03.17,11,57,4,0
03.18,0,57,4,0
03.19,24,81,4,0
03.20,29,110,5,1
03.21,20,130,5,1
03.22,76,206,5,1
03.23,48,254,5,1
03.24,315,315,5,1
03.25,67,382,5,1
03.26,60,442,5,1
03.27,53,495,5,1
03.28,91,586,37,3
03.29,127,713,52,6
03.30,127,713,55,6
03.31,154,867,67,6
04.01,96,963,73,6
04.02,48,1011,88,7
04.03,68,1079,92,8
04.04,47,1126,119,12
04.05,56,1182,125,15
04.06,40,1222,130,16
04.07,60,1282,167,18
04.08,61,1343,179,19
04.09,64,1407,219,20
04.10,88,1495,231,21
04.11,39,1534,323,21
04.12,66,1600,373,23
04.13,50,1650,400,25
04.14,54,1704,415,31
04.15,37,1741,473,34
04.16,50,1791,529,35
04.17,23,1814,600,36
04.18,18,1832,615,39
04.19,39,1871,709,47
04.20,10,1881,771,47
04.21,27,1908,801,48
04.22,42,1950,869,48
04.23,31,1981,883,50
04.24,28,2009,982,51
04.25,7,2016,1034,54
04.26,14,2030,1103,55
04.27,9,2039,1166,59
04.28,8,2047,1232,63
04.29,15,2062,1288,67
04.30,14,2076,1348,69
05.01,0,2076,1348,69
05.02,12,2088,1463,77
05.03,0,2088,1463,77
05.04,13,2101,1522,80
05.05,11,2112,1560,83
05.06,7,2119,1601,85
05.07,6,2125,1641,86
05.08,36,2161,1689,86
05.09,15,2176,1726,87
05.10,11,2187,1764,90
05.11,9,2196,1784,91
05.12,11,2207,1808,91
05.13,6,2213,1834,94
05.14,8,2221,1850,94
05.15,1,2222,1869,95
05.16,2,2224,1913,95
05.17,2,2226,1936,95
05.18,2,2228,1946,95
05.19,4,2232,1967,96
05.20,2,2234,1978,96
05.21,3,2237,1978,97
05.22,6,2243,2011,99
05.23,0,2243,2023,99
05.24,1,2244,2027,99
05.25,0,2244,2035,100
05.26,0,2244,2046,101
05.27,0,2244,2047,101
05.28,1,2245,2051,102
05.29,0,2245,2059,103
05.30,1,2246,2063,103
05.31,0,2246,2072,103
06.01,0,2246,2077,103
06.02,0,2246,2088,103
06.03,0,2246,2088,103
06.04,1,2247,2105,103
06.05,0,2247,2113,103
06.06,0,2247,2121,104
06.07,0,2247,2126,104
06.08,0,2247,2128,104
06.09,0,2247,2130,106
06.10,0,2247,2130,106
06.11,2,2249,2132,106
06.12,0,2249,2133,107
06.13,2,2251,2134,107
06.14,1,2252,2134,107
06.15,2,2254,2140,107
06.16,1,2255,2140,107
06.17,3,2258,2141,107
06.18,0,2258,2141,107
