日期,新增确诊,确诊总数,治愈数,死亡数
03.25,2,2,0,0
03.26,0,2,0,0
03.27,0,2,0,0
03.28,0,2,0,0
03.29,0,2,0,0
03.30,0,2,0,0
03.31,6,8,0,0
04.01,0,8,0,0
04.02,1,9,0,0
04.03,0,9,0,0
04.04,6,15,0,0
04.05,3,18,0,0
04.06,0,18,0,0
04.07,15,33,0,0
04.08,0,33,0,0
04.09,0,33,0,0
04.10,3,36,0,0
04.11,2,38,0,0
04.12,0,38,0,0
04.13,0,38,0,0
04.14,0,38,0,0
04.15,5,43,0,0
04.16,0,43,0,0
04.17,0,43,0,0
04.18,3,46,0,0
04.19,0,46,0,0
04.20,4,50,3,0
04.21,0,50,3,0
04.22,0,50,3,0
04.23,0,50,3,0
04.24,0,50,3,0
04.25,2,52,3,0
04.26,1,53,3,1
04.27,0,53,3,1
04.28,20,73,18,1
04.29,0,73,18,1
04.30,132,205,19,1
05.01,0,205,19,1
05.02,52,257,19,1
05.03,0,257,19,1
05.04,0,257,19,1
05.05,156,413,19,1
05.06,62,475,24,2
05.07,0,475,24,2
05.08,89,564,25,2
05.09,30,594,25,2
05.10,47,641,25,3
05.11,85,726,26,3
05.12,35,761,26,3
05.13,59,820,26,3
05.14,16,836,26,3
05.15,77,913,26,3
05.16,0,913,26,3
05.17,56,969,26,4
05.18,21,990,26,4
05.19,42,1032,38,4
05.20,6,1038,42,6
05.21,51,1089,42,6
05.22,20,1109,42,6
05.23,5,1114,42,6
05.24,0,1114,42,6
05.25,0,1114,42,6
05.26,64,1178,42,7
05.27,0,1178,42,7
05.28,17,1195,42,7
05.29,0,1195,42,8
05.30,61,1256,42,8
05.31,0,1256,42,8
06.01,0,1256,42,8
06.02,83,1339,53,8
06.03,0,1339,53,8
06.04,0,1339,53,8
06.05,0,1339,53,8
06.06,29,1368,153,12
06.07,0,1368,153,12
06.08,0,1368,153,12
06.09,21,1389,153,12
06.10,0,1389,153,12
06.11,0,1389,153,12
06.12,0,1389,153,12
06.13,71,1460,153,15
06.14,0,1460,153,15
06.15,0,1460,153,15
06.16,32,1492,153,15
06.17,0,1492,153,15
06.18,0,1492,153,15
