日期,新增确诊,确诊总数,治愈数,死亡数
03.15,1,1,0,0
03.16,0,1,0,0
03.17,0,1,0,0
03.18,0,1,0,0
03.19,2,3,0,0
03.20,0,3,0,0
03.21,0,3,0,0
03.22,1,4,0,0
03.23,-1,3,0,0
03.24,1,4,0,0
03.25,0,4,0,0
03.26,0,4,0,0
03.27,0,4,0,0
03.28,15,19,0,0
03.29,0,19,0,0
03.30,0,19,0,0
03.31,0,19,0,0
04.01,0,19,0,0
04.02,3,22,2,2
04.03,0,22,2,2
04.04,0,22,2,2
04.05,23,45,2,5
04.06,0,45,2,5
04.07,0,45,2,5
04.08,0,45,2,5
04.09,15,60,5,5
04.10,0,60,5,5
04.11,0,60,5,5
04.12,0,60,5,5
04.13,0,60,5,5
04.14,0,60,5,5
04.15,14,74,10,5
04.16,43,117,11,5
04.17,0,117,11,5
04.18,26,143,11,6
04.19,0,143,11,6
04.20,17,160,16,6
04.21,0,160,16,6
04.22,5,165,16,6
04.23,21,186,16,6
04.24,0,186,16,6
04.25,14,200,19,6
04.26,0,200,19,6
04.27,0,200,19,6
04.28,7,207,19,8
04.29,0,207,19,8
04.30,13,220,19,9
05.01,0,220,19,9
05.02,9,229,25,9
05.03,0,229,25,9
05.04,0,229,25,9
05.05,7,236,26,10
05.06,0,236,26,10
05.07,28,264,30,10
05.08,10,274,33,10
05.09,0,274,33,10
05.10,0,274,33,10
05.11,0,274,33,10
05.12,59,333,53,11
05.13,0,333,53,11
05.14,0,333,53,11
05.15,58,391,87,15
05.16,0,391,87,15
05.17,0,391,87,15
05.18,0,391,87,15
05.19,21,412,110,15
05.20,8,420,132,15
05.21,0,420,132,15
05.22,49,469,137,16
05.23,0,469,137,16
05.24,18,487,147,16
05.25,0,487,147,16
05.26,0,487,147,16
05.27,0,487,147,16
05.28,84,571,161,19
05.29,0,571,161,19
05.30,0,571,161,19
05.31,0,571,161,19
06.01,40,611,179,20
06.02,0,611,179,20
06.03,0,611,179,20
06.04,0,611,179,20
06.05,0,611,179,20
06.06,24,635,182,20
06.07,48,683,210,22
06.08,0,683,210,22
06.09,0,683,210,22
06.10,45,728,221,24
06.11,0,728,221,24
06.12,0,728,221,24
06.13,0,728,221,24
06.14,0,728,221,24
06.15,0,728,221,24
06.16,155,883,391,27
06.17,0,883,391,27
06.18,0,883,391,27
