日期,新增确诊,确诊总数,治愈数,死亡数
03.10,1,1,0,0
03.11,0,1,0,0
03.12,0,1,0,0
03.13,1,2,0,0
03.14,0,2,0,0
03.15,1,3,0,0
03.16,0,3,0,0
03.17,1,4,0,0
03.18,3,7,0,0
03.19,7,14,0,0
03.20,4,18,0,0
03.21,5,23,0,1
03.22,7,30,0,1
03.23,0,30,0,2
03.24,15,45,0,2
03.25,3,48,1,3
03.26,3,51,2,4
03.27,3,54,2,5
03.28,4,58,2,6
03.29,11,65,2,6
03.30,16,81,3,8
03.31,17,98,2,8
04.01,11,109,3,9
04.02,14,123,3,11
04.03,11,134,3,13
04.04,14,148,3,16
04.05,6,154,3,18
04.06,0,154,3,18
04.07,7,161,5,18
04.08,19,180,9,18
04.09,0,180,9,18
04.10,35,215,13,20
04.11,8,223,16,20
04.12,11,234,16,20
04.13,1,235,17,20
04.14,6,241,20,20
04.15,13,254,21,21
04.16,13,267,23,22
04.17,20,287,25,23
04.18,20,307,26,25
04.19,20,327,26,25
04.20,0,327,27,25
04.21,23,350,35,25
04.22,9,359,45,25
04.23,18,377,47,25
04.24,17,394,48,25
04.25,22,416,49,28
04.26,26,442,50,28
04.27,17,459,50,28
04.28,12,471,56,30
04.29,20,491,59,30
04.30,9,500,65,31
05.01,72,572,73,31
05.02,32,604,75,32
05.03,0,604,75,32
05.04,78,682,80,34
05.05,23,705,90,34
05.06,92,797,92,35
05.07,66,863,103,36
05.08,34,897,119,36
05.09,40,937,130,39
05.10,0,937,130,39
05.11,87,1024,141,41
05.12,78,1102,146,44
05.13,67,1169,148,50
05.14,73,1242,157,50
05.15,56,1298,212,50
05.16,72,1370,229,61
05.17,85,1455,270,61
05.18,0,1455,270,61
05.19,83,1538,272,61
05.20,193,1731,302,61
05.21,104,1835,303,61
05.22,110,1945,312,63
05.23,80,2025,312,63
05.24,116,2141,317,63
05.25,0,2141,317,63
05.26,262,2403,340,68
05.27,143,2546,365,68
05.28,114,2660,381,69
05.29,173,2833,400,69
05.30,133,2966,428,69
05.31,104,3070,448,72
06.01,125,3195,454,72
06.02,131,3326,482,72
06.03,0,3326,482,72
06.04,318,3644,495,78
06.05,120,3764,512,81
06.06,114,3878,537,82
06.07,138,4016,537,85
06.08,90,4106,537,88
06.09,153,4259,539,90
06.10,131,4390,565,96
06.11,125,4515,567,98
06.12,122,4637,580,101
06.13,87,4724,595,106
06.14,54,4778,600,107
06.15,59,4837,613,112
06.16,137,4974,628,112
06.17,126,5100,640,115
06.18,0,5100,640,115
