日期,新增确诊,确诊总数,治愈数,死亡数
03.25,0,1,0,0
03.26,0,1,0,0
03.27,0,1,0,0
03.28,0,1,0,0
03.29,2,3,0,0
03.30,5,8,0,0
03.31,0,8,0,0
04.01,2,10,1,0
04.02,0,10,0,0
04.03,1,11,0,1
04.04,6,17,0,1
04.05,1,18,0,1
04.06,0,18,0,1
04.07,1,19,1,1
04.08,2,21,2,1
04.09,0,21,8,1
04.10,3,24,8,1
04.11,0,24,8,1
04.12,1,25,8,1
04.13,0,25,9,1
04.14,1,26,9,1
04.15,9,35,9,1
04.16,13,48,11,1
04.17,1,49,11,1
04.18,0,49,11,1
04.19,0,49,11,1
04.20,2,51,11,1
04.21,0,51,15,1
04.22,8,59,15,1
04.23,1,60,15,1
04.24,0,60,18,2
04.25,1,61,18,2
04.26,0,61,18,2
04.27,0,61,18,2
04.28,0,61,18,2
04.29,0,61,18,2
04.30,0,61,18,2
05.01,0,61,18,3
05.02,2,63,32,3
05.03,0,63,32,3
05.04,0,63,22,3
05.05,0,63,23,3
05.06,1,64,24,3
05.07,0,64,24,3
05.08,0,64,24,3
05.09,0,64,24,3
05.10,0,64,24,3
05.11,0,64,24,3
05.12,0,64,28,3
05.13,0,64,28,3
05.14,0,64,28,3
05.15,0,64,28,3
05.16,0,64,28,3
05.17,1,65,28,3
05.18,0,65,35,3
05.19,0,65,35,3
05.20,4,69,35,3
05.21,0,69,35,3
05.22,2,71,35,3
05.23,1,72,38,3
05.24,3,75,39,3
05.25,0,75,40,3
05.26,0,75,40,3
05.27,2,77,40,3
05.28,22,99,40,4
05.29,6,105,41,5
05.30,13,118,41,5
05.31,12,130,50,5
06.01,26,156,52,5
06.02,12,168,52,5
06.03,14,182,52,5
06.04,14,196,52,5
06.05,13,209,52,5
06.06,30,239,52,5
06.07,17,256,52,5
06.08,14,270,53,5
06.09,62,332,57,5
06.10,27,359,58,5
06.11,19,378,59,5
06.12,15,393,59,5
06.13,16,409,59,6
06.14,9,418,62,8
06.15,36,454,63,10
06.16,13,467,70,10
06.17,17,484,76,10
06.18,0,484,76,10
