日期,新增确诊,确诊总数,治愈数,死亡数
01.28,0,2,0,0
01.29,0,2,0,0
01.30,1,3,1,0
01.31,0,3,1,0
02.01,1,4,0,0
02.02,0,4,0,0
02.03,0,4,0,0
02.04,0,4,0,0
02.05,1,5,0,0
02.06,0,5,0,0
02.07,0,5,0,0
02.08,0,5,0,0
02.09,2,7,0,0
02.10,0,7,0,0
02.11,0,7,0,0
02.12,0,7,0,0
02.13,0,7,0,0
02.14,0,7,0,0
02.15,1,8,1,0
02.16,0,8,1,0
02.17,0,8,1,0
02.18,0,8,1,0
02.19,0,8,1,0
02.20,0,8,1,0
02.21,0,8,3,0
02.22,0,8,3,0
02.23,0,8,3,0
02.24,2,10,4,0
02.25,1,11,4,0
02.26,0,11,4,0
02.27,1,12,4,0
02.28,2,14,4,0
02.29,2,16,4,0
03.01,4,20,4,0
03.02,4,24,7,0
03.03,3,27,7,0
03.04,6,33,7,0
03.05,1,34,7,0
03.06,14,48,7,0
03.07,6,54,7,0
03.08,4,60,7,0
03.09,6,66,7,0
03.10,11,77,8,1
03.11,20,97,8,1
03.12,21,118,9,1
03.13,40,158,11,1
03.14,67,225,11,1
03.15,28,253,11,1
03.16,60,313,11,1
03.17,123,436,11,4
03.18,161,597,11,8
03.19,130,727,12,9
03.20,196,923,12,12
03.21,223,1146,14,12
03.22,231,1377,14,19
03.23,95,1472,14,21
03.24,619,2091,109,25
03.25,801,2892,110,35
03.26,517,3409,183,36
03.27,634,4043,197,39
03.28,714,4757,354,55
03.29,1110,5867,466,63
03.30,453,6320,466,65
03.31,1128,7448,1020,89
04.01,1143,8591,1592,102
04.02,1140,9731,1526,112
04.03,1553,11284,1971,139
04.04,1261,12545,2321,188
04.05,1855,14400,2770,234
04.06,1540,15940,3081,281
04.07,727,16667,3613,323
04.08,1230,17897,4047,381
04.09,1393,19290,4646,436
04.10,1475,20765,5311,510
04.11,1383,22148,6013,570
04.12,1569,23717,6650,675
04.13,663,24380,7172,717
04.14,1300,25680,7758,780
04.15,1383,27063,8235,903
04.16,1316,28379,8979,1010
04.17,2621,31000,9730,1231
04.18,1857,32857,10559,1356
04.19,1529,34386,11216,1520
04.20,1653,36039,11852,1626
04.21,1894,37933,12747,1753
04.22,1472,39405,13605,1915
04.23,2262,41667,14504,2081
04.24,1740,43407,15233,2250
04.25,1778,44526,15479,2386
04.26,995,45521,16504,2549
04.27,1645,47166,17408,2663
04.28,2520,49686,18707,2841
04.29,1498,51184,19879,2985
04.30,1681,52865,20327,3155
05.01,1592,54457,21424,3310
05.02,1886,56343,22764,3537
05.03,1583,57926,23795,3684
05.04,2631,60557,25421,3801
05.05,1400,61957,26030,4003
05.06,1258,63215,27006,4190
05.07,1518,64733,28531,4366
05.08,1469,66202,29274,4543
05.09,1527,67729,30632,4697
05.10,1218,68947,31657,4824
05.11,1190,70137,32468,4991
05.12,1157,71294,33267,5116
05.13,1150,72444,34509,5300
05.14,1168,73612,35536,5425
05.15,1218,74830,36541,5592
05.16,1145,75975,37287,5680
05.17,1282,77257,38172,5801
05.18,1075,78332,38563,5903
05.19,1079,79411,39511,5960
05.20,1126,80537,40361,6029
05.21,1038,81575,40793,6150
05.22,1175,82750,41731,6267
05.23,1211,83961,42987,6360
05.24,1190,85151,43318,6466
05.25,998,86149,44219,6534
05.26,973,87122,44651,6655
05.27,982,88104,45766,6753
05.28,911,89015,46480,6877
05.29,987,90002,47163,6982
05.30,908,90910,47907,7063
05.31,771,91681,48517,7159
06.01,942,92623,49257,7374
06.02,665,93288,50091,7404
06.03,670,93958,50722,7476
06.04,706,94664,51520,7580
06.05,605,95269,52184,7717
06.06,678,95947,53074,7778
06.07,529,96476,54087,7851
06.08,732,97208,54697,7877
06.09,571,97779,55343,7910
06.10,462,98241,56121,7970
06.11,479,98720,57215,8038
06.12,645,99365,58665,8114
06.13,230,99595,59034,8125
06.14,466,100061,59851,8183
06.15,359,100420,60673,8218
06.16,-1048,99372,61478,8228
06.17,1715,101087,62648,8275
06.18,15,101102,62753,8277
