日期,新增确诊,确诊总数,治愈数,死亡数
03.13,2,2,0,0
03.14,0,2,0,0
03.15,0,2,0,0
03.16,4,6,0,0
03.17,0,6,0,0
03.18,1,7,0,0
03.19,2,9,0,0
03.20,7,16,0,0
03.21,3,19,0,0
03.22,2,21,0,1
03.23,3,24,0,1
03.24,28,52,0,2
03.25,16,68,0,2
03.26,64,132,0,3
03.27,4,136,1,3
03.28,1,137,2,4
03.29,4,152,2,5
03.30,0,152,2,5
03.31,0,152,31,5
04.01,43,195,31,5
04.02,9,204,31,5
04.03,0,204,31,5
04.04,1,205,31,5
04.05,9,214,31,5
04.06,0,214,31,5
04.07,73,287,31,5
04.08,0,287,31,5
04.09,26,313,34,6
04.10,65,378,4,6
04.11,30,408,4,8
04.12,0,408,4,8
04.13,158,566,4,8
04.14,0,566,4,8
04.15,70,636,17,8
04.16,5,641,83,8
04.17,0,641,83,8
04.18,193,834,99,9
04.19,0,834,99,9
04.20,208,1042,99,9
04.21,0,1042,99,9
04.22,112,1154,99,9
04.23,0,1154,99,9
04.24,125,1279,134,10
04.25,0,1279,134,10
04.26,271,1550,155,11
04.27,0,1550,155,11
04.28,0,1550,155,11
04.29,121,1671,188,16
04.30,403,2074,212,17
05.01,0,2074,212,17
05.02,95,2169,229,18
05.03,0,2169,229,18
05.04,0,2169,229,18
05.05,550,2719,294,18
05.06,0,2719,294,18
05.07,372,3091,303,18
05.08,0,3091,303,18
05.09,921,4012,323,18
05.10,251,4263,378,22
05.11,437,4700,494,22
05.12,427,5127,494,22
05.13,0,5127,494,22
05.14,281,5408,514,24
05.15,122,5530,674,24
05.16,108,5638,1460,28
05.17,97,5735,1754,29
05.18,0,5735,1754,29
05.19,183,5918,1754,31
05.20,178,6096,1773,31
05.21,173,6269,1898,31
05.22,217,6486,1951,31
05.23,131,6617,1976,31
05.24,66,6683,1998,32
05.25,125,6808,2070,32
05.26,156,6964,2097,32
05.27,153,7117,2317,34
05.28,186,7303,2412,34
05.29,313,7616,2421,34
05.30,152,7768,2540,35
05.31,113,7881,2841,36
06.01,189,8070,2947,36
06.02,227,8297,2986,38
06.03,0,8297,2986,38
06.04,251,8548,3132,38
06.05,337,8885,3189,38
06.06,283,9168,3457,42
06.07,294,9462,3547,44
06.08,176,9638,3636,44
06.09,272,9910,3645,48
06.10,291,10201,3755,48
06.11,157,10358,3824,48
06.12,498,10856,3921,48
06.13,262,11118,3979,48
06.14,304,11422,4156,51
06.15,542,11964,4258,54
06.16,0,11964,4258,54
06.17,626,12590,4410,66
06.18,0,12590,4410,66
