日期,新增确诊,确诊总数,治愈数,死亡数
03.13,1,1,0,0
03.14,0,1,0,0
03.15,0,1,0,0
03.16,0,1,0,0
03.17,0,1,0,0
03.18,2,3,0,0
03.19,0,3,0,0
03.20,1,4,0,1
03.21,0,4,0,1
03.22,1,5,0,1
03.23,0,5,0,1
03.24,1,6,0,1
03.25,0,6,0,1
03.26,1,7,0,1
03.27,2,7,0,1
03.28,0,7,0,1
03.29,0,7,0,1
03.30,0,7,0,1
03.31,9,16,0,1
04.01,2,18,0,1
04.02,0,18,0,1
04.03,3,21,1,1
04.04,0,21,1,1
04.05,0,21,1,1
04.06,3,24,1,1
04.07,6,30,1,1
04.08,0,30,1,1
04.09,4,34,1,1
04.10,10,44,1,1
04.11,0,44,1,1
04.12,5,49,1,1
04.13,8,57,1,1
04.14,0,57,1,1
04.15,23,80,4,1
04.16,0,80,4,1
04.17,15,95,6,1
04.18,13,108,7,1
04.19,0,108,7,1
04.20,1,109,7,1
04.21,11,120,7,1
04.22,36,156,16,1
04.23,10,166,24,2
04.24,1,167,24,2
04.25,5,172,26,3
04.26,4,176,30,3
04.27,0,176,30,3
04.28,35,211,43,3
04.29,27,238,53,3
04.30,38,276,67,3
05.01,0,276,67,3
05.02,0,276,67,3
05.03,59,335,85,5
05.04,0,335,85,5
05.05,32,367,93,6
05.06,30,397,93,6
05.07,42,439,99,8
05.08,65,504,110,8
05.09,116,620,110,8
05.10,41,661,110,8
05.11,0,661,110,8
05.12,141,802,127,9
05.13,61,863,137,9
05.14,141,1004,152,9
05.15,100,1104,182,10
05.16,105,1209,219,10
05.17,111,1320,244,11
05.18,0,1320,244,11
05.19,112,1432,301,11
05.20,70,1502,318,12
05.21,65,1567,365,12
05.22,0,1567,365,12
05.23,161,1728,402,12
05.24,206,1934,459,12
05.25,0,1934,459,12
05.26,201,2135,562,14
05.27,103,2238,593,14
05.28,81,2319,631,14
05.29,112,2431,668,14
05.30,182,2613,709,15
05.31,42,2655,722,17
06.01,0,2655,722,17
06.02,0,2655,722,17
06.03,148,2803,779,20
06.04,99,2902,801,20
06.05,53,2955,818,21
06.06,146,3101,833,21
06.07,0,3101,833,21
06.08,0,3101,833,21
06.09,0,3101,833,21
06.10,146,3247,938,21
06.11,128,3375,978,22
06.12,88,3463,1024,23
06.13,0,3463,1024,23
06.14,0,3463,1024,23
06.15,0,3463,1024,23
06.16,570,4033,1334,27
06.17,81,4114,1432,29
06.18,0,4114,1432,29
