日期,新增确诊,确诊总数,治愈数,死亡数
03.05,2,2,0,0
03.06,2,4,0,0
03.07,0,4,0,0
03.08,1,5,0,0
03.09,4,9,0,0
03.10,0,9,0,0
03.11,4,13,0,0
03.12,0,13,0,0
03.13,3,16,0,0
03.14,6,25,1,0
03.15,5,30,1,0
03.16,2,32,1,1
03.17,18,50,2,1
03.18,8,58,2,1
03.19,0,58,2,1
03.20,27,85,2,1
03.21,18,103,7,4
03.22,28,131,12,6
03.23,36,167,12,7
03.24,20,187,12,8
03.25,39,226,21,10
03.26,35,261,28,10
03.27,39,300,34,10
03.28,43,343,34,11
03.29,65,408,34,13
03.30,39,447,34,15
03.31,45,492,37,16
04.01,33,525,40,20
04.02,60,585,42,21
04.03,38,623,43,26
04.04,55,678,58,32
04.05,55,733,66,34
04.06,11,744,67,38
04.07,73,817,71,47
04.08,78,895,94,58
04.09,85,980,96,66
04.10,210,1190,112,77
04.11,120,1310,115,85
04.12,100,1410,118,99
04.13,48,1458,120,109
04.14,54,1512,122,122
04.15,67,1579,192,134
04.16,73,1652,199,142
04.17,111,1763,207,156
04.18,71,1834,231,172
04.19,82,1916,250,189
04.20,68,1984,267,199
04.21,114,2098,287,213
04.22,70,2168,295,225
04.23,116,2284,390,239
04.24,99,2383,401,250
04.25,60,2443,458,262
04.26,57,2500,485,272
04.27,83,2583,498,280
04.28,66,2649,516,291
04.29,78,2727,536,300
04.30,48,2775,581,312
05.01,88,2863,609,323
05.02,79,2942,625,335
05.03,0,2942,625,335
05.04,93,3035,630,351
05.05,30,3065,709,363
05.06,46,3111,759,373
05.07,39,3150,801,383
05.08,28,3178,865,392
05.09,35,3213,904,405
05.10,50,3263,933,413
05.11,21,3284,958,421
05.12,29,3313,1007,425
05.13,28,3341,1102,430
05.14,39,3380,1169,436
05.15,37,3417,1287,442
05.16,56,3473,1371,448
05.17,36,3509,1396,451
05.18,26,3535,1400,462
05.19,21,3556,1412,467
05.20,42,3598,1454,470
05.21,43,3641,1509,473
05.22,37,3678,1587,476
05.23,35,3713,1655,482
05.24,28,3741,1690,486
05.25,15,3756,1711,491
05.26,15,3771,1836,499
05.27,22,3793,1856,505
05.28,23,3816,1996,509
05.29,25,3841,2024,517
05.30,26,3867,2142,524
05.31,9,3876,2147,526
06.01,16,3892,2156,527
06.02,29,3921,2160,532
06.03,0,3921,2160,532
06.04,33,3954,2205,539
06.05,16,3970,2245,542
06.06,20,3990,2279,545
06.07,18,4008,2279,546
06.08,6,4014,2284,548
06.09,3,4017,2324,550
06.10,10,4027,2355,551
06.11,12,4039,2391,553
06.12,14,4053,2447,555
06.13,11,4064,2476,559
06.14,5,4069,2482,562
06.15,7,4076,2485,563
06.16,1,4077,2516,565
06.17,1,4078,2547,567
06.18,0,4078,2547,567
