日期,新增确诊,确诊总数,治愈数,死亡数
03.05,1,1,0,0
03.06,0,1,0,0
03.07,1,2,0,0
03.08,0,2,0,0
03.09,1,3,1,0
03.10,4,7,1,0
03.11,6,13,1,0
03.12,11,24,1,0
03.13,0,24,1,0
03.14,14,38,1,0
03.15,13,51,1,0
03.16,11,62,1,0
03.17,0,62,1,0
03.18,54,116,1,0
03.19,0,116,1,0
03.20,86,202,1,0
03.21,38,240,1,0
03.22,0,240,0,0
03.23,162,402,1,0
03.24,152,554,1,0
03.25,155,709,1,0
03.26,0,709,12,0
03.27,218,927,1,0
03.28,243,1170,1,0
03.29,17,1187,31,1
03.30,93,1280,31,2
03.31,46,1326,31,3
04.01,27,1353,50,5
04.02,27,1380,50,5
04.03,82,1462,95,5
04.04,43,1505,95,9
04.05,80,1585,95,9
04.06,70,1655,95,11
04.07,94,1749,95,13
04.08,0,1749,95,13
04.09,96,1845,95,18
04.10,158,2003,410,24
04.11,0,2003,410,24
04.12,25,2028,410,25
04.13,145,2173,410,25
04.14,242,2415,410,27
04.15,0,2415,410,27
04.16,91,2506,410,34
04.17,99,2605,903,48
04.18,178,2783,903,50
04.19,251,3034,903,52
04.20,124,3158,903,54
04.21,142,3300,1055,58
04.22,165,3465,1055,58
04.23,170,3635,1055,65
04.24,318,3953,1473,75
04.25,267,4220,1473,79
04.26,141,4361,1473,86
04.27,185,4546,1473,87
04.28,247,4793,1473,90
04.29,203,4996,2073,93
04.30,354,5350,2073,103
05.01,297,5647,2073,103
05.02,304,5951,2382,116
05.03,385,6336,2549,123
05.04,447,6783,2549,131
05.05,437,7220,2746,138
05.06,352,7572,2746,148
05.07,236,7808,3153,153
05.08,424,8232,3153,161
05.09,1188,9420,3983,186
05.10,0,9420,3983,186
05.11,1232,10652,4357,206
05.12,698,11350,4357,206
05.13,0,11350,4357,206
05.14,724,12074,4745,219
05.15,665,12739,5676,238
05.16,785,13524,6083,247
05.17,831,14355,6478,261
05.18,1160,15515,7006,264
05.19,918,16433,7298,286
05.20,767,17200,7960,312
05.21,1937,19137,8950,369
05.22,0,19137,8950,369
05.23,988,20125,10104,397
05.24,1218,21343,10104,407
05.25,1240,22583,11100,429
05.26,1032,23615,11917,481
05.27,649,24264,12741,524
05.28,1673,25937,13451,552
05.29,1466,27403,14370,577
05.30,1837,29240,15093,611
05.31,1727,30967,16116,643
06.01,3390,34357,16809,705
06.02,1455,35812,17291,705
06.03,0,35812,18313,755
06.04,1713,37525,19682,792
06.05,3267,40792,21311,848
06.06,2642,43434,23088,908
06.07,2539,45973,24258,952
06.08,2312,48285,24364,998
06.09,2594,50879,26099,1080
06.10,2112,52991,29006,1162
06.11,2430,55421,31505,1210
06.12,3147,58568,33252,1284
06.13,3359,61927,35006,1354
06.14,3809,65736,36850,1423
06.15,4302,70038,38531,1480
06.16,3495,73533,39867,1568
06.17,2801,76334,42063,1625
06.18,0,76334,42063,1625
