日期,新增确诊,确诊总数,治愈数,死亡数
03.31,0,3,0,0
04.01,1,4,0,1
04.02,0,4,0,1
04.03,0,4,0,1
04.04,0,4,0,1
04.05,0,4,0,1
04.06,2,6,0,1
04.07,0,6,0,1
04.08,0,6,0,1
04.09,7,13,0,1
04.10,0,13,0,1
04.11,0,13,0,1
04.12,0,13,0,1
04.13,0,13,0,1
04.14,0,13,0,1
04.15,0,13,0,1
04.16,2,15,0,1
04.17,0,15,0,1
04.18,0,15,0,1
04.19,5,20,0,1
04.20,0,20,0,1
04.21,0,20,0,1
04.22,2,22,0,1
04.23,0,22,0,1
04.24,0,22,0,1
04.25,0,22,0,1
04.26,0,22,0,1
04.27,0,22,0,1
04.28,0,22,0,1
04.29,1,23,0,1
04.30,0,23,5,1
05.01,0,23,5,1
05.02,0,23,8,1
05.03,0,23,8,1
05.04,0,23,8,1
05.05,0,23,8,1
05.06,0,23,8,1
05.07,0,23,9,1
05.08,0,23,9,1
05.09,0,23,9,1
05.10,0,23,12,1
05.11,1,24,12,1
05.12,0,24,12,1
05.13,0,24,17,1
05.14,0,24,17,1
05.15,0,24,17,1
05.16,0,24,17,1
05.17,0,24,17,1
05.18,1,25,17,1
05.19,0,25,17,1
05.20,0,25,17,1
05.21,4,29,17,1
05.22,0,29,19,1
05.23,1,30,19,1
05.24,0,30,19,1
05.25,5,35,19,1
05.26,0,35,20,1
05.27,0,35,20,1
05.28,0,35,20,1
05.29,0,35,20,1
05.30,0,35,20,1
05.31,0,35,20,1
06.01,3,38,20,1
06.02,0,38,21,1
06.03,2,40,23,1
06.04,0,40,23,1
06.05,0,40,23,1
06.06,0,40,23,1
06.07,0,40,23,1
06.08,0,40,23,1
06.09,2,42,24,1
06.10,0,42,24,1
06.11,6,48,24,1
06.12,0,48,24,1
06.13,0,48,24,1
06.14,12,60,24,1
06.15,0,60,24,1
06.16,0,60,24,1
06.17,0,60,24,1
06.18,0,60,24,1
