日期,新增确诊,确诊总数,治愈数,死亡数
02.29,1,1,0,0
03.01,0,1,0,0
03.02,0,1,0,0
03.03,6,7,0,0
03.04,0,7,0,0
03.05,0,7,0,0
03.06,4,11,0,0
03.07,0,11,0,0
03.08,0,11,0,0
03.09,4,15,0,0
03.10,3,18,0,0
03.11,244,262,0,0
03.12,0,262,0,0
03.13,0,262,0,0
03.14,17,337,0,0
03.15,0,337,4,0
03.16,102,439,4,0
03.17,0,439,4,0
03.18,0,439,4,0
03.19,13,452,4,0
03.20,8,460,4,0
03.21,10,470,10,0
03.22,11,481,27,0
03.23,13,494,33,0
03.24,7,501,37,0
03.25,25,526,41,0
03.26,11,537,41,0
03.27,12,549,43,0
03.28,13,562,43,0
03.29,28,590,45,1
03.30,44,634,48,1
03.31,59,693,51,1
04.01,88,781,62,2
04.02,54,835,71,2
04.03,114,949,72,3
04.04,126,1075,93,3
04.05,250,1325,109,3
04.06,279,1604,123,4
04.07,228,1832,131,4
04.08,378,2210,178,6
04.09,166,2376,206,6
04.10,136,2512,227,6
04.11,216,2728,247,6
04.12,251,2979,275,7
04.13,252,3231,334,7
04.14,197,3428,373,7
04.15,283,3711,406,7
04.16,392,4103,415,7
04.17,560,4663,464,7
04.18,345,5008,510,8
04.19,440,5448,518,8
04.20,567,6015,555,9
04.21,518,6533,614,9
04.22,608,7141,689,10
04.23,623,7764,750,10
04.24,761,8525,809,10
04.25,833,9358,929,10
04.26,929,10287,1012,10
04.27,957,11244,1066,10
04.28,677,11921,1134,10
04.29,643,12564,1243,10
04.30,845,13409,1372,10
05.01,687,14096,1436,12
05.02,776,14872,1534,12
05.03,0,14872,1534,12
05.04,1319,16191,1810,12
05.05,951,17142,1924,12
05.06,830,17972,2070,12
05.07,918,18890,2286,12
05.08,1311,20201,2370,12
05.09,1130,21331,2449,13
05.10,1189,22520,2753,14
05.11,1103,23623,2840,14
05.12,1526,25149,3019,14
05.13,1390,26539,3143,14
05.14,1733,28272,3356,14
05.15,1153,29425,3546,14
05.16,1547,30972,3788,15
05.17,1632,32604,4370,15
05.18,1365,33969,4899,15
05.19,1637,35606,5634,15
05.20,1491,37097,6600,16
05.21,1554,38651,7288,17
05.22,0,38651,7288,17
05.23,3562,42213,8513,21
05.24,1501,43714,9170,23
05.25,1751,45465,10363,26
05.26,1742,47207,11844,28
05.27,1740,48947,13283,30
05.28,1967,50914,15399,33
05.29,1993,52907,20604,36
05.30,2355,55262,25839,36
05.31,1648,56910,30290,38
06.01,1523,58433,33437,40
06.02,1826,60259,36036,43
06.03,0,60259,36036,43
06.04,3482,63741,39468,45
06.05,1754,65495,40935,49
06.06,1700,67195,42527,51
06.07,1595,68790,44338,54
06.08,1368,70158,45935,57
06.09,1721,71879,47569,62
06.10,0,71879,47569,62
06.11,3192,75071,51331,69
06.12,1517,76588,53296,70
06.13,1828,78416,55252,70
06.14,1186,79602,56898,73
06.15,1274,80876,58681,76
06.16,1201,82077,60461,80
06.17,1097,83174,62172,82
06.18,0,83174,62172,82
