日期,新增确诊,确诊总数,治愈数,死亡数
01.30,0,1,0,0
01.31,0,1,0,0
02.01,0,1,0,0
02.02,1,2,0,0
02.03,1,3,0,0
02.04,0,3,0,0
02.05,0,3,0,0
02.06,0,3,0,0
02.07,0,3,0,0
02.08,0,3,0,0
02.09,0,3,0,0
02.10,0,3,0,0
02.11,0,3,0,0
02.12,0,3,0,0
02.13,0,3,0,0
02.14,0,3,0,0
02.15,0,3,0,0
02.16,0,3,0,0
02.17,0,3,0,0
02.18,0,3,3,0
02.19,0,3,3,0
02.20,0,3,3,0
02.21,0,3,3,0
02.22,0,3,3,0
02.23,0,3,3,0
02.24,0,3,3,0
02.25,0,3,3,0
02.26,0,3,3,0
02.27,0,3,3,0
02.28,0,3,3,0
02.29,0,3,3,0
03.01,0,3,3,0
03.02,2,5,3,0
03.03,6,11,3,0
03.04,17,28,3,0
03.05,2,30,3,0
03.06,1,31,3,0
03.07,3,33,3,0
03.08,6,40,3,0
03.09,3,43,3,0
03.10,16,59,4,0
03.11,3,62,4,0
03.12,11,74,4,0
03.13,7,81,4,1
03.14,1,84,10,2
03.15,23,107,10,2
03.16,10,117,13,2
03.17,20,137,13,3
03.18,14,151,13,3
03.19,22,173,13,4
03.20,40,223,20,5
03.21,60,283,23,5
03.22,58,341,23,6
03.23,84,425,24,8
03.24,94,519,40,9
03.25,87,606,42,10
03.26,43,649,42,13
03.27,45,694,44,16
03.28,224,918,80,20
03.29,106,1024,95,27
03.30,71,1071,99,29
03.31,180,1251,102,32
04.01,386,1637,148,45
04.02,395,2032,150,58
04.03,535,2567,192,72
04.04,515,3082,229,86
04.05,506,3588,229,99
04.06,726,4314,328,118
04.07,597,4911,382,137
04.08,569,5480,468,164
04.09,757,6237,569,186
04.10,488,6725,641,229
04.11,1272,7997,774,249
04.12,507,8504,972,289
04.13,736,9240,1096,331
04.14,1301,10541,1205,358
04.15,1014,11555,1362,396
04.16,1204,12759,1514,423
04.17,1076,13835,1777,452
04.18,957,14792,2045,488
04.19,1610,16402,2601,538
04.20,1213,17615,2854,559
04.21,1370,18985,3273,603
04.22,1486,20471,3976,652
04.23,1326,21797,4376,686
04.24,1705,23502,5012,722
04.25,1440,24942,5498,780
04.26,1975,26917,5939,826
04.27,1463,28380,6523,886
04.28,1071,29451,7137,939
04.29,2336,31787,7796,1008
04.30,1823,33610,8437,1079
05.01,1433,35043,9068,1154
05.02,2293,37336,10007,1223
05.03,2363,39699,10819,1323
05.04,3137,42836,11782,1395
05.05,3640,46476,12849,1571
05.06,3376,49852,14367,1704
05.07,3193,53045,15331,1787
05.08,4261,57306,17041,1899
05.09,4050,61356,18672,2041
05.10,3665,65021,19665,2153
05.11,4128,69149,21664,2249
05.12,3444,72593,23203,2331
05.13,5136,77729,25977,2535
05.14,1604,79333,26675,2564
05.15,3739,83072,28792,2662
05.16,5434,88506,30786,2760
05.17,3733,92239,35603,2911
05.18,5338,97577,36824,3041
05.19,4758,102335,39674,3169
05.20,5484,107819,43070,3317
05.21,5642,113461,46002,3457
05.22,6113,119574,49026,3600
05.23,10932,130506,53947,3850
05.24,3219,133725,54865,3909
05.25,10344,144069,58727,4117
05.26,3075,147144,61923,4197
05.27,7676,154820,65944,4406
05.28,8300,163120,69534,4653
05.29,5891,169011,72543,4820
05.30,6946,175957,83878,4996
05.31,13032,188989,90056,5358
06.01,5711,194700,93343,5495
06.02,7297,201997,96788,5638
06.03,5194,207191,100285,5829
06.04,14031,221222,106071,6186
06.05,12354,233576,112189,6440
06.06,6068,239644,114073,6672
06.07,14598,254242,122738,7117
06.08,5851,260093,125641,7263
06.09,10783,270876,131380,7554
06.10,5707,276583,135206,7745
06.11,9994,286577,141029,8102
06.12,10958,297535,147195,8498
06.13,11381,308916,154303,8884
06.14,12006,320922,162379,9195
06.15,11502,332424,169798,9520
06.16,10667,343091,180013,9900
06.17,10974,354065,186935,11903
06.18,0,354065,186935,11903
