日期,新增确诊,确诊总数,治愈数,死亡数
03.02,2,2,0,0
03.03,0,2,0,0
03.04,0,2,0,0
03.05,0,2,0,0
03.06,2,4,0,0
03.07,0,4,0,0
03.08,2,6,0,0
03.09,13,19,0,0
03.10,8,27,0,0
03.11,7,34,0,1
03.12,0,34,0,1
03.13,35,69,0,1
03.14,27,96,0,1
03.15,21,117,0,1
03.16,17,134,0,1
03.17,38,172,8,5
03.18,55,227,8,19
03.19,82,309,15,25
03.20,60,369,15,32
03.21,81,450,20,38
03.22,64,514,20,48
03.23,65,579,30,49
03.24,107,686,30,50
03.25,104,790,30,58
03.26,103,893,30,78
03.27,153,1046,30,87
03.28,109,1155,30,102
03.29,130,1285,30,114
03.30,129,1414,75,122
03.31,114,1528,81,136
04.01,149,1677,103,157
04.02,113,1790,112,170
04.03,196,1986,134,181
04.04,106,2092,150,191
04.05,181,2273,164,198
04.06,218,2491,192,209
04.07,247,2738,204,221
04.08,218,2956,222,240
04.09,337,3293,252,280
04.10,219,3512,282,306
04.11,330,3842,286,327
04.12,399,4241,359,373
04.13,316,4557,380,399
04.14,282,4839,426,459
04.15,297,5136,446,469
04.16,380,5516,548,496
04.17,407,5923,607,520
04.18,325,6248,631,535
04.19,327,6575,686,582
04.20,185,6760,747,590
04.21,375,7135,842,616
04.22,283,7418,913,635
04.23,357,7775,960,647
04.24,436,8211,1002,689
04.25,396,8607,1042,720
04.26,275,8882,1107,743
04.27,214,9096,1151,765
04.28,415,9511,1254,773
04.29,260,9771,1391,784
04.30,347,10118,1522,792
05.01,433,10551,1591,800
05.02,292,10843,1665,831
05.03,0,10843,1665,831
05.04,744,11587,1954,864
05.05,484,12071,2197,872
05.06,367,12438,2317,895
05.07,338,12776,2381,930
05.08,336,13112,2494,943
05.09,533,13645,2607,959
05.10,387,14032,2698,973
05.11,233,14265,2881,991
05.12,484,14749,3063,1007
05.13,689,15438,3287,1028
05.14,568,16006,3518,1043
05.15,490,16496,3803,1076
05.16,529,17025,3911,1089
05.17,489,17514,4129,1148
05.18,496,18010,4324,1191
05.19,486,18496,4467,1221
05.20,693,19189,4575,1242
05.21,973,20162,4838,1278
05.22,634,20796,5057,1326
05.23,949,21745,5249,1351
05.24,526,22271,5402,1372
05.25,479,22750,5642,1391
05.26,415,23165,5877,1418
05.27,686,23851,6057,1473
05.28,687,24538,6240,1496
05.29,678,25216,6492,1520
05.30,557,25773,7015,1573
05.31,700,26473,7308,1613
06.01,467,26940,7637,1641
06.02,609,27549,7935,1663
06.03,0,27549,7935,1663
06.04,1269,28818,8892,1721
06.05,703,29521,9443,1770
06.06,993,30514,9907,1801
06.07,672,31186,10498,1851
06.08,847,32033,10904,1883
06.09,1043,33076,11414,1923
06.10,1240,34316,12129,1959
06.11,979,35295,12636,2000
06.12,1111,36406,13213,2048
06.13,1014,37420,13776,2091
06.14,857,38277,14531,2134
06.15,1017,39294,15123,2198
06.16,1106,40400,15703,2231
06.17,1031,41431,16243,2276
06.18,0,41431,16243,2276
