日期,新增确诊,确诊总数,治愈数,死亡数
03.14,1,1,0,0
03.15,1,2,0,1
03.16,0,2,0,1
03.17,0,2,0,1
03.18,0,2,0,1
03.19,0,2,0,1
03.20,0,2,0,1
03.21,10,12,0,1
03.22,5,17,0,1
03.23,2,19,0,1
03.24,1,20,0,1
03.25,1,21,0,1
03.26,3,24,4,1
03.27,1,25,4,1
03.28,4,32,0,1
03.29,2,34,10,1
03.30,2,36,10,1
03.31,0,36,10,1
04.01,3,39,12,1
04.02,7,46,12,1
04.03,1,47,12,1
04.04,3,50,12,1
04.05,11,61,15,2
04.06,9,70,15,3
04.07,4,74,17,3
04.08,6,80,17,3
04.09,15,95,17,3
04.10,31,126,17,3
04.11,11,137,19,3
04.12,16,153,19,3
04.13,2,155,19,5
04.14,12,167,19,5
04.15,13,180,19,5
04.16,16,196,19,5
04.17,18,214,21,7
04.18,21,235,21,7
04.19,22,257,21,7
04.20,32,289,21,7
04.21,5,294,24,7
04.22,22,316,24,8
04.23,26,342,25,10
04.24,42,384,30,11
04.25,46,430,30,11
04.26,43,473,45,13
04.27,27,500,49,15
04.28,30,530,49,15
04.29,27,557,62,16
04.30,28,585,65,16
05.01,14,599,66,16
05.02,45,644,72,16
05.03,0,644,72,16
05.04,59,703,72,17
05.05,27,730,79,19
05.06,33,763,79,19
05.07,35,798,86,21
05.08,34,832,90,23
05.09,68,900,101,24
05.10,67,967,104,24
05.11,85,1052,110,26
05.12,62,1114,111,26
05.13,85,1199,120,27
05.14,143,1342,121,29
05.15,176,1518,129,29
05.16,125,1643,135,30
05.17,120,1763,138,33
05.18,149,1912,138,35
05.19,89,2001,139,38
05.20,132,2133,155,43
05.21,132,2265,159,45
05.22,247,2512,222,48
05.23,231,2743,222,51
05.24,311,3054,244,55
05.25,370,3424,258,58
05.26,336,3760,274,59
05.27,194,3954,289,63
05.28,191,4145,493,68
05.29,203,4348,565,80
05.30,259,4607,648,90
05.31,132,4739,706,102
06.01,348,5087,735,108
06.02,249,5336,795,116
06.03,0,5336,795,116
06.04,424,5760,929,143
06.05,394,6154,979,158
06.06,331,6485,1053,216
06.07,307,6792,1133,230
06.08,263,7055,1261,252
06.09,447,7502,1323,267
06.10,364,7866,1413,289
06.11,355,8221,1504,316
06.12,340,8561,1567,334
06.13,421,8982,1702,351
06.14,509,9491,1804,367
06.15,354,9845,1886,384
06.16,427,10272,1966,399
06.17,434,10706,2096,418
06.18,0,10706,2096,418
