日期,新增确诊,确诊总数,治愈数,死亡数
03.22,1,1,0,0
03.23,0,1,0,0
03.24,0,1,0,0
03.25,0,1,0,0
03.26,3,4,0,0
03.27,2,6,0,0
03.28,0,6,0,0
03.29,0,6,0,0
03.30,6,12,0,0
03.31,3,15,0,0
04.01,0,15,0,0
04.02,3,18,0,0
04.03,4,22,0,0
04.04,0,22,0,0
04.05,7,29,0,0
04.06,0,29,0,0
04.07,2,31,0,0
04.08,0,31,0,0
04.09,2,33,0,0
04.10,0,33,0,0
04.11,1,34,0,0
04.12,0,34,0,0
04.13,0,34,0,0
04.14,0,34,0,0
04.15,1,35,0,0
04.16,0,35,0,0
04.17,0,35,0,0
04.18,0,35,0,0
04.19,4,39,3,0
04.20,0,39,3,0
04.21,0,39,3,0
04.22,0,39,6,0
04.23,0,39,6,0
04.24,0,39,11,0
04.25,0,39,11,0
04.26,0,39,13,0
04.27,0,39,13,0
04.28,0,39,13,0
04.29,0,39,19,0
04.30,0,39,19,0
05.01,0,39,26,0
05.02,0,39,26,0
05.03,0,39,26,0
05.04,0,39,26,0
05.05,0,39,26,0
05.06,0,39,30,0
05.07,0,39,30,0
05.08,0,39,30,0
05.09,0,39,37,0
05.10,0,39,37,0
05.11,0,39,37,0
05.12,0,39,38,0
05.13,0,39,38,0
05.14,0,39,38,0
05.15,0,39,38,0
05.16,0,39,39,0
05.17,0,39,39,0
05.18,0,39,39,0
05.19,0,39,39,0
05.20,0,39,39,0
05.21,0,39,39,0
05.22,0,39,39,0
05.23,0,39,39,0
05.24,0,39,39,0
05.25,0,39,39,0
05.26,0,39,39,0
05.27,0,39,39,0
05.28,0,39,39,0
05.29,0,39,39,0
05.30,0,39,39,0
05.31,0,39,39,0
06.01,0,39,39,0
06.02,0,39,39,0
06.03,0,39,39,0
06.04,0,39,39,0
06.05,0,39,39,0
06.06,0,39,39,0
06.07,0,39,39,0
06.08,0,39,39,0
06.09,0,39,39,0
06.10,0,39,39,0
06.11,2,41,39,0
06.12,0,41,39,0
06.13,0,41,39,0
06.14,24,65,39,0
06.15,31,96,39,0
06.16,13,109,39,0
06.17,12,121,39,0
06.18,0,121,39,0
