日期,新增确诊,确诊总数,治愈数,死亡数
03.18,3,3,0,0
03.19,0,3,0,0
03.20,3,6,0,0
03.21,6,12,0,0
03.22,2,14,0,0
03.23,4,16,0,0
03.24,26,42,0,0
03.25,26,42,0,0
03.26,2,44,0,0
03.27,14,58,0,0
03.28,14,58,0,0
03.29,26,84,0,0
03.30,10,94,0,0
03.31,13,107,3,0
04.01,4,111,3,0
04.02,5,116,5,0
04.03,14,130,5,1
04.04,14,144,9,1
04.05,3,147,9,1
04.06,69,216,33,4
04.07,12,228,33,4
04.08,42,270,33,4
04.09,10,280,35,4
04.10,18,298,35,5
04.11,41,339,44,5
04.12,38,377,44,5
04.13,42,419,67,5
04.14,11,430,71,5
04.15,19,449,78,5
04.16,17,466,91,5
04.17,23,489,114,5
04.18,17,506,130,5
04.19,48,554,133,5
04.20,14,568,201,7
04.21,22,590,216,7
04.22,22,612,254,7
04.23,19,631,302,8
04.24,25,656,322,8
04.25,9,665,345,8
04.26,17,682,370,8
04.27,13,695,395,8
04.28,13,708,416,8
04.29,21,729,437,8
04.30,17,746,462,8
05.01,10,756,504,8
05.02,13,769,527,8
05.03,0,769,527,8
05.04,61,830,575,10
05.05,13,843,600,11
05.06,28,871,614,12
05.07,24,895,637,12
05.08,11,906,650,12
05.09,25,931,658,12
05.10,71,1002,675,12
05.11,14,1016,688,12
05.12,21,1037,709,12
05.13,7,1044,726,12
05.14,38,1082,735,12
05.15,29,1111,745,14
05.16,6,1117,783,14
05.17,21,1138,804,14
05.18,78,1216,827,14
05.19,27,1243,898,14
05.20,27,1270,910,14
05.21,43,1313,923,14
05.22,37,1350,939,14
05.23,15,1365,957,14
05.24,38,1403,980,14
05.25,30,1433,992,16
05.26,35,1468,1015,16
05.27,52,1520,1043,16
05.28,74,1594,1066,16
05.29,68,1662,1088,16
05.30,60,1722,1113,16
05.31,26,1748,1170,16
06.01,69,1817,1181,16
06.02,28,1845,1219,17
06.03,0,1845,1219,17
06.04,54,1899,1292,20
06.05,37,1936,1340,22
06.06,38,1974,1360,22
06.07,33,2007,1425,22
06.08,25,2032,1445,23
06.09,23,2055,1483,24
06.10,38,2093,1572,26
06.11,36,2129,1630,26
06.12,37,2166,1668,26
06.13,41,2207,1722,27
06.14,78,2285,1791,27
06.15,87,2372,1813,27
06.16,100,2472,1847,28
06.17,90,2562,1902,30
06.18,0,2562,1902,30
