日期,新增确诊,确诊总数,治愈数,死亡数
03.07,1,1,0,0
03.08,0,1,0,0
03.09,2,3,0,0
03.10,0,3,0,0
03.11,0,3,0,0
03.12,6,9,0,0
03.13,0,9,0,0
03.14,13,22,0,0
03.15,0,22,0,0
03.16,23,45,0,0
03.17,12,57,0,0
03.18,18,75,0,0
03.19,25,102,1,0
03.20,26,128,1,0
03.21,30,158,1,0
03.22,52,210,1,1
03.23,25,235,3,2
03.24,42,277,3,3
03.25,101,378,6,3
03.26,92,470,6,3
03.27,21,491,8,6
03.28,48,539,10,6
03.29,69,608,10,6
03.30,94,702,10,10
03.31,96,798,15,14
04.01,108,906,31,16
04.02,159,1065,39,17
04.03,96,1161,55,19
04.04,106,1267,55,25
04.05,139,1406,85,32
04.06,79,1485,88,35
04.07,94,1579,88,46
04.08,201,1780,100,50
04.09,274,2054,123,55
04.10,169,2223,174,69
04.11,250,2473,197,80
04.12,236,2709,214,100
04.13,67,2776,270,109
04.14,76,2852,319,112
04.15,127,2979,354,127
04.16,126,3105,452,131
04.17,128,3233,550,144
04.18,206,3439,634,153
04.19,182,3621,691,166
04.20,171,3792,711,179
04.21,185,3977,804,189
04.22,172,4149,804,196
04.23,207,4356,870,206
04.24,205,4561,927,215
04.25,320,4881,1003,225
04.26,261,5142,1067,233
04.27,237,5379,1133,244
04.28,218,5597,1210,253
04.29,352,5949,1268,269
04.30,262,6211,1411,278
05.01,296,6507,1439,293
05.02,499,7006,1551,314
05.03,279,7285,1666,324
05.04,383,7668,1722,340
05.05,305,7973,1807,358
05.06,640,8613,2013,378
05.07,346,8959,2148,397
05.08,497,9456,2300,407
05.09,595,10051,2424,428
05.10,444,10495,2569,445
05.11,568,11063,2705,463
05.12,550,11613,2825,479
05.13,659,12272,2971,493
05.14,658,12930,3133,509
05.15,680,13610,3358,525
05.16,606,14216,3460,546
05.17,723,14939,3587,562
05.18,635,15574,3751,574
05.19,721,16295,3903,592
05.20,640,16935,4050,613
05.21,752,17687,4256,630
05.22,643,18330,4431,652
05.23,801,19131,4575,682
05.24,1046,20177,4718,705
05.25,998,21175,5016,727
05.26,806,21981,5265,750
05.27,1022,23003,5511,776
05.28,1101,24104,6111,803
05.29,1302,25406,6687,855
05.30,1328,26734,6935,891
05.31,485,27219,7032,916
06.01,0,27219,7032,916
06.02,3374,30593,9689,1014
06.03,0,30593,9689,1014
06.04,2873,33466,12319,1099
06.05,1774,35240,12952,1142
06.06,1519,36759,13670,1204
06.07,0,36759,13670,1204
06.08,2605,39364,15354,1323
06.09,1483,40847,16459,1373
06.10,0,40847,16459,1373
06.11,1359,42206,16566,1439
06.12,1604,43810,17366,1505
06.13,1534,45344,17823,1562
06.14,1650,46994,18749,1623
06.15,4093,51087,19855,1748
06.16,2081,53168,19985,1808
06.17,43,53211,19986,1808
06.18,1872,55083,20400,1887
