日期,新增确诊,确诊总数,治愈数,死亡数
03.11,1,1,0,0
03.12,0,1,0,0
03.13,1,2,0,0
03.14,3,5,0,0
03.15,1,6,0,0
03.16,12,18,0,0
03.17,29,47,0,0
03.18,51,98,0,1
03.19,93,191,0,2
03.20,168,359,0,4
03.21,311,670,0,9
03.22,277,947,0,21
03.23,289,1236,0,30
03.24,293,1529,0,37
03.25,343,1872,0,44
03.26,561,2433,26,59
03.27,1196,3629,26,75
03.28,2069,5698,26,92
03.29,1704,7402,70,108
03.30,1815,9217,105,131
03.31,1610,10827,162,168
04.01,2704,13531,243,214
04.02,2148,15679,333,277
04.03,2456,18135,415,356
04.04,2786,20921,484,425
04.05,3013,23934,786,501
04.06,3135,27069,1042,574
04.07,3148,30217,1326,649
04.08,3892,34109,1582,725
04.09,4117,38226,1846,812
04.10,4056,42282,2142,908
04.11,4747,47029,2423,1006
04.12,5138,52167,2965,1101
04.13,4789,56956,3446,1198
04.14,4093,61049,3957,1296
04.15,4062,65111,4799,1403
04.16,4281,69392,5674,1518
04.17,9154,78546,8631,1769
04.18,0,78546,8631,1769
04.19,3783,82329,10453,1890
04.20,3977,86306,11976,2017
04.21,4674,90980,13430,2140
04.22,4611,95591,14918,2259
04.23,3083,98674,16477,2376
04.24,3116,101790,18491,2491
04.25,3122,104912,21737,2600
04.26,2861,107773,25582,2706
04.27,2357,110130,29140,2805
04.28,2131,112261,33791,2900
04.29,2392,114653,38809,2992
04.30,2936,117589,44040,3081
05.01,2615,120204,48886,3174
05.02,2188,122392,53808,3258
05.03,1983,124375,58259,3336
05.04,1670,126045,63151,3397
05.05,1614,127659,68166,3461
05.06,1832,129491,73285,3520
05.07,2253,131744,78202,3584
05.08,1977,133721,82984,3641
05.09,1848,135569,86396,3689
05.10,1546,137115,89480,3739
05.11,1542,138657,92691,3786
05.12,1114,139771,95780,3841
05.13,1704,141475,98889,3894
05.14,1639,143114,101715,3952
05.15,1635,144749,104030,4007
05.16,1708,146457,106133,4055
05.17,1610,148067,108137,4096
05.18,1368,149435,109962,4140
05.19,1158,150593,111577,4171
05.20,1022,151615,112895,4199
05.21,972,152587,113987,4222
05.22,961,153548,114990,4249
05.23,952,154500,116111,4276
05.24,1186,155686,117602,4308
05.25,1141,156827,118694,4340
05.26,987,157814,120015,4369
05.27,948,158762,121507,4397
05.28,1035,159797,122793,4431
05.29,1182,160979,124369,4461
05.30,1141,162120,125963,4489
05.31,983,163103,126984,4515
06.01,839,163942,127973,4540
06.02,827,164769,128947,4563
06.03,786,165555,129921,4585
06.04,867,166422,130852,4609
06.05,988,167410,131778,4630
06.06,930,168340,133400,4648
06.07,878,169218,135322,4669
06.08,914,170132,137969,4692
06.09,989,171121,141380,4711
06.10,993,172114,144598,4729
06.11,922,173036,146839,4746
06.12,987,174023,147860,4763
06.13,1195,175218,149102,4778
06.14,1459,176677,150087,4792
06.15,1562,178239,151417,4807
06.16,1592,179831,152364,4825
06.17,1467,181298,153379,4842
