日期,新增确诊,确诊总数,治愈数,死亡数
03.06,2,23,0,0
03.07,0,23,0,0
03.08,3,26,0,0
03.09,10,36,0,1
03.10,15,51,0,2
03.11,11,62,0,2
03.12,7,69,0,3
03.13,0,69,0,3
03.14,4,73,0,3
03.15,0,73,2,5
03.16,25,98,2,7
03.17,0,98,2,7
03.18,0,98,2,7
03.19,11,109,2,14
03.20,0,109,2,14
03.21,42,151,4,14
03.22,9,160,4,20
03.23,24,175,4,20
03.24,12,187,4,21
03.25,0,187,4,21
03.26,21,208,4,21
03.27,15,223,4,21
03.28,0,223,6,21
03.29,1,224,6,22
03.30,49,224,6,22
03.31,6,230,13,25
04.01,6,236,13,26
04.02,0,236,13,28
04.03,9,245,21,30
04.04,6,251,26,32
04.05,15,266,35,32
04.06,0,266,35,32
04.07,11,277,35,32
04.08,2,279,40,34
04.09,29,308,45,34
04.10,36,344,50,34
04.11,12,356,53,35
04.12,0,356,53,35
04.13,0,356,53,35
04.14,15,371,53,36
04.15,1,372,53,36
04.16,54,426,55,38
04.17,0,426,55,38
04.18,29,455,60,39
04.19,6,461,60,39
04.20,1,462,61,39
04.21,14,476,62,40
04.22,12,488,62,40
04.23,13,501,63,40
04.24,0,501,63,40
04.25,12,513,64,40
04.26,25,538,64,41
04.27,0,538,64,41
04.28,0,538,64,41
04.29,25,563,69,41
04.30,6,569,78,41
05.01,0,569,78,41
05.02,11,580,83,41
05.03,0,580,83,41
05.04,2,582,86,41
05.05,7,589,92,41
05.06,19,608,97,41
05.07,14,622,106,41
05.08,1,623,114,41
05.09,14,637,126,41
05.10,-9,628,126,41
05.11,0,628,130,41
05.12,10,638,161,41
05.13,5,643,161,41
05.14,5,648,172,41
05.15,4,652,189,41
05.16,1,653,198,41
05.17,1,654,201,41
05.18,0,654,201,41
05.19,1,655,211,41
05.20,1,656,220,41
05.21,2,658,235,41
05.22,0,658,235,41
05.23,7,665,266,42
05.24,0,665,266,42
05.25,1,666,270,42
05.26,0,666,275,42
05.27,1,667,294,42
05.28,3,670,322,42
05.29,1,671,344,42
05.30,0,671,357,42
05.31,0,671,357,42
06.01,0,671,359,42
06.02,1,672,384,42
06.03,0,672,384,42
06.04,6,678,408,42
06.05,0,678,408,42
06.06,2,680,428,42
06.07,0,680,428,42
06.08,7,687,478,42
06.09,1,688,483,42
06.10,0,688,483,42
06.11,3,691,496,42
06.12,3,694,520,42
06.13,0,694,520,42
06.14,0,694,520,42
06.15,0,694,575,42
06.16,0,694,590,42
06.17,2,696,591,42
06.18,0,696,591,42
