日期,新增确诊,确诊总数,治愈数,死亡数
03.12,1,1,0,0
03.13,0,1,0,0
03.14,0,1,0,0
03.15,0,1,0,1
03.16,3,4,0,1
03.17,0,4,0,1
03.18,3,7,0,1
03.19,0,7,0,1
03.20,0,7,0,1
03.21,0,7,0,1
03.22,0,7,0,1
03.23,12,19,0,1
03.24,1,20,0,1
03.25,-15,5,0,1
03.26,0,5,0,1
03.27,0,5,0,1
03.28,0,5,0,1
03.29,21,28,6,1
03.30,-20,8,0,1
03.31,0,8,0,1
04.01,4,12,0,2
04.02,7,19,0,4
04.03,0,19,0,4
04.04,4,23,0,4
04.05,1,24,0,4
04.06,5,29,0,4
04.07,2,31,8,5
04.08,2,33,8,5
04.09,4,37,8,6
04.10,0,37,8,6
04.11,3,40,8,6
04.12,5,45,8,6
04.13,0,45,8,6
04.14,2,47,8,6
04.15,1,48,8,6
04.16,7,55,8,6
04.17,2,57,9,6
04.18,6,63,9,6
04.19,0,63,9,6
04.20,2,65,9,7
04.21,1,66,9,7
04.22,1,67,9,7
04.23,0,67,9,7
04.24,3,70,12,7
04.25,3,73,12,7
04.26,1,74,12,8
04.27,0,74,12,8
04.28,0,74,15,8
04.29,0,74,15,8
04.30,4,78,18,8
05.01,4,82,22,9
05.02,0,82,22,9
05.03,0,82,22,9
05.04,0,82,22,9
05.05,10,92,27,9
05.06,1,93,27,10
05.07,0,93,27,10
05.08,0,93,34,10
05.09,1,94,35,10
05.10,3,97,35,10
05.11,7,104,35,10
05.12,5,109,36,10
05.13,4,113,39,10
05.14,0,113,41,10
05.15,0,113,42,10
05.16,3,116,43,10
05.17,1,117,43,10
05.18,0,117,43,10
05.19,7,124,45,10
05.20,1,125,46,10
05.21,0,125,47,10
05.22,2,127,57,10
05.23,0,127,57,10
05.24,0,127,58,10
05.25,8,135,62,10
05.26,2,137,62,11
05.27,2,139,62,11
05.28,0,139,67,11
05.29,11,150,67,11
05.30,0,150,67,11
05.31,2,152,67,12
06.01,1,153,70,12
06.02,0,153,70,12
06.03,0,153,70,12
06.04,0,153,70,12
06.05,0,153,77,12
06.06,0,153,77,12
06.07,1,154,80,12
06.08,0,154,80,12
06.09,0,154,84,12
06.10,2,156,86,12
06.11,0,156,92,12
06.12,2,158,92,12
06.13,1,159,95,12
06.14,0,159,95,12
06.15,0,159,99,12
06.16,0,159,99,12
06.17,12,171,99,12
06.18,0,171,99,12
