日期,新增确诊,确诊总数,治愈数,死亡数
03.16,1,1,0,0
03.17,0,1,0,0
03.18,2,3,0,0
03.19,3,6,0,0
03.20,0,6,0,0
03.21,0,6,0,0
03.22,6,12,0,0
03.23,0,12,0,0
03.24,0,12,0,0
03.25,0,12,0,0
03.26,1,13,1,0
03.27,0,13,1,0
03.28,0,13,1,0
03.29,1,14,1,0
03.30,5,19,1,0
03.31,0,19,1,1
04.01,1,20,1,1
04.02,0,20,2,1
04.03,0,20,3,1
04.04,0,20,3,1
04.05,0,20,3,1
04.06,2,22,3,1
04.07,2,24,5,1
04.08,0,24,5,1
04.09,1,25,5,1
04.10,7,32,5,3
04.11,0,32,5,3
04.12,0,32,5,3
04.13,14,46,7,3
04.14,3,49,7,3
04.15,10,59,7,3
04.16,35,94,11,4
04.17,53,147,11,5
04.18,0,147,11,5
04.19,23,170,11,7
04.20,0,170,11,7
04.21,84,254,11,10
04.22,30,284,11,10
04.23,0,284,11,10
04.24,0,284,48,10
04.25,15,299,48,10
04.26,0,299,48,10
04.27,0,299,48,10
04.28,0,299,48,10
04.29,181,480,167,16
04.30,0,480,167,16
05.01,0,480,167,16
05.02,0,480,167,16
05.03,0,480,167,16
05.04,0,480,167,16
05.05,0,480,167,16
05.06,0,480,167,16
05.07,0,480,167,16
05.08,0,480,167,16
05.09,29,509,183,21
05.10,0,509,183,21
05.11,0,509,183,21
05.12,0,509,183,21
05.13,0,509,183,21
05.14,0,509,183,21
05.15,0,509,183,21
05.16,0,509,183,21
05.17,0,509,183,21
05.18,0,509,183,21
05.19,0,509,183,21
05.20,0,509,183,21
05.21,0,509,183,21
05.22,0,509,183,21
05.23,0,509,183,21
05.24,0,509,183,21
05.25,0,509,183,21
05.26,0,509,183,21
05.27,0,509,183,21
05.28,0,509,183,21
05.29,0,509,183,21
05.30,0,509,183,21
05.31,0,509,183,21
06.01,0,509,183,21
06.02,0,509,183,21
06.03,0,509,183,21
06.04,0,509,183,21
06.05,0,509,183,21
06.06,0,509,183,21
06.07,0,509,183,21
06.08,0,509,183,21
06.09,0,509,183,21
06.10,0,509,183,21
06.11,0,509,183,21
06.12,0,509,183,21
06.13,0,509,183,21
06.14,0,509,183,21
06.15,0,509,183,21
06.16,0,509,183,21
06.17,0,509,183,21
06.18,0,509,183,21
