日期,新增确诊,确诊总数,治愈数,死亡数
03.13,1,1,0,0
03.14,0,1,0,0
03.15,3,4,0,0
03.16,1,5,0,0
03.17,0,5,0,0
03.18,1,6,0,0
03.19,0,6,0,0
03.20,3,9,0,0
03.21,0,9,0,0
03.22,2,11,4,0
03.23,0,11,0,0
03.24,1,12,4,0
03.25,0,12,0,0
03.26,0,12,0,0
03.27,4,16,4,0
03.28,0,16,1,0
03.29,3,19,1,0
03.30,7,23,2,0
03.31,2,25,2,0
04.01,4,29,2,0
04.02,0,29,3,0
04.03,6,35,3,0
04.04,3,38,4,0
04.05,5,43,4,1
04.06,1,44,4,2
04.07,8,52,4,2
04.08,3,55,4,2
04.09,1,56,4,2
04.10,9,65,4,2
04.11,4,69,10,3
04.12,2,71,10,3
04.13,3,74,14,3
04.14,8,82,14,3
04.15,3,85,15,3
04.16,7,92,15,3
04.17,4,96,15,3
04.18,9,105,16,3
04.19,3,108,16,3
04.20,3,111,16,3
04.21,3,114,16,3
04.22,2,116,21,3
04.23,0,116,21,3
04.24,1,117,25,3
04.25,5,122,29,3
04.26,1,123,41,3
04.27,1,124,50,3
04.28,2,126,50,3
04.29,4,130,58,3
04.30,1,131,59,3
05.01,2,133,66,3
05.02,0,133,69,3
05.03,0,133,69,3
05.04,7,140,75,3
05.05,5,145,91,4
05.06,17,162,93,4
05.07,25,187,93,4
05.08,7,194,95,4
05.09,16,210,97,5
05.10,29,239,99,5
05.11,11,250,105,5
05.12,11,261,106,5
05.13,2,263,108,5
05.14,9,272,108,5
05.15,15,287,112,5
05.16,19,306,113,5
05.17,11,317,113,5
05.18,35,352,116,5
05.19,13,365,120,5
05.20,24,389,122,5
05.21,9,398,123,5
05.22,31,429,128,5
05.23,65,494,151,5
05.24,88,582,152,5
05.25,73,655,159,5
05.26,46,701,167,6
05.27,30,731,181,6
05.28,100,831,191,7
05.29,137,968,197,8
05.30,95,1063,208,8
05.31,109,1172,209,11
06.01,85,1257,217,12
06.02,87,1344,231,14
06.03,0,1344,231,14
06.04,292,1636,250,18
06.05,169,1805,262,19
06.06,129,1934,281,20
06.07,86,2020,344,27
06.08,136,2156,361,27
06.09,180,2336,379,32
06.10,0,2336,379,32
06.11,334,2670,434,40
06.12,245,2915,451,47
06.13,251,3166,495,55
06.14,179,3345,545,57
06.15,176,3521,620,60
06.16,109,3630,738,61
06.17,129,3759,849,63
06.18,0,3759,849,63
