日期,新增确诊,确诊总数,治愈数,死亡数
04.30,0,15,0,0
05.01,0,15,0,0
05.02,17,32,0,0
05.03,44,76,0,2
05.04,154,230,0,3
05.05,63,293,0,5
05.06,86,379,0,8
05.07,82,461,0,12
05.08,61,522,0,12
05.09,90,612,0,20
05.10,0,612,0,20
05.11,49,661,0,21
05.12,0,661,0,21
05.13,140,801,0,23
05.14,106,907,0,29
05.15,211,1118,0,33
05.16,204,1322,0,36
05.17,0,1322,0,36
05.18,407,1729,0,41
05.19,207,1936,0,41
05.20,0,1936,641,41
05.21,204,2140,470,41
05.22,210,2350,1008,44
05.23,388,2738,1223,44
05.24,191,2929,1301,46
05.25,0,2929,1301,46
05.26,337,3266,1417,47
05.27,158,3424,1575,47
05.28,139,3563,1674,47
05.29,123,3686,1769,47
05.30,121,3807,1865,47
05.31,123,3930,2004,47
06.01,83,4013,2089,47
06.02,87,4100,2217,47
06.03,0,4100,2217,47
06.04,91,4191,2347,48
06.05,179,4370,2491,48
06.06,0,4370,2491,48
06.07,159,4529,2673,48
06.08,80,4609,2763,48
06.09,81,4690,2815,48
06.10,0,4690,2815,48
06.11,144,4834,3062,49
06.12,68,4902,3158,49
06.13,69,4971,3288,50
06.14,64,5035,3409,50
06.15,62,5097,3503,50
06.16,0,5097,3503,50
06.17,63,5160,3624,50
