日期,新增确诊,确诊总数,治愈数,死亡数
03.03,1,1,0,0
03.04,1,2,0,0
03.05,2,4,0,0
03.06,0,4,0,0
03.07,0,4,0,0
03.08,0,4,0,0
03.09,0,4,0,0
03.10,0,4,0,0
03.11,0,4,0,0
03.12,0,4,0,0
03.13,6,10,2,0
03.14,11,21,2,0
03.15,3,24,2,0
03.16,0,24,2,0
03.17,3,27,2,0
03.18,4,31,2,0
03.19,4,36,2,0
03.20,2,38,5,0
03.21,9,47,5,0
03.22,9,56,5,0
03.23,11,67,5,0
03.24,12,79,8,0
03.25,7,86,8,0
03.26,19,105,9,0
03.27,14,119,11,0
03.28,11,130,18,0
03.29,12,142,27,0
03.30,20,162,28,0
03.31,13,175,40,0
04.01,15,190,45,1
04.02,5,195,55,1
04.03,12,207,66,1
04.04,12,219,72,2
04.05,3,222,82,2
04.06,4,226,92,2
04.07,0,226,92,2
04.08,18,244,113,2
04.09,6,250,123,2
04.10,15,265,137,2
04.11,13,278,152,2
04.12,2,280,171,2
04.13,11,291,178,2
04.14,8,299,183,2
04.15,15,314,190,2
04.16,21,335,194,2
04.17,7,342,198,2
04.18,8,350,211,3
04.19,0,350,211,3
04.20,27,377,235,5
04.21,35,412,242,5
04.22,30,442,253,6
04.23,37,479,257,6
04.24,66,545,262,7
04.25,69,614,276,7
04.26,57,671,283,8
04.27,65,736,284,9
04.28,87,823,296,9
04.29,59,882,315,9
04.30,51,933,334,9
05.01,91,1024,356,9
05.02,91,1115,368,9
05.03,0,1115,368,9
05.04,156,1271,415,10
05.05,58,1329,470,11
05.06,104,1433,493,12
05.07,59,1492,562,13
05.08,59,1551,611,13
05.09,83,1634,643,15
05.10,75,1709,650,18
05.11,177,1886,715,19
05.12,109,1995,742,19
05.13,110,2105,782,21
05.14,84,2189,842,23
05.15,121,2310,890,25
05.16,119,2429,949,25
05.17,51,2480,973,25
05.18,64,2544,1076,26
05.19,73,2617,1133,30
05.20,97,2714,1186,30
05.21,98,2812,1251,30
05.22,97,2909,1311,33
05.23,67,2976,1416,34
05.24,71,3047,1456,35
05.25,83,3130,1515,35
05.26,31,3161,1565,36
05.27,92,3253,1586,38
05.28,95,3348,1686,39
05.29,81,3429,1738,41
05.30,106,3535,1761,42
05.31,110,3645,1801,42
06.01,94,3739,1858,42
06.02,97,3836,1954,43
06.03,0,3836,1954,43
06.04,185,4021,2162,45
06.05,134,4155,2276,45
06.06,94,4249,2512,47
06.07,79,4328,2588,49
06.08,99,4427,2699,49
06.09,89,4516,2809,52
06.10,0,4516,2809,52
06.11,243,4759,2994,55
06.12,92,4851,3100,56
06.13,145,4996,3228,60
06.14,94,5090,3344,60
06.15,83,5173,3424,64
06.16,74,5247,3525,70
06.17,122,5369,3606,73
06.18,0,5369,3606,73
