日期,新增确诊,确诊总数,治愈数,死亡数
03.31,0,1,0,0
04.01,0,1,0,0
04.02,1,2,0,0
04.03,0,2,0,0
04.04,0,2,0,0
04.05,4,6,0,0
04.06,0,6,0,0
04.07,0,6,0,0
04.08,1,7,0,0
04.09,0,7,0,0
04.10,0,7,0,0
04.11,1,8,0,0
04.12,2,10,0,0
04.13,0,10,0,0
04.14,1,11,0,0
04.15,2,13,0,0
04.16,2,15,0,0
04.17,11,26,0,0
04.18,4,30,0,0
04.19,0,30,0,0
04.20,13,43,6,0
04.21,7,50,6,0
04.22,11,61,6,0
04.23,0,61,6,0
04.24,21,82,10,2
04.25,0,82,10,2
04.26,11,93,10,4
04.27,0,93,10,4
04.28,11,104,12,4
04.29,0,104,12,4
04.30,20,124,21,7
05.01,0,124,21,7
05.02,31,155,21,8
05.03,0,155,21,8
05.04,23,178,37,9
05.05,21,199,43,11
05.06,26,225,54,14
05.07,6,231,54,16
05.08,26,257,54,17
05.09,34,291,58,18
05.10,16,307,67,18
05.11,31,338,72,19
05.12,0,338,72,19
05.13,0,338,72,19
05.14,70,408,97,26
05.15,0,408,97,26
05.16,39,447,97,27
05.17,58,505,141,32
05.18,0,505,141,32
05.19,14,519,148,33
05.20,51,570,205,34
05.21,0,570,205,34
05.22,15,585,205,35
05.23,21,606,230,38
05.24,101,707,241,40
05.25,28,735,293,42
05.26,0,735,293,42
05.27,47,782,297,45
05.28,30,812,361,45
05.29,17,829,386,45
05.30,23,852,415,46
05.31,0,852,415,46
06.01,13,865,475,46
06.02,31,896,480,46
06.03,0,896,480,46
06.04,18,914,491,47
06.05,15,929,580,47
06.06,17,946,600,48
06.07,23,969,608,48
06.08,0,969,608,48
06.09,32,1001,611,49
06.10,24,1025,621,50
06.11,37,1062,637,50
06.12,41,1103,648,51
06.13,29,1132,670,51
06.14,37,1169,680,51
06.15,7,1176,683,51
06.16,0,1176,683,51
06.17,49,1225,686,51
06.18,0,1225,686,51
