日期,新增确诊,确诊总数,治愈数,死亡数
03.10,2,2,0,0
03.11,0,2,0,0
03.12,4,6,0,0
03.13,8,14,0,0
03.14,11,21,0,0
03.15,0,21,0,0
03.16,12,33,0,0
03.17,0,33,0,0
03.18,16,49,0,0
03.19,9,58,0,0
03.20,9,67,0,0
03.21,8,75,0,0
03.22,9,84,0,1
03.23,11,95,3,1
03.24,21,116,3,1
03.25,8,124,3,3
03.26,8,132,3,3
03.27,14,146,4,3
03.28,16,162,3,5
03.29,35,214,15,6
03.30,0,214,15,6
03.31,16,230,22,7
04.01,32,262,23,8
04.02,58,320,28,9
04.03,36,356,28,10
04.04,40,396,28,11
04.05,30,426,33,9
04.06,20,446,37,9
04.07,19,465,45,9
04.08,29,494,47,9
04.09,32,526,52,9
04.10,38,564,53,10
04.11,31,595,58,10
04.12,21,616,61,10
04.13,46,662,65,11
04.14,0,662,65,12
04.15,33,695,65,12
04.16,20,715,65,12
04.17,35,750,77,12
04.18,11,761,77,12
04.19,6,767,79,12
04.20,0,767,81,12
04.21,5,772,81,12
04.22,18,790,98,13
04.23,5,795,98,13
04.24,9,804,98,14
04.25,6,810,98,14
04.26,7,817,148,14
04.27,0,817,148,14
04.28,20,837,148,15
04.29,6,843,148,15
04.30,7,850,148,15
05.01,0,850,296,15
05.02,14,864,296,15
05.03,0,864,296,15
05.04,10,874,296,15
05.05,4,878,296,15
05.06,5,883,296,15
05.07,6,889,296,15
05.08,2,891,400,15
05.09,1,892,400,15
05.10,6,898,401,15
05.11,3,901,401,16
05.12,2,903,401,16
05.13,2,905,449,16
05.14,0,905,449,17
05.15,2,907,481,17
05.16,7,914,481,17
05.17,0,914,515,17
05.18,2,916,515,17
05.19,1,917,515,17
05.20,1,918,516,17
05.21,4,922,516,17
05.22,1,923,561,17
05.23,4,927,561,17
05.24,8,935,594,17
05.25,0,935,594,17
05.26,2,937,594,17
05.27,2,939,594,17
05.28,0,939,594,17
05.29,2,941,784,17
05.30,1,942,784,17
05.31,1,943,790,17
06.01,1,944,790,17
06.02,5,949,790,17
06.03,3,952,790,17
06.04,6,958,790,17
06.05,0,958,807,17
06.06,2,960,807,17
06.07,4,964,807,18
06.08,0,964,807,18
06.09,6,970,807,18
06.10,2,972,807,18
06.11,2,974,807,18
06.12,1,975,807,18
06.13,5,980,807,18
06.14,0,980,807,18
06.15,5,985,807,18
06.16,0,985,807,18
06.17,0,985,816,18
06.18,0,985,816,18
