日期,新增确诊,确诊总数,治愈数,死亡数
02.28,1,1,0,0
02.29,2,3,0,0
03.01,1,4,0,0
03.02,1,5,0,0
03.03,0,5,1,0
03.04,0,5,1,0
03.05,0,5,1,0
03.06,0,5,1,0
03.07,1,6,1,0
03.08,1,7,1,0
03.09,0,7,1,0
03.10,0,7,1,0
03.11,0,7,1,0
03.12,5,12,4,0
03.13,3,15,4,0
03.14,11,26,4,0
03.15,15,41,4,0
03.16,12,53,4,0
03.17,29,82,4,0
03.18,11,93,4,0
03.19,25,118,4,0
03.20,46,164,4,1
03.21,39,203,4,2
03.22,48,251,4,2
03.23,65,316,4,2
03.24,51,367,4,4
03.25,38,405,4,5
03.26,70,475,4,6
03.27,110,585,4,8
03.28,132,717,4,12
03.29,131,848,4,16
03.30,145,993,4,20
03.31,101,1094,35,28
04.01,121,1215,35,29
04.02,163,1378,35,37
04.03,132,1510,633,50
04.04,178,1688,633,60
04.05,202,1890,633,79
04.06,253,2143,633,94
04.07,296,2439,633,125
04.08,346,2785,633,141
04.09,396,3181,633,174
04.10,260,3441,633,194
04.11,403,3844,633,233
04.12,375,4219,1772,273
04.13,442,4661,1843,296
04.14,353,5014,1964,332
04.15,385,5399,2125,406
04.16,448,5847,2125,449
04.17,450,6297,2125,486
04.18,578,6875,2125,546
04.19,622,7497,2627,650
04.20,764,8261,2627,686
04.21,511,8772,2627,712
04.22,729,9501,2627,857
04.23,1043,10544,2627,970
04.24,1089,11633,2627,1069
04.25,1239,12872,7149,1221
04.26,970,13842,7149,1305
04.27,835,14677,8354,1351
04.28,852,15529,9086,1434
04.29,1223,16752,11423,1569
04.30,1047,17799,11423,1732
05.01,1425,19224,11423,1859
05.02,1515,20739,12377,1972
05.03,0,20739,12377,1972
05.04,2732,23471,13447,2154
05.05,1434,24905,15938,2271
05.06,1120,26025,16810,2507
05.07,1609,27634,17781,2704
05.08,1982,29616,17781,2961
05.09,1906,31522,20314,3160
05.10,1938,33460,21824,3353
05.11,1562,35022,23100,3465
05.12,1305,36327,23100,3573
05.13,1997,38324,25935,3926
05.14,1862,40186,26990,4220
05.15,2409,42595,28475,4477
05.16,2437,45032,30451,4767
05.17,2112,47144,31848,5045
05.18,2075,49219,33329,5177
05.19,2414,51633,35388,5332
05.20,2713,54346,37325,5666
05.21,2248,56594,38419,6090
05.22,2973,59567,40152,6510
05.23,2960,62527,42191,6989
05.24,3329,65856,44424,7179
05.25,2764,68620,46979,7394
05.26,2485,71105,49452,7633
05.27,3455,74560,51708,8134
05.28,3463,78023,53834,8597
05.29,3377,81400,56041,9044
05.30,3227,84627,59003,9415
05.31,2885,87512,61247,9779
06.01,3152,90664,63772,9930
06.02,2771,93435,66965,10167
06.03,3891,97326,69749,10637
06.04,3912,101238,72680,11729
06.05,4442,105680,74758,12545
06.06,4346,110026,77841,13170
06.07,3593,113619,80830,13511
06.08,3484,117103,83775,13699
06.09,2999,120102,87633,14053
06.10,4199,124301,90748,14649
06.11,4883,129184,93930,15357
06.12,4790,133974,97198,15944
06.13,5222,139196,100876,16448
06.14,3494,142690,104078,16872
06.15,4147,146837,107298,17141
06.16,3427,150264,112292,17580
06.17,4599,154863,115394,18310
