日期,新增确诊,确诊总数,治愈数,死亡数
03.06,1,1,0,0
03.07,1,1,0,0
03.08,0,1,0,0
03.09,0,1,0,0
03.10,0,1,0,0
03.11,0,1,0,0
03.12,0,1,0,0
03.13,0,1,0,0
03.14,0,1,0,0
03.15,0,1,0,0
03.16,0,1,0,0
03.17,0,1,0,0
03.18,0,1,0,0
03.19,0,1,0,0
03.20,8,9,0,0
03.21,7,16,1,0
03.22,0,16,1,0
03.23,2,18,0,0
03.24,2,20,1,0
03.25,3,23,1,0
03.26,0,23,1,0
03.27,2,25,1,0
03.28,9,25,1,1
03.29,0,25,1,1
03.30,5,30,7,1
03.31,0,30,1,1
04.01,6,36,10,2
04.02,0,36,10,2
04.03,4,40,17,3
04.04,1,41,17,3
04.05,3,44,20,3
04.06,8,52,22,3
04.07,6,58,23,3
04.08,12,70,23,3
04.09,3,73,24,3
04.10,3,76,25,3
04.11,0,76,25,3
04.12,0,76,29,3
04.13,0,76,29,3
04.14,1,77,32,3
04.15,4,81,35,3
04.16,0,81,45,5
04.17,2,83,48,5
04.18,1,84,49,5
04.19,0,84,49,5
04.20,0,84,52,5
04.21,0,84,53,6
04.22,4,88,56,6
04.23,0,88,56,6
04.24,2,90,59,6
04.25,6,96,62,6
04.26,0,96,62,6
04.27,2,98,62,6
04.28,1,99,62,6
04.29,10,109,64,7
04.30,7,116,65,9
05.01,0,116,65,9
05.02,7,123,66,9
05.03,0,123,66,9
05.04,3,126,74,9
05.05,2,128,74,9
05.06,0,128,77,9
05.07,0,128,77,9
05.08,17,145,85,10
05.09,0,145,85,10
05.10,8,153,87,10
05.11,21,174,89,11
05.12,7,181,89,11
05.13,18,199,92,11
05.14,20,219,96,11
05.15,19,238,96,11
05.16,25,263,96,11
05.17,35,298,99,11
05.18,3,301,104,11
05.19,29,330,106,12
05.20,8,338,107,12
05.21,2,340,110,12
05.22,14,354,118,12
05.23,9,363,121,12
05.24,10,373,133,12
05.25,8,381,141,12
05.26,5,386,161,13
05.27,5,391,177,13
05.28,4,395,183,13
05.29,27,422,197,13
05.30,6,428,202,13
05.31,5,433,206,13
06.01,9,442,211,13
06.02,1,443,215,13
06.03,2,445,230,13
06.04,7,452,236,13
06.05,13,465,239,13
06.06,20,485,240,13
06.07,2,487,240,13
06.08,8,495,248,13
06.09,2,497,251,13
06.10,4,501,260,13
06.11,21,522,265,13
06.12,2,524,271,13
06.13,1,525,279,13
06.14,5,530,291,13
06.15,1,531,299,13
06.16,1,532,308,13
06.17,5,537,344,13
06.18,0,537,344,13
