日期,新增确诊,确诊总数,治愈数,死亡数
03.01,1,1,0,0
03.02,0,1,0,0
03.03,0,1,0,0
03.04,0,1,0,0
03.05,0,1,0,0
03.06,0,1,0,0
03.07,0,1,0,0
03.08,0,1,0,0
03.09,0,1,0,0
03.10,4,5,0,0
03.11,0,5,0,0
03.12,0,5,0,0
03.13,0,5,0,0
03.14,0,5,0,0
03.15,0,5,0,0
03.16,0,5,0,0
03.17,16,21,0,1
03.18,0,21,0,1
03.19,0,21,0,1
03.20,13,34,0,2
03.21,78,112,0,2
03.22,78,112,0,3
03.23,90,202,0,3
03.24,110,312,3,6
03.25,0,312,3,6
03.26,80,392,3,10
03.27,189,581,3,20
03.28,138,719,3,28
03.29,140,859,3,39
03.30,699,901,4,42
03.31,208,1109,5,51
04.01,175,1284,9,57
04.02,96,1380,16,60
04.03,108,1488,16,68
04.04,0,1488,16,68
04.05,257,1745,17,82
04.06,0,1745,17,82
04.07,83,1828,33,86
04.08,128,1956,36,98
04.09,155,2111,50,108
04.10,238,2349,80,118
04.11,271,2620,98,126
04.12,139,2759,108,135
04.13,408,3167,152,177
04.14,0,3167,152,177
04.15,447,3614,208,189
04.16,0,3614,208,189
04.17,512,4126,215,200
04.18,0,4126,268,200
04.19,554,4680,363,226
04.20,0,4680,363,226
04.21,284,4964,416,235
04.22,336,5300,581,260
04.23,243,5543,581,265
04.24,0,5543,674,265
04.25,206,5749,763,267
04.26,386,6135,910,278
04.27,0,6135,910,278
04.28,158,6293,993,282
04.29,123,6416,1165,286
04.30,556,6972,1301,301
05.01,0,6972,1301,301
05.02,316,7288,1387,313
05.03,290,7578,1481,326
05.04,657,8235,1771,346
05.05,245,8480,1905,354
05.06,327,8807,1905,362
05.07,0,8807,1960,362
05.08,569,9376,2286,380
05.09,0,9376,2286,380
05.10,506,9882,2584,385
05.11,465,10347,2763,388
05.12,287,10634,2870,393
05.13,266,10900,3221,402
05.14,296,11196,3221,409
05.15,124,11320,3351,422
05.16,419,11739,3557,424
05.17,371,12110,3726,428
05.18,204,12314,5847,428
05.19,411,12725,6613,434
05.20,498,13223,6613,441
05.21,254,13477,7142,446
05.22,180,13657,7366,448
05.23,332,13989,7572,456
05.24,433,14422,7854,458
05.25,651,15073,8285,460
05.26,0,15073,8285,460
05.27,650,15723,8790,474
05.28,0,15723,8790,474
05.29,345,16068,8952,485
05.30,463,16531,9266,488
05.31,754,17285,10559,502
06.01,0,17285,10559,502
06.02,467,17752,11075,515
06.03,0,17752,11075,515
06.04,567,18319,11474,520
06.05,0,18319,11474,520
06.06,389,18708,11736,525
06.07,892,19600,12007,538
06.08,0,19600,12007,538
06.09,815,20415,12208,544
06.10,0,20415,12208,544
06.11,1022,21437,12541,561
06.12,571,22008,12754,568
06.13,564,22572,13084,577
06.14,390,22962,13320,592
06.15,309,23271,14025,605
06.16,415,23686,14133,615
06.17,0,23686,14133,615
06.18,419,24105,14216,633
