日期,新增确诊,确诊总数,治愈数,死亡数
02.25,2,2,0,0
02.26,0,2,0,0
02.27,1,3,0,0
02.28,2,5,0,0
02.29,0,5,0,0
03.01,5,10,0,0
03.02,4,14,0,0
03.03,2,16,0,0
03.04,8,24,0,0
03.05,0,24,0,0
03.06,17,41,0,0
03.07,14,55,0,0
03.08,25,104,0,0
03.09,0,104,0,0
03.10,53,157,2,0
03.11,25,182,4,0
03.12,120,302,4,1
03.13,59,361,4,1
03.14,143,504,6,1
03.15,151,655,6,1
03.16,205,860,6,2
03.17,156,1016,6,3
03.18,316,1332,9,3
03.19,314,1646,9,4
03.20,550,2196,9,6
03.21,499,2695,9,7
03.22,499,2695,9,7
03.23,932,3627,9,16
03.24,859,4486,9,25
03.25,390,4876,9,30
03.26,1125,6001,9,42
03.27,846,6847,9,49
03.28,850,7697,225,58
03.29,574,8271,225,68
03.30,1106,9377,636,108
03.31,661,10038,1095,128
04.01,463,10501,1436,146
04.02,495,10996,1749,158
04.03,416,11412,2022,168
04.04,369,11781,2507,186
04.05,139,11920,2998,204
04.06,286,12206,3463,220
04.07,341,12547,4046,243
04.08,334,12881,4512,273
04.09,282,13163,5240,295
04.10,331,13494,6064,319
04.11,288,13782,6604,337
04.12,163,13945,6987,350
04.13,73,14018,7343,368
04.14,141,14159,7633,384
04.15,166,14325,8098,393
04.16,126,14451,8986,393
04.17,126,14476,8986,410
04.18,195,14671,10214,443
04.19,28,14699,10501,443
04.20,96,14795,10631,470
04.21,78,14873,10971,491
04.22,52,14925,11328,510
04.23,77,15002,11694,522
04.24,69,15071,11872,530
04.25,77,15148,12103,536
04.26,77,15225,12282,542
04.27,49,15274,12362,549
04.28,83,15357,12580,569
04.29,45,15402,12779,580
04.30,50,15452,12907,584
05.01,109,15561,13110,589
05.02,-3,15558,13180,596
05.03,0,15558,13180,596
05.04,63,15621,13316,600
05.05,29,15650,13462,606
05.06,34,15684,13639,608
05.07,68,15752,13698,609
05.08,22,15774,13836,614
05.09,59,15833,13928,615
05.10,38,15871,13991,618
05.11,11,15882,14061,620
05.12,79,15961,14148,623
05.13,36,15997,14304,624
05.14,61,16058,14405,626
05.15,51,16109,14471,628
05.16,92,16201,14524,629
05.17,41,16242,14563,629
05.18,27,16269,14614,629
05.19,52,16321,14678,632
05.20,32,16353,14882,633
05.21,51,16404,14951,633
05.22,32,16436,15005,635
05.23,50,16486,15037,639
05.24,17,16503,15063,640
05.25,36,16539,15138,641
05.26,18,16557,15182,643
05.27,34,16591,15228,645
05.28,37,16628,15286,668
05.29,27,16655,15347,668
05.30,30,16685,15520,668
05.31,46,16731,15593,668
06.01,2,16733,15596,668
06.02,26,16759,15629,669
06.03,0,16759,15629,669
06.04,46,16805,15717,670
06.05,38,16843,15742,672
06.06,55,16898,15789,672
06.07,0,16898,15789,672
06.08,70,16968,15839,672
06.09,11,16979,15875,672
06.10,0,16979,15875,672
06.11,55,17034,15949,674
06.12,30,17064,15985,675
06.13,14,17078,16012,677
06.14,31,17109,16059,677
06.15,26,17135,16066,678
06.16,54,17189,16089,681
06.17,14,17203,16099,687
06.18,0,17203,16099,687
