日期,新增确诊,确诊总数,治愈数,死亡数
03.21,2,2,0,0
03.22,0,2,0,0
03.23,0,2,0,0
03.24,1,3,0,0
03.25,0,3,0,0
03.26,0,3,0,0
03.27,1,4,0,0
03.28,1,4,0,0
03.29,1,5,0,0
03.30,2,7,0,2
03.31,0,7,1,2
04.01,0,7,1,2
04.02,1,8,1,2
04.03,0,8,1,2
04.04,0,8,1,2
04.05,2,10,2,2
04.06,4,14,2,2
04.07,2,16,2,2
04.08,1,17,2,2
04.09,2,19,2,2
04.10,0,19,2,2
04.11,0,19,2,2
04.12,0,19,4,2
04.13,0,19,4,2
04.14,0,19,4,2
04.15,0,19,5,2
04.16,0,19,5,2
04.17,0,19,5,2
04.18,0,19,5,2
04.19,5,24,6,2
04.20,0,24,6,2
04.21,0,24,6,2
04.22,0,24,6,2
04.23,1,25,6,2
04.24,0,25,6,2
04.25,0,25,6,2
04.26,0,25,6,2
04.27,1,26,6,2
04.28,1,27,6,2
04.29,0,27,6,2
04.30,0,27,7,2
05.01,0,27,7,2
05.02,3,30,11,2
05.03,5,35,11,2
05.04,0,35,11,2
05.05,0,35,11,2
05.06,1,36,11,2
05.07,0,36,11,2
05.08,0,36,11,2
05.09,7,43,11,2
05.10,0,43,13,2
05.11,2,45,13,2
05.12,0,45,13,2
05.13,0,45,13,2
05.14,0,45,14,2
05.15,3,48,14,2
05.16,0,48,17,2
05.17,0,48,17,2
05.18,0,48,17,2
05.19,2,50,17,3
05.20,2,52,17,3
05.21,6,58,17,3
05.22,0,58,17,3
05.23,2,60,17,3
05.24,1,61,18,4
05.25,8,69,18,4
05.26,1,70,18,4
05.27,1,71,18,4
05.28,0,71,18,4
05.29,3,74,18,4
05.30,7,81,18,4
05.31,3,84,18,4
06.01,2,86,18,4
06.02,0,86,18,4
06.03,0,86,18,4
06.04,0,86,18,4
06.05,0,86,18,4
06.06,0,86,21,4
06.07,2,88,24,4
06.08,3,91,24,4
06.09,1,92,38,4
06.10,4,96,38,4
06.11,17,113,40,4
06.12,5,118,41,5
06.13,12,130,42,5
06.14,8,138,61,6
06.15,2,140,61,6
06.16,2,142,64,6
06.17,6,148,64,6
06.18,0,148,64,6
