日期,新增确诊,确诊总数,治愈数,死亡数
03.14,1,1,0,0
03.15,0,1,0,0
03.16,0,1,0,0
03.17,0,1,0,0
03.18,0,1,0,0
03.19,0,1,0,0
03.20,0,1,0,0
03.21,0,1,0,0
03.22,0,1,0,0
03.23,0,1,0,0
03.24,2,3,0,0
03.25,0,3,0,0
03.26,0,3,0,0
03.27,4,7,0,0
03.28,6,7,0,0
03.29,0,7,0,0
03.30,0,7,0,0
03.31,0,7,0,0
04.01,0,7,0,0
04.02,0,7,0,0
04.03,2,9,0,0
04.04,6,15,0,0
04.05,0,15,0,0
04.06,0,15,0,0
04.07,0,15,0,0
04.08,4,19,0,2
04.09,0,19,0,2
04.10,0,19,0,2
04.11,2,21,0,2
04.12,0,21,0,2
04.13,2,23,0,2
04.14,0,23,3,2
04.15,0,23,3,2
04.16,0,23,3,3
04.17,0,23,3,3
04.18,0,23,3,3
04.19,0,23,3,3
04.20,0,23,3,3
04.21,0,23,7,3
04.22,1,24,7,3
04.23,0,24,10,3
04.24,0,24,10,3
04.25,0,24,11,3
04.26,0,24,11,3
04.27,0,24,11,3
04.28,0,24,11,3
04.29,0,24,11,3
04.30,0,24,11,3
05.01,0,24,11,3
05.02,1,25,15,3
05.03,0,25,15,3
05.04,0,25,15,3
05.05,0,25,16,3
05.06,0,25,16,3
05.07,0,25,16,3
05.08,0,25,16,3
05.09,0,25,19,3
05.10,0,25,19,3
05.11,0,25,19,3
05.12,0,25,19,3
05.13,0,25,19,3
05.14,0,25,19,3
05.15,0,25,19,3
05.16,0,25,19,3
05.17,0,25,19,3
05.18,0,25,19,3
05.19,0,25,19,3
05.20,0,25,19,3
05.21,0,25,19,3
05.22,0,25,19,3
05.23,0,25,19,3
05.24,0,25,19,3
05.25,0,25,19,3
05.26,0,25,19,3
05.27,0,25,19,3
05.28,0,25,19,3
05.29,0,25,19,3
05.30,0,25,19,3
05.31,0,25,19,3
06.01,1,26,19,3
06.02,0,26,19,3
06.03,0,26,19,3
06.04,0,26,20,3
06.05,0,26,20,3
06.06,0,26,20,3
06.07,0,26,20,3
06.08,0,26,20,3
06.09,0,26,20,3
06.10,0,26,20,3
06.11,0,26,20,3
06.12,0,26,20,3
06.13,0,26,20,3
06.14,0,26,20,3
06.15,0,26,20,3
06.16,0,26,22,3
06.17,0,26,22,3
06.18,0,26,22,3
