日期,新增确诊,确诊总数,治愈数,死亡数
03.02,1,1,0,0
03.03,0,1,0,0
03.04,0,1,0,0
03.05,0,1,0,0
03.06,0,1,0,0
03.07,0,1,0,0
03.08,0,1,0,0
03.09,0,1,0,0
03.10,0,1,0,0
03.11,0,1,0,0
03.12,0,1,0,0
03.13,1,2,1,0
03.14,0,2,1,0
03.15,0,2,1,0
03.16,0,2,1,0
03.17,13,15,1,0
03.18,25,40,1,0
03.19,14,54,1,0
03.20,21,75,1,0
03.21,13,88,1,0
03.22,26,114,1,1
03.23,19,133,1,1
03.24,31,164,1,1
03.25,21,185,1,1
03.26,35,220,1,1
03.27,43,263,1,1
03.28,4,267,1,3
03.29,67,334,6,6
03.30,0,334,6,6
03.31,36,370,10,8
04.01,20,390,10,14
04.02,38,428,10,15
04.03,11,439,16,16
04.04,27,466,21,17
04.05,35,501,26,18
04.06,0,501,26,18
04.07,24,525,31,21
04.08,39,564,52,23
04.09,19,583,58,25
04.10,18,601,71,26
04.11,0,601,71,26
04.12,37,638,128,29
04.13,8,646,128,29
04.14,0,646,128,29
04.15,27,673,169,33
04.16,0,673,169,33
04.17,23,696,191,35
04.18,8,704,205,35
04.19,0,704,205,35
04.20,9,713,235,36
04.21,4,717,248,37
04.22,0,717,282,37
04.23,6,723,309,37
04.24,0,723,333,37
04.25,8,731,344,40
04.26,7,738,344,40
04.27,0,738,344,40
04.28,5,743,385,40
04.29,0,743,398,41
04.30,0,743,423,42
05.01,2,745,468,42
05.02,0,745,468,43
05.03,2,747,472,44
05.04,1,748,493,45
05.05,2,750,499,45
05.06,1,751,514,46
05.07,0,751,521,46
05.08,1,752,526,47
05.09,0,752,537,47
05.10,2,754,545,48
05.11,1,755,550,48
05.12,0,755,550,48
05.13,3,758,568,48
05.14,2,760,576,49
05.15,1,761,596,49
05.16,0,761,604,49
05.17,0,761,615,51
05.18,0,761,617,51
05.19,0,761,628,51
05.20,0,761,628,51
05.21,1,762,639,51
05.22,0,762,639,51
05.23,0,762,652,51
05.24,0,762,653,51
05.25,1,763,663,51
05.26,0,763,663,51
05.27,0,763,676,51
05.28,0,763,676,51
05.29,1,764,684,51
05.30,0,764,684,51
05.31,0,764,692,51
06.01,0,764,694,51
06.02,3,767,733,51
06.03,77,844,733,51
06.04,8,852,738,51
06.05,0,852,741,51
06.06,0,852,741,51
06.07,0,852,741,51
06.08,0,852,744,51
06.09,0,852,751,51
06.10,0,852,757,51
06.11,0,852,759,51
06.12,1,853,781,51
06.13,0,853,781,51
06.14,0,853,781,51
06.15,0,853,789,51
06.16,1,854,789,52
06.17,0,854,791,52
06.18,0,854,791,52
