日期,新增确诊,确诊总数,治愈数,死亡数
03.19,1,1,0,0
03.20,0,1,0,0
03.21,1,2,0,0
03.22,0,2,0,0
03.23,0,2,0,0
03.24,0,2,0,0
03.25,0,2,0,0
03.26,0,2,0,0
03.27,0,2,0,1
03.28,3,4,0,1
03.29,0,4,0,1
03.30,0,4,0,1
03.31,0,4,0,1
04.01,1,5,0,1
04.02,0,5,0,1
04.03,0,5,0,1
04.04,0,5,0,1
04.05,0,5,0,1
04.06,1,6,0,1
04.07,0,6,0,1
04.08,0,6,0,1
04.09,0,6,0,1
04.10,1,7,0,1
04.11,1,8,0,1
04.12,1,9,4,1
04.13,0,9,4,1
04.14,0,9,4,1
04.15,0,9,4,1
04.16,0,9,4,1
04.17,0,9,4,1
04.18,0,9,6,1
04.19,0,9,6,2
04.20,1,10,6,2
04.21,0,10,6,2
04.22,0,10,7,2
04.23,0,10,7,2
04.24,1,11,7,3
04.25,0,11,7,3
04.26,1,12,7,3
04.27,1,13,7,3
04.28,0,13,7,3
04.29,0,13,7,3
04.30,1,14,7,3
05.01,0,14,7,3
05.02,0,14,7,3
05.03,0,14,7,3
05.04,1,15,7,5
05.05,0,15,7,5
05.06,1,16,7,5
05.07,0,16,7,5
05.08,0,16,7,5
05.09,0,16,7,5
05.10,0,16,7,5
05.11,0,16,7,5
05.12,0,16,7,5
05.13,9,25,7,8
05.14,0,25,7,8
05.15,0,25,7,8
05.16,0,25,7,8
05.17,0,25,7,8
05.18,0,25,7,8
05.19,0,25,7,8
05.20,229,254,199,17
05.21,0,254,199,17
05.22,25,279,199,17
05.23,0,279,199,17
05.24,0,279,199,17
05.25,0,279,199,17
05.26,0,279,199,17
05.27,480,759,370,35
05.28,0,759,370,35
05.29,0,759,370,35
05.30,0,759,370,35
05.31,0,759,370,35
06.01,0,759,370,35
06.02,0,759,370,35
06.03,359,1118,370,46
06.04,0,1118,370,46
06.05,0,1118,370,46
06.06,0,1118,370,46
06.07,0,1118,370,46
06.08,0,1118,370,46
06.09,0,1118,370,46
06.10,0,1118,370,46
06.11,346,1464,953,55
06.12,0,1464,953,55
06.13,0,1464,953,55
06.14,0,1464,953,55
06.15,0,1464,953,55
06.16,0,1464,953,55
06.17,359,1823,1238,64
06.18,0,1823,1238,64
