日期,新增确诊,确诊总数,治愈数,死亡数
02.28,1,1,0,0
02.29,0,1,0,0
03.01,0,1,0,0
03.02,0,1,0,0
03.03,0,1,0,0
03.04,0,1,0,0
03.05,0,1,0,0
03.06,0,1,0,0
03.07,0,1,0,0
03.08,0,1,0,0
03.09,1,2,0,0
03.10,0,2,0,0
03.11,0,2,0,0
03.12,0,2,0,0
03.13,0,2,0,0
03.14,0,2,0,0
03.15,0,2,0,0
03.16,0,2,0,0
03.17,1,3,0,0
03.18,5,8,1,0
03.19,4,12,1,0
03.20,0,12,1,0
03.21,10,22,1,0
03.22,4,26,1,0
03.23,14,36,2,1
03.24,4,40,2,1
03.25,4,44,2,1
03.26,7,51,2,1
03.27,14,65,3,1
03.28,16,81,3,1
03.29,16,97,3,1
03.30,14,111,3,1
03.31,24,135,8,2
04.01,16,151,9,2
04.02,23,174,9,2
04.03,16,190,20,2
04.04,20,210,25,4
04.05,14,224,27,5
04.06,8,232,33,5
04.07,6,238,35,5
04.08,16,254,44,6
04.09,22,276,44,6
04.10,12,288,51,7
04.11,17,305,58,7
04.12,13,318,70,10
04.13,5,323,85,10
04.14,20,343,91,10
04.15,30,373,99,11
04.16,34,407,128,12
04.17,35,442,152,13
04.18,51,493,159,17
04.19,49,542,166,19
04.20,85,627,170,21
04.21,38,665,188,22
04.22,117,782,197,25
04.23,91,873,197,28
04.24,108,981,197,31
04.25,114,1095,208,32
04.26,87,1182,222,35
04.27,91,1273,239,40
04.28,64,1337,255,40
04.29,195,1532,255,44
04.30,196,1728,307,51
05.01,204,1932,319,58
05.02,238,2170,351,68
05.03,0,2170,351,68
05.04,388,2558,400,87
05.05,244,2802,417,93
05.06,148,2950,481,98
05.07,195,3145,534,103
05.08,381,3526,601,107
05.09,386,3912,679,117
05.10,239,4151,745,128
05.11,248,4399,778,143
05.12,242,4641,902,150
05.13,146,4787,959,158
05.14,184,4971,1070,164
05.15,191,5162,1180,167
05.16,288,5450,1320,171
05.17,171,5621,1472,176
05.18,338,5959,1594,182
05.19,216,6175,1644,191
05.20,226,6401,1734,192
05.21,276,6677,1840,200
05.22,339,7016,1907,211
05.23,245,7261,2007,221
05.24,265,7526,2174,221
05.25,313,7839,2263,226
05.26,229,8068,2311,233
05.27,276,8344,2385,249
05.28,389,8733,2501,254
05.29,182,8915,2592,259
05.30,387,9302,2697,261
05.31,553,9855,2856,273
06.01,307,10162,3007,287
06.02,416,10578,3122,299
06.03,241,10819,3240,314
06.04,347,11166,3329,315
06.05,350,11516,3535,323
06.06,328,11844,3696,333
06.07,389,12233,3826,342
06.08,253,12486,3959,354
06.09,315,12801,4040,361
06.10,663,13464,4206,365
06.11,409,13873,4351,382
06.12,681,14554,4494,387
06.13,627,15181,4891,399
06.14,501,15682,5101,407
06.15,403,16085,5220,420
06.16,573,16658,5349,424
06.17,490,17148,5623,455
06.18,0,17148,5623,455
