日期,新增确诊,确诊总数,治愈数,死亡数
03.20,1,1,0,0
03.21,0,1,0,0
03.22,1,2,0,0
03.23,0,2,0,0
03.24,1,3,0,0
03.25,4,7,0,1
03.26,0,7,0,1
03.27,1,8,0,1
03.28,2,10,0,1
03.29,8,18,0,1
03.30,8,18,0,1
03.31,9,27,0,3
04.01,7,34,0,3
04.02,40,74,0,5
04.03,24,98,0,5
04.04,22,120,0,5
04.05,24,144,0,8
04.06,40,184,13,10
04.07,69,253,26,10
04.08,25,278,26,11
04.09,64,342,28,11
04.10,68,410,40,11
04.11,28,438,41,11
04.12,53,491,41,11
04.13,38,529,75,12
04.14,19,548,86,13
04.15,22,570,90,14
04.16,14,584,90,14
04.17,25,609,105,15
04.18,18,627,110,18
04.19,12,639,113,19
04.20,9,648,117,20
04.21,7,655,124,20
04.22,2,657,127,20
04.23,5,662,193,22
04.24,9,671,256,24
04.25,10,681,289,24
04.26,3,684,325,27
04.27,12,696,350,29
04.28,5,701,385,29
04.29,8,709,403,31
04.30,4,713,435,32
05.01,6,719,452,32
05.02,9,728,478,33
05.03,0,728,478,33
05.04,22,750,518,36
05.05,5,755,534,37
05.06,8,763,543,38
05.07,7,770,561,38
05.08,11,781,586,42
05.09,14,795,600,44
05.10,20,815,617,45
05.11,6,821,624,46
05.12,11,832,637,46
05.13,22,854,648,47
05.14,6,860,658,49
05.15,16,876,677,50
05.16,9,885,684,51
05.17,4,889,689,51
05.18,15,904,698,54
05.19,5,909,714,55
05.20,5,914,734,55
05.21,6,920,738,58
05.22,4,924,753,60
05.23,13,937,764,60
05.24,6,943,775,61
05.25,2,945,783,61
05.26,6,951,786,62
05.27,1,952,796,63
05.28,3,955,796,64
05.29,0,955,803,64
05.30,0,955,813,64
05.31,1,956,818,64
06.01,2,958,839,64
06.02,0,958,844,65
06.03,2,960,848,65
06.04,1,961,857,65
06.05,2,963,860,65
06.06,3,966,863,65
06.07,4,970,867,65
06.08,3,973,867,65
06.09,0,973,869,65
06.10,1,974,871,65
06.11,0,974,876,65
06.12,0,974,878,65
06.13,4,978,881,65
06.14,2,980,881,66
06.15,0,980,885,66
06.16,0,980,885,66
06.17,36,1016,885,66
06.18,0,1016,885,66
