日期,新增确诊,确诊总数,治愈数,死亡数
03.08,1,1,0,0
03.09,0,1,0,0
03.10,0,1,0,0
03.11,1,2,0,0
03.12,3,5,0,0
03.13,0,5,0,0
03.14,1,6,0,0
03.15,0,6,0,0
03.16,0,6,0,0
03.17,0,6,0,0
03.18,0,6,0,0
03.19,5,11,0,0
03.20,2,13,0,0
03.21,5,18,0,0
03.22,4,22,0,1
03.23,0,22,0,1
03.24,5,27,0,1
03.25,10,37,0,3
03.26,4,41,0,3
03.27,4,41,0,3
03.28,4,56,1,3
03.29,0,56,1,3
03.30,6,64,1,3
03.31,1,65,1,3
04.01,4,69,1,3
04.02,8,77,2,3
04.03,15,92,4,3
04.04,4,96,12,3
04.05,8,104,12,3
04.06,9,113,12,5
04.07,2,115,15,5
04.08,4,119,15,5
04.09,5,124,18,5
04.10,5,129,18,6
04.11,4,133,18,6
04.12,1,134,22,6
04.13,13,147,22,6
04.14,12,159,22,7
04.15,2,161,23,8
04.16,13,174,30,8
04.17,25,199,30,8
04.18,3,202,35,8
04.19,4,206,41,8
04.20,2,208,46,8
04.21,0,208,53,8
04.22,5,213,62,9
04.23,0,213,62,9
04.24,7,220,70,9
04.25,3,223,78,9
04.26,5,228,85,9
04.27,0,228,85,9
04.28,2,230,95,9
04.29,9,239,102,9
04.30,10,249,111,9
05.01,17,266,113,10
05.02,67,333,115,10
05.03,0,333,115,10
05.04,63,396,126,10
05.05,19,415,130,10
05.06,16,431,135,10
05.07,9,440,142,10
05.08,22,462,148,10
05.09,101,563,152,10
05.10,126,689,155,10
05.11,24,713,165,10
05.12,11,724,170,10
05.13,13,737,173,10
05.14,3,740,182,11
05.15,14,754,184,11
05.16,5,759,193,11
05.17,19,778,198,11
05.18,8,786,202,11
05.19,2,788,219,11
05.20,41,829,230,11
05.21,4,833,242,11
05.22,3,836,256,11
05.23,2,838,264,11
05.24,12,850,298,11
05.25,12,862,307,11
05.26,3,865,344,11
05.27,12,877,382,11
05.28,7,884,392,11
05.29,16,900,402,11
05.30,17,917,413,11
05.31,47,964,466,11
06.01,22,986,477,11
06.02,9,995,488,11
06.03,18,1013,498,11
06.04,57,1070,511,11
06.05,16,1086,511,11
06.06,1,1087,516,11
06.07,3,1090,532,11
06.08,45,1135,575,11
06.09,10,1145,603,11
06.10,42,1187,604,11
06.11,15,1202,619,11
06.12,28,1230,624,11
06.13,24,1254,633,11
06.14,7,1261,647,11
06.15,28,1289,650,11
06.16,7,1296,673,12
06.17,7,1303,699,13
06.18,0,1303,699,13
