日期,新增确诊,确诊总数,治愈数,死亡数
02.24,0,1,0,0
02.25,16,17,0,0
02.26,9,26,0,0
02.27,10,33,0,0
02.28,5,38,0,0
02.29,3,41,0,0
03.01,0,41,0,0
03.02,6,47,0,0
03.03,0,47,0,0
03.04,3,50,0,0
03.05,0,50,0,0
03.06,6,56,4,0
03.07,0,56,4,0
03.08,21,77,6,0
03.09,32,109,14,0
03.10,0,109,14,0
03.11,80,189,30,0
03.12,6,195,35,0
03.13,15,210,44,0
03.14,1,211,60,0
03.15,3,214,60,0
03.16,7,221,77,1
03.17,16,237,81,1
03.18,19,256,81,1
03.19,13,269,100,1
03.20,16,285,110,1
03.21,21,306,125,1
03.22,28,334,129,2
03.23,5,339,160,2
03.24,52,391,177,3
03.25,28,419,190,4
03.26,38,457,204,4
03.27,9,466,227,4
03.28,7,473,254,4
03.29,16,515,272,4
03.30,16,515,279,4
03.31,52,567,295,4
04.01,0,567,316,4
04.02,68,635,341,4
04.03,37,672,382,4
04.04,16,688,399,4
04.05,10,698,427,4
04.06,25,723,451,4
04.07,88,811,458,4
04.08,10,821,467,5
04.09,34,855,495,5
04.10,58,913,530,6
04.11,103,1016,551,6
04.12,71,1087,557,6
04.13,261,1348,591,6
04.14,174,1522,645,7
04.15,149,1671,663,7
04.16,27,1698,703,7
04.17,42,1740,725,7
04.18,27,1767,741,7
04.19,106,1873,759,7
04.20,22,1895,769,7
04.21,57,1952,783,7
04.22,57,2009,1026,7
04.23,89,2098,1082,8
04.24,408,2506,1082,8
04.25,82,2588,1160,8
04.26,0,2588,1160,8
04.27,59,2647,1189,8
04.28,163,2810,1246,8
04.29,1,2811,1310,8
04.30,226,3037,1495,8
05.01,3,3040,1500,8
05.02,233,3273,1567,8
05.03,11,3284,1568,8
05.04,99,3383,1718,8
05.05,296,3679,1762,8
05.06,163,3842,1860,8
05.07,289,4131,1998,8
05.08,273,4404,2027,8
05.09,191,4595,2049,8
05.10,261,4856,2065,8
05.11,301,5157,2152,8
05.12,252,5409,2182,9
05.13,371,5780,2195,9
05.14,36,5816,2205,10
05.15,602,6418,2637,10
05.16,237,6655,2753,12
05.17,275,6930,2774,12
05.18,226,7156,2929,12
05.19,218,7374,2952,12
05.20,469,7843,3334,12
05.21,196,8039,3715,12
05.22,135,8174,3873,12
05.23,600,8774,4462,12
05.24,319,9093,4581,13
05.25,71,9164,4753,14
05.26,59,9223,4916,14
05.27,410,9633,5142,15
05.28,344,9977,5295,15
05.29,375,10352,5491,15
05.30,388,10740,5811,15
05.31,548,11288,6673,19
06.01,516,11804,7070,19
06.02,425,12229,7397,19
06.03,82,12311,7407,19
06.04,504,12815,7410,21
06.05,918,13733,8471,22
06.06,491,14224,9020,23
06.07,539,14763,9468,25
06.08,654,15417,10326,26
06.09,314,15731,10606,29
06.10,469,16200,11109,29
06.11,467,16667,11487,34
06.12,602,17269,11903,36
06.13,444,17713,12191,37
06.14,514,18227,12818,41
06.15,317,18544,13197,46
06.16,469,19013,13267,47
06.17,540,19553,13866,48
06.18,0,19553,13866,48
