日期,新增确诊,确诊总数,治愈数,死亡数
02.26,1,1,0,0
02.27,0,1,0,0
02.28,0,1,0,0
02.29,0,1,0,0
03.01,1,2,0,0
03.02,0,2,0,0
03.03,0,2,0,0
03.04,0,2,0,0
03.05,1,3,0,0
03.06,5,8,0,0
03.07,5,13,0,0
03.08,6,19,0,0
03.09,6,25,0,0
03.10,5,30,0,0
03.11,4,34,0,0
03.12,18,52,0,0
03.13,25,77,0,0
03.14,21,98,0,0
03.15,23,121,0,0
03.16,79,200,0,0
03.17,34,234,0,1
03.18,57,291,0,1
03.19,223,514,0,4
03.20,133,647,0,4
03.21,323,970,2,11
03.22,158,1128,2,18
03.23,418,1546,2,25
03.24,345,1891,2,34
03.25,310,2201,2,46
03.26,232,2433,2,57
03.27,482,2915,2,77
03.28,562,3477,6,93
03.29,487,3904,6,117
03.30,352,4256,6,136
03.31,425,4681,127,167
04.01,1180,5861,127,203
04.02,1150,7011,127,250
04.03,1154,8165,127,332
04.04,1051,9216,127,365
04.05,1215,10431,127,446
04.06,867,11298,127,489
04.07,1043,12341,127,581
04.08,1811,14152,127,699
04.09,2086,16238,173,823
04.10,1938,18176,173,957
04.11,1767,19943,173,1074
04.12,1099,21042,173,1144
04.13,1583,22625,173,1245
04.14,1330,23955,2979,1361
04.15,1803,25758,14026,1557
04.16,3257,29015,14026,1760
04.17,1876,30891,14026,1952
04.18,3594,34485,14026,2181
04.19,2440,36925,14026,2372
04.20,2219,39144,22130,2484
04.21,1670,40814,22991,2588
04.22,2778,43592,24325,2769
04.23,2756,46348,25318,2934
04.24,4164,50512,26573,3365
04.25,3531,54043,27655,3704
04.26,5436,59479,29160,4062
04.27,3849,63328,30152,4298
04.28,4118,67446,31142,4603
04.29,5789,73235,32544,5083
04.30,7011,80246,34132,5541
05.01,6941,87187,35935,6006
05.02,5443,92630,38039,6434
05.03,3929,96559,40937,6750
05.04,5267,101826,42991,7051
05.05,6794,108620,45815,7367
05.06,7679,116299,48221,7966
05.07,11090,127389,51370,8605
05.08,9920,137309,55350,9307
05.09,9694,147003,59297,10037
05.10,9601,156604,61685,10697
05.11,6906,163510,64957,11207
05.12,6511,170021,67384,11701
05.13,9436,179457,72597,12531
05.14,12624,192081,78424,13276
05.15,14426,206507,79479,14131
05.16,13784,220291,84970,14962
05.17,13220,233511,89672,15662
05.18,10541,244052,94122,16201
05.19,13344,257396,100459,16941
05.20,14489,271885,106794,17983
05.21,19694,291579,116683,18859
05.22,18508,310087,125960,20047
05.23,20803,330890,135430,21048
05.24,16508,347398,142587,22013
05.25,15813,363211,149911,22666
05.26,11687,374898,153833,23473
05.27,16324,391222,158593,24512
05.28,20599,411821,166647,25598
05.29,26417,438238,177604,26754
05.30,26928,465166,189476,27878
05.31,33274,498440,200892,28834
06.01,16409,514849,206555,29314
06.02,11598,526447,211080,29937
06.03,28936,555383,223638,31199
06.04,28633,584016,238617,32548
06.05,30925,614941,254963,34021
06.06,31065,646006,254963,34021
06.07,27581,673587,277149,35930
06.08,18171,691758,283952,36455
06.09,15654,707412,378257,37134
06.10,32091,739503,396737,38406
06.11,32913,772416,413916,39680
06.12,30412,802828,431071,40919
06.13,25982,828810,445123,41828
06.14,21704,850514,459436,42720
06.15,17110,867624,469141,43332
06.16,20647,888271,477709,43959
06.17,34918,923189,490005,45241
06.18,0,923189,490005,45241
