日期,新增确诊,确诊总数,治愈数,死亡数
03.10,2,2,0,0
03.11,0,2,0,0
03.12,0,2,0,0
03.13,0,2,0,0
03.14,0,2,0,0
03.15,0,2,0,0
03.16,13,15,0,0
03.17,0,15,0,0
03.18,5,20,0,1
03.19,7,27,0,1
03.20,6,33,0,1
03.21,7,40,4,1
03.22,24,64,5,3
03.23,35,99,5,4
03.24,50,114,5,4
03.25,0,114,7,4
03.26,32,146,10,7
03.27,6,152,10,7
03.28,28,180,12,9
03.29,27,207,21,11
03.30,15,222,23,12
03.31,24,246,31,12
04.01,15,261,32,14
04.02,27,288,50,16
04.03,0,288,50,16
04.04,14,302,50,16
04.05,16,318,66,16
04.06,27,345,90,17
04.07,19,364,108,18
04.08,20,384,127,19
04.09,30,414,134,23
04.10,29,443,146,24
04.11,5,448,149,26
04.12,36,484,155,27
04.13,13,497,161,27
04.14,18,515,161,27
04.15,13,528,177,30
04.16,14,542,226,32
04.17,4,546,257,32
04.18,11,557,294,35
04.19,8,565,321,36
04.20,11,576,338,36
04.21,5,581,357,38
04.22,19,600,362,38
04.23,9,609,389,39
04.24,7,616,410,41
04.25,13,629,425,41
04.26,0,629,442,41
04.27,3,632,453,42
04.28,3,635,469,42
04.29,3,638,476,42
04.30,3,641,498,43
05.01,4,645,506,43
05.02,4,649,517,44
05.03,3,652,535,44
05.04,10,662,540,45
05.05,10,672,545,46
05.06,16,688,548,48
05.07,41,729,555,48
05.08,7,736,562,48
05.09,8,744,566,48
05.10,4,748,569,48
05.11,3,751,577,49
05.12,9,760,584,50
05.13,6,766,588,51
05.14,7,773,592,51
05.15,0,773,592,51
05.16,7,780,595,51
05.17,2,782,604,51
05.18,14,796,644,51
05.19,0,796,652,51
05.20,13,809,661,52
05.21,3,812,669,52
05.22,0,812,669,52
05.23,2,814,672,52
05.24,0,814,672,52
05.25,18,832,672,52
05.26,0,832,672,52
05.27,13,845,672,53
05.28,0,845,672,53
05.29,2,847,719,53
05.30,0,847,720,53
05.31,0,847,720,53
06.01,0,847,720,53
06.02,34,881,720,53
06.03,0,881,720,53
06.04,3,884,753,53
06.05,1,885,760,53
06.06,3,888,760,53
06.07,0,888,765,53
06.08,2,890,765,53
06.09,0,890,765,53
06.10,1,891,765,53
06.11,0,891,790,53
06.12,1,892,791,53
06.13,0,892,799,53
06.14,2,894,799,53
06.15,0,894,804,53
06.16,0,894,807,53
06.17,1,895,809,53
06.18,0,895,809,53
