日期,新增确诊,确诊总数,治愈数,死亡数
01.31,2,2,0,0
02.01,0,2,0,0
02.02,0,2,0,0
02.03,0,2,0,0
02.04,0,2,0,0
02.05,0,2,0,0
02.06,0,2,0,0
02.07,1,3,0,0
02.08,0,3,0,0
02.09,0,3,0,0
02.10,0,3,0,0
02.11,0,3,0,0
02.12,0,3,0,0
02.13,0,3,0,0
02.14,0,3,0,0
02.15,0,3,0,0
02.16,0,3,0,0
02.17,0,3,0,0
02.18,0,3,0,0
02.19,0,3,0,0
02.20,0,3,0,0
02.21,3,6,0,0
02.22,17,20,0,2
02.23,56,132,1,2
02.24,98,230,2,6
02.25,53,283,1,7
02.26,91,374,1,12
02.27,154,528,42,14
02.28,127,655,45,17
02.29,238,888,46,21
03.01,240,1128,50,29
03.02,585,1713,83,41
03.03,373,2086,149,52
03.04,460,2546,160,79
03.05,543,3089,276,107
03.06,838,3927,414,148
03.07,822,4680,523,197
03.08,1332,6012,589,233
03.09,1541,7424,622,366
03.10,1796,9220,724,463
03.11,1063,10283,1004,631
03.12,2179,12462,1045,827
03.13,2923,15385,1258,1016
03.14,2547,17660,1439,1266
03.15,3610,21270,1966,1441
03.16,3590,24747,2335,1809
03.17,3233,27980,2749,2158
03.18,3526,31506,2941,2503
03.19,4949,36455,4025,2978
03.20,5322,41035,4440,3405
03.21,5986,47021,5129,4032
03.22,6557,53578,6072,4825
03.23,5560,59138,7024,5476
03.24,4789,63927,7432,6077
03.25,5249,69176,8326,6820
03.26,5210,74386,9362,7503
03.27,6153,80539,10361,8215
03.28,5959,86498,10950,9134
03.29,5974,92472,12384,10023
03.30,5217,97689,13030,10779
03.31,4050,101739,14620,11591
04.01,4053,105792,15729,12428
04.02,4782,110574,16847,13155
04.03,4668,115242,18278,13915
04.04,4585,119827,19758,14681
04.05,4805,124632,20996,15362
04.06,4316,128948,21815,15887
04.07,3599,132547,22837,16523
04.08,3039,135586,24392,17127
04.09,3836,139422,26491,17669
04.10,4204,143626,28470,18279
04.11,3951,147577,30455,18849
04.12,4694,152271,32534,19468
04.13,4092,156363,34211,19899
04.14,3153,159516,35435,20465
04.15,2972,162488,37130,21067
04.16,2667,165155,38092,21645
04.17,3786,168941,40164,22170
04.18,3493,172434,42727,22745
04.19,3491,175925,44927,23227
04.20,3047,178972,47055,23660
04.21,2256,181228,48877,24114
04.22,2729,183957,51600,24648
04.23,3370,187327,54543,25085
04.24,2646,189973,57576,25549
04.25,3021,192994,60498,25969
04.26,2357,195351,63120,26384
04.27,2324,197675,64928,26644
04.28,1739,199414,66624,26977
04.29,2091,201505,68941,27359
04.30,2086,203591,71252,27682
05.01,1872,205463,75945,27967
05.02,1965,207428,78249,28236
05.03,1900,209328,79914,28710
05.04,1389,210717,81654,28884
05.05,1221,211938,82879,29079
05.06,1075,213013,85231,29315
05.07,1444,214457,93245,29684
05.08,1401,215858,96276,29958
05.09,1327,217185,99023,30201
05.10,1083,218268,103031,30395
05.11,802,219070,105186,30560
05.12,744,219814,106587,30739
05.13,1402,221216,109039,30911
05.14,888,222104,112541,31106
05.15,992,223096,115288,31368
05.16,789,223885,120205,31610
05.17,875,224760,122810,31763
05.18,675,225435,125176,31908
05.19,451,225886,127326,32007
05.20,813,226699,129401,32169
05.21,665,227364,132282,32330
05.22,642,228006,134560,32486
05.23,652,228658,136720,32616
05.24,669,229327,138840,32735
05.25,531,229858,140479,32785
05.26,300,230158,141981,32877
05.27,397,230555,144658,32955
05.28,584,231139,147101,33072
05.29,593,231732,150604,33142
05.30,516,232248,152844,33229
05.31,416,232664,155633,33340
06.01,333,232997,157507,33415
06.02,200,233197,158355,33475
06.03,318,233515,160092,33530
06.04,321,233836,160938,33601
06.05,177,234013,161895,33689
06.06,518,234531,163781,33774
06.07,270,234801,165078,33846
06.08,197,234998,165837,33899
06.09,280,235278,166584,33964
06.10,283,235561,168646,34043
06.11,202,235763,169939,34114
06.12,379,236142,171338,34167
06.13,163,236305,173085,34223
06.14,346,236651,174865,34301
06.15,338,236989,176370,34345
06.16,301,237290,177010,34371
06.17,210,237500,178526,34405
06.18,0,237500,178526,34405
