日期,新增确诊,确诊总数,治愈数,死亡数
02.27,1,1,0,0
02.28,3,4,0,0
02.29,3,7,0,0
03.01,10,17,0,0
03.02,2,19,0,0
03.03,13,32,0,0
03.04,2,34,0,0
03.05,22,56,0,0
03.06,30,86,0,0
03.07,27,113,0,0
03.08,10,157,0,0
03.09,19,176,0,0
03.10,51,227,1,0
03.11,173,400,1,0
03.12,303,703,1,0
03.13,97,800,1,1
03.14,196,996,1,1
03.15,0,996,1,3
03.16,260,1256,1,3
03.17,75,1331,1,3
03.18,140,1471,1,3
03.19,137,1589,1,6
03.20,201,1790,1,7
03.21,160,1950,1,7
03.22,214,2164,1,7
03.23,98,2262,1,7
03.24,311,2573,1,10
03.25,223,2796,1,12
03.26,245,3041,1,14
03.27,274,3315,1,14
03.28,456,3771,7,19
03.29,261,4032,7,23
03.30,269,4284,7,26
03.31,315,4599,13,36
04.01,229,4828,13,43
04.02,291,5119,32,47
04.03,177,5296,32,56
04.04,223,5519,32,61
04.05,167,5686,32,66
04.06,74,5760,32,73
04.07,106,5866,32,88
04.08,220,6086,32,93
04.09,74,6160,32,104
04.10,84,6244,32,108
04.11,116,6360,32,114
04.12,125,6485,32,124
04.13,62,6547,32,133
04.14,76,6623,32,139
04.15,117,6740,32,145
04.16,58,6798,32,150
04.17,139,6937,32,161
04.18,99,7036,32,163
04.19,42,7078,32,165
04.20,25,7103,32,169
04.21,88,7191,32,182
04.22,84,7275,32,185
04.23,86,7361,32,191
04.24,40,7401,32,195
04.25,92,7493,32,201
04.26,6,7499,32,201
04.27,28,7527,32,202
04.28,72,7599,32,206
04.29,81,7680,32,207
04.30,58,7738,32,207
05.01,21,7759,32,210
05.02,24,7783,32,210
05.03,18,7801,32,211
05.04,83,7884,32,214
05.05,20,7904,32,215
05.06,51,7955,32,215
05.07,41,7996,32,216
05.08,59,8055,32,218
05.09,15,8070,32,218
05.10,29,8099,32,219
05.11,23,8122,32,219
05.12,10,8132,32,224
05.13,36,8168,32,229
05.14,19,8187,32,232
05.15,19,8206,32,232
05.16,13,8219,32,232
05.17,25,8244,32,232
05.18,13,8257,32,233
05.19,7,8264,32,233
05.20,3,8267,32,234
05.21,34,8301,32,235
05.22,8,8309,32,235
05.23,31,8340,7727,235
05.24,9,8349,7727,235
05.25,11,8360,7727,235
05.26,14,8374,7727,235
05.27,17,8391,7727,235
05.28,15,8406,7727,236
05.29,16,8422,7727,236
05.30,13,8435,7727,236
05.31,5,8440,7727,236
06.01,2,8442,7727,236
06.02,10,8452,7727,237
06.03,3,8455,7727,237
06.04,33,8488,8138,238
06.05,22,8510,8138,238
06.06,21,8531,8138,238
06.07,16,8547,8138,238
06.08,14,8561,8138,239
06.09,6,8567,8138,239
06.10,9,8576,8138,239
06.11,24,8600,8138,242
06.12,13,8613,8138,242
06.13,12,8625,8138,242
06.14,4,8629,8138,242
06.15,10,8639,8138,242
06.16,16,8655,8138,242
06.17,25,8680,8138,243
06.18,0,8680,8138,243
