日期,新增确诊,确诊总数,治愈数,死亡数
03.08,1,1,0,0
03.09,0,1,0,0
03.10,0,1,0,0
03.11,0,1,0,0
03.12,2,3,0,0
03.13,3,6,0,0
03.14,2,8,0,0
03.15,4,12,0,0
03.16,11,23,0,0
03.17,0,23,0,0
03.18,1,30,0,1
03.19,6,36,1,1
03.20,13,49,1,1
03.21,17,66,1,1
03.22,14,80,1,1
03.23,14,94,1,1
03.24,14,109,1,1
03.25,16,125,1,1
03.26,24,149,1,1
03.27,28,177,1,1
03.28,22,199,1,1
03.29,32,231,2,2
03.30,32,263,13,2
03.31,90,353,18,4
04.01,0,353,22,4
04.02,152,505,23,6
04.03,0,505,26,6
04.04,86,591,26,10
04.05,161,752,30,14
04.06,112,864,37,17
04.07,192,1056,40,22
04.08,0,1056,40,24
04.09,118,1174,50,28
04.10,264,1438,56,29
04.11,0,1438,75,29
04.12,224,1662,94,31
04.13,50,1712,107,35
04.14,135,1847,134,36
04.15,87,1934,171,43
04.16,115,2049,235,53
04.17,105,2154,276,55
04.18,224,2378,391,57
04.19,-27,2351,457,62
04.20,121,2472,457,68
04.21,142,2614,505,72
04.22,164,2778,560,75
04.23,148,2926,661,80
04.24,184,3110,755,84
04.25,194,3304,825,94
04.26,104,3408,895,96
04.27,73,3481,925,101
04.28,157,3638,975,103
04.29,133,3771,1114,107
04.30,126,3897,1182,116
05.01,0,3897,1272,122
05.02,155,4052,1334,124
05.03,0,4052,1334,124
05.04,196,4248,1423,128
05.05,115,4363,1544,136
05.06,0,4363,1544,136
05.07,113,4476,1747,145
05.08,252,4728,1826,150
05.09,0,4728,1925,159
05.10,139,4867,1925,161
05.11,60,4927,1980,171
05.12,68,4995,1980,175
05.13,411,5406,2176,185
05.14,0,5406,2176,185
05.15,147,5553,2228,194
05.16,192,5745,2228,202
05.17,189,5934,2344,207
05.18,204,6138,2425,217
05.19,0,6138,2508,219
05.20,415,6553,2953,228
05.21,0,6553,2953,228
05.22,151,6704,2953,233
05.23,290,6994,3452,242
05.24,99,7093,3713,250
05.25,54,7147,3802,261
05.26,0,7147,3884,265
05.27,390,7537,3884,274
05.28,188,7725,4123,282
05.29,171,7896,4278,288
05.30,202,8098,4455,291
05.31,153,8251,4581,295
06.01,109,8360,4622,305
06.02,188,8548,4738,307
06.03,0,8548,4738,307
06.04,470,9018,5009,315
06.05,229,9247,5240,323
06.06,0,9247,5450,326
06.07,453,9700,5638,341
06.08,0,9700,5738,346
06.09,325,10025,5797,365
06.10,0,10025,5930,367
06.11,702,10727,6072,375
06.12,366,11093,6229,385
06.13,0,11093,6421,395
06.14,647,11740,6623,406
06.15,0,11740,6794,408
06.16,514,12254,6901,423
06.17,0,12254,7077,427
06.18,0,12254,7077,427
