日期,新增确诊,确诊总数,治愈数,死亡数
02.29,1,1,0,0
03.01,0,1,0,0
03.02,0,1,0,0
03.03,0,1,0,0
03.04,0,1,0,0
03.05,0,1,0,0
03.06,0,1,0,0
03.07,0,1,0,0
03.08,0,1,0,0
03.09,0,1,0,0
03.10,0,1,0,0
03.11,0,1,0,0
03.12,1,2,0,0
03.13,0,2,0,0
03.14,0,2,0,0
03.15,1,3,0,0
03.16,4,7,0,0
03.17,2,9,0,0
03.18,0,9,0,0
03.19,0,9,0,0
03.20,2,11,0,0
03.21,1,12,0,0
03.22,6,18,0,0
03.23,5,23,0,0
03.24,0,23,1,0
03.25,4,27,1,0
03.26,4,31,1,0
03.27,2,33,1,0
03.28,9,42,1,0
03.29,1,43,1,0
03.30,3,46,1,1
03.31,3,49,1,1
04.01,3,52,2,1
04.02,3,55,2,1
04.03,5,60,2,1
04.04,4,64,3,1
04.05,2,66,3,1
04.06,7,73,3,1
04.07,4,77,4,1
04.08,2,79,4,1
04.09,2,81,4,1
04.10,3,84,5,1
04.11,6,90,5,1
04.12,2,92,5,1
04.13,1,93,6,1
04.14,0,93,6,1
04.15,0,93,6,1
04.16,0,93,12,3
04.17,0,93,12,3
04.18,1,94,20,3
04.19,0,94,22,3
04.20,0,94,22,3
04.21,0,94,23,3
04.22,0,94,26,3
04.23,0,94,27,3
04.24,0,94,35,4
04.25,0,94,41,4
04.26,0,94,42,4
04.27,0,94,42,4
04.28,1,95,42,4
04.29,0,95,50,4
04.30,0,95,58,4
05.01,0,95,64,4
05.02,0,95,73,4
05.03,0,95,73,4
05.04,0,95,78,4
05.05,0,95,78,4
05.06,0,95,81,4
05.07,0,95,82,4
05.08,0,95,82,4
05.09,0,95,82,4
05.10,1,96,82,4
05.11,0,96,82,4
05.12,0,96,85,4
05.13,0,96,85,4
05.14,0,96,87,4
05.15,0,96,87,4
05.16,0,96,87,4
05.17,0,96,87,4
05.18,0,96,87,4
05.19,1,97,87,4
05.20,0,97,87,4
05.21,0,97,90,4
05.22,0,97,90,4
05.23,0,97,90,4
05.24,1,98,90,4
05.25,0,98,90,4
05.26,0,98,90,4
05.27,0,98,90,4
05.28,0,98,90,4
05.29,0,98,90,4
05.30,0,98,90,4
05.31,1,99,90,4
06.01,0,99,90,4
06.02,0,99,90,4
06.03,0,99,90,4
06.04,0,99,90,4
06.05,0,99,92,4
06.06,0,99,93,4
06.07,0,99,93,4
06.08,0,99,93,4
06.09,0,99,93,4
06.10,0,99,93,4
06.11,0,99,93,4
06.12,0,99,93,4
06.13,0,99,93,4
06.14,0,99,93,4
06.15,0,99,93,4
06.16,0,99,93,4
06.17,0,99,94,4
06.18,0,99,94,4
