日期,新增确诊,确诊总数,治愈数,死亡数
03.09,1,1,0,0
03.10,5,6,0,0
03.11,5,11,0,0
03.12,14,25,0,0
03.13,12,37,0,0
03.14,3,40,0,0
03.15,10,50,0,0
03.16,4,54,0,0
03.17,2,56,0,0
03.18,12,68,0,0
03.19,5,73,0,0
03.20,5,78,1,0
03.21,5,83,2,0
03.22,5,88,2,0
03.23,3,91,2,0
03.24,13,104,2,0
03.25,5,109,2,0
03.26,5,114,5,0
03.27,1,115,11,0
03.28,5,120,25,1
03.29,6,126,34,1
03.30,1,127,38,1
03.31,2,129,45,1
04.01,2,131,52,1
04.02,2,133,56,1
04.03,1,134,65,1
04.04,1,135,66,1
04.05,0,135,73,1
04.06,0,135,82,1
04.07,0,135,85,1
04.08,0,135,91,1
04.09,0,135,92,1
04.10,1,136,99,1
04.11,0,136,104,1
04.12,0,136,106,1
04.13,0,136,107,1
04.14,0,136,107,1
04.15,0,136,108,1
04.16,0,136,108,1
04.17,0,136,112,1
04.18,1,137,113,1
04.19,1,138,115,1
04.20,0,138,116,1
04.21,0,138,116,1
04.22,0,138,117,1
04.23,0,138,119,1
04.24,0,138,120,1
04.25,0,138,121,1
04.26,0,138,123,1
04.27,0,138,124,1
04.28,0,138,124,1
04.29,0,138,124,1
04.30,0,138,124,1
05.01,0,138,124,1
05.02,0,138,126,1
05.03,0,138,126,1
05.04,0,138,130,1
05.05,0,138,131,1
05.06,1,139,131,1
05.07,2,141,131,1
05.08,0,141,132,1
05.09,0,141,132,1
05.10,0,141,134,1
05.11,0,141,134,1
05.12,0,141,134,1
05.13,0,141,134,1
05.14,0,141,134,1
05.15,0,141,134,1
05.16,0,141,136,1
05.17,0,141,136,1
05.18,0,141,136,1
05.19,0,141,136,1
05.20,0,141,136,1
05.21,0,141,136,1
05.22,0,141,136,1
05.23,0,141,136,1
05.24,0,141,136,1
05.25,0,141,137,1
05.26,0,141,137,1
05.27,0,141,137,2
05.28,0,141,138,2
05.29,0,141,138,2
05.30,0,141,138,2
05.31,0,141,138,2
06.01,0,141,138,2
06.02,0,141,138,2
06.03,0,141,138,2
06.04,0,141,138,2
06.05,0,141,138,2
06.06,0,141,138,2
06.07,0,141,138,2
06.08,0,141,138,2
06.09,0,141,138,2
06.10,0,141,138,2
06.11,0,141,138,2
06.12,0,141,138,2
06.13,0,141,138,2
06.14,0,141,138,2
06.15,0,141,138,2
06.16,0,141,138,3
06.17,0,141,138,3
06.18,0,141,138,3
