日期,新增确诊,确诊总数,治愈数,死亡数
03.21,0,1,0,0
03.22,1,2,0,0
03.23,1,3,0,0
03.24,1,4,0,0
03.25,1,5,0,0
03.26,0,5,0,0
03.27,0,5,0,0
03.28,0,5,0,0
03.29,0,5,0,0
03.30,0,5,0,0
03.31,0,5,0,0
04.01,0,5,0,0
04.02,2,7,0,0
04.03,0,7,0,0
04.04,5,12,0,0
04.05,0,12,0,0
04.06,2,14,0,0
04.07,1,15,0,0
04.08,0,15,0,0
04.09,0,15,0,0
04.10,1,16,0,0
04.11,0,16,0,0
04.12,0,16,0,0
04.13,0,16,0,0
04.14,0,16,0,0
04.15,0,16,0,0
04.16,1,17,0,0
04.17,0,17,0,0
04.18,0,17,0,0
04.19,0,17,0,0
04.20,1,18,3,0
04.21,0,18,3,0
04.22,0,18,8,0
04.23,0,18,8,0
04.24,0,18,10,0
04.25,0,18,10,0
04.26,0,18,10,0
04.27,0,18,12,0
04.28,0,18,12,0
04.29,0,18,12,0
04.30,0,18,12,0
05.01,0,18,12,0
05.02,0,18,14,0
05.03,0,18,14,0
05.04,0,18,14,0
05.05,0,18,14,0
05.06,0,18,14,0
05.07,0,18,14,0
05.08,0,18,14,0
05.09,0,18,14,0
05.10,0,18,14,0
05.11,0,18,14,0
05.12,0,18,14,0
05.13,0,18,14,0
05.14,0,18,14,0
05.15,0,18,14,0
05.16,0,18,15,0
05.17,0,18,15,0
05.18,0,18,15,0
05.19,0,18,15,0
05.20,0,18,15,0
05.21,0,18,15,0
05.22,0,18,15,0
05.23,0,18,15,0
05.24,0,18,15,0
05.25,0,18,15,0
05.26,0,18,15,0
05.27,0,18,15,0
05.28,0,18,15,0
05.29,0,18,15,0
05.30,0,18,15,0
05.31,0,18,15,0
06.01,0,18,15,0
06.02,0,18,15,0
06.03,0,18,15,0
06.04,0,18,15,0
06.05,0,18,18,0
06.06,0,18,18,0
06.07,0,18,18,0
06.08,0,18,18,0
06.09,0,18,18,0
06.10,0,18,18,0
06.11,0,18,18,0
06.12,0,18,18,0
06.13,0,18,18,0
06.14,0,18,18,0
06.15,0,18,18,0
06.16,0,18,18,0
06.17,0,18,18,0
06.18,0,18,18,0
