日期,新增确诊,确诊总数,治愈数,死亡数
03.14,1,1,0,0
03.15,0,1,0,0
03.16,0,1,0,0
03.17,0,1,0,0
03.18,0,1,0,0
03.19,0,1,0,0
03.20,0,1,0,0
03.21,0,1,0,0
03.22,3,4,0,0
03.23,0,4,0,0
03.24,1,5,0,0
03.25,-1,4,0,0
03.26,0,4,0,0
03.27,2,6,0,0
03.28,3,9,0,0
03.29,4,9,0,0
03.30,0,9,0,0
03.31,0,9,0,0
04.01,0,9,0,0
04.02,0,9,0,0
04.03,0,9,0,0
04.04,0,9,0,0
04.05,0,9,0,0
04.06,0,9,0,0
04.07,1,10,4,0
04.08,0,10,4,0
04.09,2,12,7,0
04.10,0,12,7,0
04.11,0,12,7,0
04.12,2,14,7,0
04.13,0,14,7,0
04.14,1,15,8,0
04.15,0,15,8,0
04.16,1,16,8,0
04.17,0,16,8,1
04.18,3,19,8,1
04.19,3,22,8,1
04.20,2,24,8,1
04.21,0,24,8,1
04.22,7,31,8,1
04.23,0,31,8,1
04.24,5,36,10,1
04.25,4,40,10,1
04.26,19,59,10,1
04.27,0,59,10,1
04.28,12,71,10,1
04.29,0,71,10,1
04.30,29,100,12,1
05.01,0,100,12,1
05.02,8,108,12,1
05.03,0,108,12,1
05.04,4,112,12,1
05.05,4,116,12,1
05.06,3,119,12,1
05.07,4,123,12,2
05.08,30,153,12,2
05.09,6,159,12,2
05.10,4,163,14,2
05.11,9,172,27,2
05.12,3,175,28,2
05.13,9,184,28,2
05.14,3,187,48,2
05.15,0,187,51,2
05.16,3,190,66,2
05.17,12,202,72,2
05.18,1,203,73,2
05.19,2,205,78,2
05.20,3,208,87,2
05.21,9,217,97,2
05.22,3,220,112,2
05.23,5,225,119,2
05.24,13,238,119,2
05.25,12,250,156,2
05.26,6,256,158,2
05.27,5,261,164,2
05.28,11,272,168,2
05.29,7,279,168,2
05.30,0,279,168,2
05.31,4,283,168,2
06.01,2,285,189,2
06.02,8,293,194,3
06.03,1,294,198,3
06.04,1,295,201,3
06.05,5,300,201,3
06.06,5,305,221,3
06.07,28,333,225,3
06.08,0,333,225,3
06.09,7,340,229,3
06.10,31,371,232,3
06.11,27,398,236,3
06.12,51,449,238,3
06.13,23,472,246,3
06.14,14,486,247,3
06.15,4,490,249,4
06.16,16,506,249,4
06.17,14,520,259,4
06.18,0,520,259,4
