日期,新增确诊,确诊总数,治愈数,死亡数
03.05,1,1,0,0
03.06,6,7,0,0
03.07,1,8,0,0
03.08,4,16,0,0
03.09,0,16,0,0
03.10,15,31,0,0
03.11,16,47,0,0
03.12,42,89,0,0
03.13,52,141,0,0
03.14,40,181,0,0
03.15,40,181,0,1
03.16,38,219,0,1
03.17,34,253,0,1
03.18,0,253,0,1
03.19,0,253,0,1
03.20,33,286,0,1
03.21,55,341,0,1
03.22,42,383,0,1
03.23,73,414,0,2
03.24,28,442,0,3
03.25,34,476,0,3
03.26,50,526,0,5
03.27,39,562,0,5
03.28,70,632,0,9
03.29,52,684,10,9
03.30,72,756,10,11
03.31,46,802,10,15
04.01,39,841,10,15
04.02,56,897,70,17
04.03,37,934,70,20
04.04,43,977,79,22
04.05,20,997,79,28
04.06,24,1021,102,30
04.07,38,1059,102,36
04.08,32,1091,120,40
04.09,33,1124,128,43
04.10,36,1160,137,45
04.11,28,1188,148,50
04.12,17,1205,150,53
04.13,7,1212,152,55
04.14,8,1220,152,56
04.15,28,1248,165,61
04.16,20,1268,174,61
04.17,36,1304,174,66
04.18,13,1317,190,70
04.19,13,1330,192,74
04.20,5,1335,193,77
04.21,9,1344,197,77
04.22,9,1353,205,79
04.23,13,1366,211,79
04.24,7,1373,211,80
04.25,15,1388,219,81
04.26,8,1396,221,82
04.27,6,1402,221,83
04.28,6,1408,223,86
04.29,10,1418,230,89
04.30,11,1429,233,91
05.01,0,1429,233,91
05.02,10,1439,239,94
05.03,0,1439,239,94
05.04,0,1439,241,97
05.05,6,1445,244,98
05.06,3,1448,246,99
05.07,1,1449,247,99
05.08,1,1450,252,100
05.09,4,1454,255,101
05.10,3,1457,256,102
05.11,3,1460,256,102
05.12,1,1461,259,102
05.13,2,1463,260,103
05.14,1,1464,267,103
05.15,1,1465,270,103
05.16,0,1465,272,103
05.17,1,1466,273,104
05.18,0,1466,274,104
05.19,1,1467,1335,104
05.20,1,1468,1340,105
05.21,0,1468,1340,106
05.22,0,1468,1340,106
05.23,0,1468,1340,106
05.24,0,1468,1340,107
05.25,1,1469,1346,107
05.26,0,1469,1346,108
05.27,2,1471,1354,108
05.28,2,1473,1356,108
05.29,0,1473,1357,108
05.30,0,1473,1357,108
05.31,0,1473,1358,108
06.01,0,1473,1358,109
06.02,2,1475,1358,109
06.03,0,1475,1358,109
06.04,2,1477,1359,109
06.05,2,1479,1359,109
06.06,5,1484,1359,109
06.07,1,1485,1359,109
06.08,0,1485,1359,109
06.09,1,1486,1359,109
06.10,0,1486,1359,109
06.11,2,1488,1359,109
06.12,2,1490,1359,109
06.13,2,1492,1359,109
06.14,3,1495,1359,109
06.15,1,1496,1359,109
06.16,3,1499,1359,109
06.17,4,1503,1359,109
06.18,0,1503,1359,109
