日期,新增确诊,确诊总数,治愈数,死亡数
01.28,0,1,0,0
01.29,0,1,0,0
01.30,0,1,0,0
01.31,0,1,0,0
02.01,0,1,1,0
02.02,0,1,1,0
02.03,0,1,1,0
02.04,0,1,1,0
02.05,0,1,1,0
02.06,0,1,1,0
02.07,0,1,1,0
02.08,0,1,1,0
02.09,0,1,1,0
02.10,0,1,1,0
02.11,0,1,1,0
02.12,0,1,1,0
02.13,0,1,1,0
02.14,0,1,1,0
02.15,0,1,1,0
02.16,0,1,1,0
02.17,0,1,1,0
02.18,0,1,1,0
02.19,0,1,1,0
02.20,0,1,1,0
02.21,0,1,1,0
02.22,0,1,1,0
02.23,0,1,1,0
02.24,0,1,1,0
02.25,0,1,1,0
02.26,0,1,1,0
02.27,0,1,1,0
02.28,0,1,1,0
02.29,0,1,1,0
03.01,0,1,1,0
03.02,0,1,1,0
03.03,0,1,1,0
03.04,0,1,1,0
03.05,0,1,1,0
03.06,0,1,1,0
03.07,0,1,1,0
03.08,0,1,1,0
03.09,0,1,1,0
03.10,0,1,1,0
03.11,1,2,1,0
03.12,1,3,1,0
03.13,0,3,1,0
03.14,5,11,1,0
03.15,1,12,1,0
03.16,11,23,1,0
03.17,15,44,1,0
03.18,6,50,1,0
03.19,10,60,1,0
03.20,5,71,1,0
03.21,6,77,1,0
03.22,4,81,1,0
03.23,11,92,1,0
03.24,8,100,1,0
03.25,2,102,1,0
03.26,4,106,6,0
03.27,0,106,7,0
03.28,4,110,6,0
03.29,3,113,9,1
03.30,9,122,11,1
03.31,20,142,16,2
04.01,4,146,21,2
04.02,5,151,21,3
04.03,1,152,24,4
04.04,10,162,27,5
04.05,12,174,29,5
04.06,4,178,34,5
04.07,7,185,42,6
04.08,4,189,44,7
04.09,1,190,49,7
04.10,0,190,50,7
04.11,8,198,54,7
04.12,5,203,55,7
04.13,14,217,56,7
04.14,2,219,61,7
04.15,16,235,63,7
04.16,3,238,68,7
04.17,4,242,77,7
04.18,6,248,86,7
04.19,21,269,96,7
04.20,35,304,98,7
04.21,6,310,102,7
04.22,13,323,105,7
04.23,17,340,107,7
04.24,76,416,109,7
04.25,24,440,118,7
04.26,45,485,120,7
04.27,86,571,126,7
04.28,40,611,134,7
04.29,16,627,136,7
04.30,26,653,139,7
05.01,15,668,157,7
05.02,22,690,172,7
05.03,12,702,172,7
05.04,19,721,194,8
05.05,39,760,197,9
05.06,14,774,215,9
05.07,30,804,232,9
05.08,20,824,240,9
05.09,23,847,260,9
05.10,8,855,321,9
05.11,8,863,343,9
05.12,16,879,366,9
05.13,14,893,382,9
05.14,23,916,445,9
05.15,9,925,477,9
05.16,24,949,520,9
05.17,15,964,538,9
05.18,17,981,559,9
05.19,39,1020,569,9
05.20,7,1027,584,9
05.21,18,1045,604,9
05.22,10,1055,620,9
05.23,30,1085,660,9
05.24,33,1118,674,9
05.25,64,1182,695,10
05.26,96,1278,712,10
05.27,175,1453,732,10
05.28,50,1503,745,10
05.29,37,1540,754,10
05.30,23,1563,781,10
05.31,67,1630,801,10
06.01,9,1639,811,11
06.02,10,1649,823,11
06.03,34,1683,823,11
06.04,107,1790,839,11
06.05,10,1800,858,11
06.06,10,1810,891,11
06.07,9,1819,941,11
06.08,26,1845,990,11
06.09,13,1858,1057,11
06.10,1,1859,1057,11
06.11,14,1873,1150,11
06.12,5,1878,1196,11
06.13,4,1882,1252,11
06.14,7,1889,1287,11
06.15,7,1896,1342,11
06.16,18,1914,1371,11
06.17,10,1924,1397,11
06.18,0,1924,1397,11
