日期,新增确诊,确诊总数,治愈数,死亡数
01.28,0,7,0,0
01.29,3,10,0,0
01.30,6,16,0,0
01.31,0,16,0,0
02.01,2,18,0,0
02.02,0,18,0,0
02.03,0,18,0,0
02.04,6,24,1,0
02.05,4,28,1,0
02.06,2,30,1,0
02.07,3,33,2,0
02.08,7,40,2,0
02.09,0,40,2,0
02.10,5,45,7,0
02.11,2,47,9,0
02.12,3,50,9,0
02.13,8,58,15,0
02.14,9,67,17,0
02.15,0,67,17,0
02.16,5,72,18,0
02.17,3,75,19,0
02.18,6,81,29,0
02.19,3,84,34,0
02.20,0,84,34,0
02.21,1,85,37,0
02.22,3,89,49,0
02.23,0,89,49,0
02.24,1,90,53,0
02.25,0,90,53,0
02.26,3,93,58,0
02.27,0,93,58,0
02.28,3,96,66,0
02.29,6,102,72,0
03.01,4,106,74,0
03.02,2,108,78,0
03.03,2,110,78,0
03.04,2,112,78,0
03.05,5,117,78,0
03.06,18,130,81,0
03.07,8,138,90,0
03.08,12,150,90,0
03.09,10,160,93,0
03.10,6,166,93,0
03.11,12,178,96,0
03.12,9,187,96,0
03.13,13,200,97,0
03.14,12,212,105,0
03.15,14,226,105,0
03.16,17,243,105,0
03.17,23,266,114,0
03.18,47,313,114,0
03.19,32,345,114,0
03.20,40,385,124,0
03.21,47,432,140,2
03.22,23,455,140,2
03.23,54,509,140,2
03.24,49,558,140,2
03.25,73,631,140,2
03.26,52,683,172,2
03.27,49,732,172,2
03.28,70,802,183,2
03.29,41,844,198,3
03.30,35,879,228,3
03.31,47,926,240,3
04.01,74,1000,245,3
04.02,49,1049,266,4
04.03,65,1114,282,5
04.04,73,1187,297,6
04.05,122,1309,297,6
04.06,0,1309,320,6
04.07,66,1375,344,6
04.08,248,1623,406,6
04.09,287,1910,406,6
04.10,198,2108,492,7
04.11,0,2108,492,7
04.12,191,2299,528,8
04.13,233,2532,560,8
04.14,720,3252,611,10
04.15,0,3252,611,10
04.16,447,3699,652,10
04.17,1351,5050,683,10
04.18,942,5992,740,11
04.19,596,6588,740,11
04.20,1426,8014,768,11
04.21,1111,9125,801,11
04.22,1016,10141,839,11
04.23,1037,11178,896,12
04.24,897,12075,924,12
04.25,618,12693,956,12
04.26,931,13624,1002,12
04.27,799,14423,1060,12
04.28,528,14951,1095,14
04.29,690,15641,1188,14
04.30,528,16169,1188,14
05.01,932,17101,1244,15
05.02,447,17548,1268,16
05.03,0,17548,1347,17
05.04,1230,18778,1457,18
05.05,632,19410,1457,18
05.06,788,20198,1519,18
05.07,741,20939,1712,20
05.08,768,21707,1712,20
05.09,753,22460,2296,20
05.10,876,23336,2296,20
05.11,486,23822,2721,20
05.12,849,24671,3225,21
05.13,675,25346,4809,21
05.14,752,26098,4809,21
05.15,793,26891,7248,21
05.16,465,27356,7248,21
05.17,682,28038,8342,22
05.18,305,28343,9340,22
05.19,451,28794,9835,22
05.20,570,29364,10365,22
05.21,448,29812,11207,22
05.22,614,30426,12117,23
05.23,642,31068,13882,23
05.24,548,31616,14876,23
05.25,344,31960,15738,23
05.26,383,32343,15738,23
05.27,533,32876,17276,23
05.28,373,33249,17276,23
05.29,611,33860,18294,23
05.30,506,34366,19631,23
05.31,518,34884,21699,23
06.01,408,35292,22466,24
06.02,544,35836,23175,24
06.03,0,35836,23175,24
06.04,1086,36922,23582,24
06.05,261,37183,24209,24
06.06,344,37527,24209,24
06.07,383,37910,24886,25
06.08,386,38296,25368,25
06.09,218,38514,25877,25
06.10,451,38965,25877,25
06.11,422,39387,27286,25
06.12,463,39850,28040,25
06.13,347,40197,28040,25
06.14,407,40604,28808,26
06.15,214,40818,30366,26
06.16,151,40969,31163,26
06.17,247,41216,31163,26
06.18,0,41216,31163,26
