日期,新增确诊,确诊总数,治愈数,死亡数
02.28,1,1,0,0
02.29,0,1,0,0
03.01,0,1,0,0
03.02,0,1,0,0
03.03,0,1,0,0
03.04,1,2,0,0
03.05,1,3,0,0
03.06,1,4,0,0
03.07,1,5,0,0
03.08,0,5,0,0
03.09,0,5,0,0
03.10,0,5,0,0
03.11,0,5,0,0
03.12,0,5,0,0
03.13,0,5,0,0
03.14,1,6,0,0
03.15,2,8,0,0
03.16,0,8,0,0
03.17,3,11,0,0
03.18,8,20,0,0
03.19,8,28,0,0
03.20,11,39,0,0
03.21,14,53,0,0
03.22,13,66,0,0
03.23,36,102,0,0
03.24,40,142,12,0
03.25,63,205,12,0
03.26,73,278,12,0
03.27,90,368,37,0
03.28,83,451,50,0
03.29,63,514,50,0
03.30,75,589,56,1
03.31,58,647,74,1
04.01,61,708,83,1
04.02,89,797,92,1
04.03,71,868,103,1
04.04,82,950,127,1
04.05,89,1039,156,1
04.06,67,1106,176,1
04.07,54,1160,241,1
04.08,50,1210,282,1
04.09,29,1239,317,1
04.10,44,1283,373,2
04.11,29,1312,422,4
04.12,18,1330,471,4
04.13,19,1349,546,5
04.14,17,1366,628,9
04.15,20,1386,728,9
04.16,15,1401,770,9
04.17,8,1409,816,11
04.18,13,1422,867,11
04.19,9,1431,912,12
04.20,9,1440,974,12
04.21,5,1445,1006,13
04.22,6,1451,1036,14
04.23,0,1451,1065,16
04.24,5,1456,1095,17
04.25,5,1461,1118,18
04.26,9,1470,1142,18
04.27,-1,1469,1180,19
04.28,3,1472,1214,19
04.29,2,1474,1229,19
04.30,2,1476,1241,19
05.01,3,1479,1252,19
05.02,6,1485,1263,20
05.03,0,1485,1263,20
05.04,2,1487,1276,20
05.05,-1,1486,1302,20
05.06,2,1488,1316,21
05.07,1,1489,1332,21
05.08,1,1490,1347,21
05.09,2,1492,1368,21
05.10,2,1494,1371,21
05.11,3,1497,1386,21
05.12,0,1497,1398,21
05.13,0,1497,1402,21
05.14,0,1497,1411,21
05.15,1,1498,1421,21
05.16,0,1498,1428,21
05.17,1,1499,1433,21
05.18,0,1499,1433,21
05.19,4,1503,1442,21
05.20,0,1503,1447,21
05.21,0,1503,1452,21
05.22,1,1504,1455,21
05.23,0,1504,1455,21
05.24,0,1504,1456,21
05.25,0,1504,1456,21
05.26,0,1504,1461,21
05.27,0,1504,1462,21
05.28,0,1504,1474,22
05.29,0,1504,1481,22
05.30,0,1504,1481,22
05.31,0,1504,1481,22
06.01,0,1504,1481,22
06.02,0,1504,1481,22
06.03,0,1504,1481,22
06.04,0,1504,1481,22
06.05,0,1504,1481,22
06.06,0,1504,1481,22
06.07,0,1504,1481,22
06.08,0,1504,1482,22
06.09,0,1504,1482,22
06.10,0,1504,1482,22
06.11,0,1504,1482,22
06.12,0,1504,1482,22
06.13,0,1504,1482,22
06.14,0,1504,1482,22
06.15,0,1504,1482,22
06.16,2,1506,1482,22
06.17,0,1506,1482,22
06.18,0,1506,1482,22
