日期,新增确诊,确诊总数,治愈数,死亡数
03.04,1,1,0,0
03.05,2,3,0,0
03.06,1,4,0,0
03.07,0,4,0,0
03.08,3,7,0,0
03.09,1,8,0,0
03.10,5,13,0,0
03.11,4,17,0,0
03.12,6,23,0,0
03.13,10,33,0,0
03.14,10,43,0,0
03.15,18,61,0,0
03.16,14,75,0,0
03.17,81,156,0,0
03.18,45,201,0,0
03.19,37,238,0,0
03.20,104,342,0,0
03.21,92,434,0,0
03.22,103,537,8,1
03.23,95,632,8,1
03.24,114,746,11,2
03.25,172,922,17,2
03.26,220,1142,17,2
03.27,164,1306,17,2
03.28,304,1610,43,5
03.29,299,1909,61,6
03.30,540,2449,156,8
03.31,289,2738,156,12
04.01,293,3031,234,16
04.02,373,3404,335,18
04.03,333,3737,427,22
04.04,0,3737,427,22
04.05,424,4161,528,27
04.06,310,4471,618,34
04.07,344,4815,728,37
04.08,731,5546,1115,48
04.09,426,5972,1274,57
04.10,0,5972,1274,57
04.11,529,6501,1571,65
04.12,712,7213,2059,73
04.13,312,7525,2367,82
04.14,0,7525,2367,82
04.15,392,7917,2646,92
04.16,356,8273,2937,94
04.17,979,9252,3299,116
04.18,478,9730,4035,126
04.19,358,10088,4338,133
04.20,0,10088,4338,133
04.21,419,10507,4676,139
04.22,789,11296,5386,160
04.23,516,11812,5804,168
04.24,0,11812,5804,168
04.25,1046,12858,6746,181
04.26,0,12858,6746,181
04.27,473,13331,7024,189
04.28,482,13813,7327,198
04.29,552,14365,7710,207
04.30,1658,16023,8580,227
05.01,0,16023,8580,227
05.02,985,17008,9018,234
05.03,1427,18435,9572,247
05.04,2208,20643,10415,270
05.05,1373,22016,10710,275
05.06,0,22016,10710,275
05.07,2565,24581,11664,285
05.08,0,24581,11664,285
05.09,1391,25972,12160,294
05.10,1247,27219,12667,304
05.11,1647,28866,13112,312
05.12,2855,31721,14125,335
05.13,0,31721,14125,335
05.14,5319,37040,15655,368
05.15,2502,39542,16614,394
05.16,0,39542,16614,394
05.17,1886,41428,18014,421
05.18,2353,43781,19213,450
05.19,2278,46059,20165,478
05.20,3520,49579,21507,509
05.21,4038,53617,22504,544
05.22,3964,57581,23992,589
05.23,7812,65393,26546,673
05.24,0,65393,26546,673
05.25,8604,73997,29302,761
05.26,0,73997,29302,761
05.27,3964,77961,30915,806
05.28,4328,82289,33540,841
05.29,4654,86943,36115,890
05.30,3695,90638,38598,944
05.31,4220,94858,40431,997
06.01,4830,99688,42727,1054
06.02,5470,105158,44946,1113
06.03,3528,108686,21325,1188
06.04,4942,113628,21605,1275
06.05,4664,118292,21305,1356
06.06,4207,122499,99358,1448
06.07,5246,127745,103817,1541
06.08,6405,134150,108150,1637
06.09,4696,138846,112248,2264
06.10,3913,142759,117361,2283
06.11,5697,148456,121780,2475
06.12,5636,154092,126444,2648
06.13,6754,160846,131358,2870
06.14,6509,167355,137296,3101
06.15,6938,174293,143704,3323
06.16,10156,184449,156232,3383
06.17,0,184449,156232,3383
06.18,0,184449,156232,3383
