日期,新增确诊,确诊总数,治愈数,死亡数
03.06,1,1,0,0
03.07,0,1,0,0
03.08,0,1,0,0
03.09,0,1,0,0
03.10,0,1,0,0
03.11,0,1,0,0
03.12,0,1,0,0
03.13,0,1,0,0
03.14,0,1,0,0
03.15,0,1,0,0
03.16,0,1,0,0
03.17,0,1,0,0
03.18,0,1,0,0
03.19,0,1,0,0
03.20,0,1,0,0
03.21,0,1,0,0
03.22,0,1,0,0
03.23,0,1,0,0
03.24,0,1,0,0
03.25,3,4,0,0
03.26,0,4,0,0
03.27,0,4,0,0
03.28,3,4,0,0
03.29,2,6,0,0
03.30,0,6,0,0
03.31,0,6,0,0
04.01,0,6,0,0
04.02,0,6,0,0
04.03,1,7,0,0
04.04,0,7,0,0
04.05,0,7,0,0
04.06,0,7,0,0
04.07,0,7,0,0
04.08,0,7,0,0
04.09,1,8,2,0
04.10,0,8,2,0
04.11,0,8,2,0
04.12,0,8,2,0
04.13,0,8,2,0
04.14,0,8,2,0
04.15,0,8,2,0
04.16,0,8,2,0
04.17,0,8,2,0
04.18,0,8,2,0
04.19,0,8,2,0
04.20,0,8,2,0
04.21,1,9,2,0
04.22,0,9,2,0
04.23,0,9,2,0
04.24,0,9,2,0
04.25,0,9,2,0
04.26,0,9,2,0
04.27,0,9,2,0
04.28,0,9,2,0
04.29,1,10,2,0
04.30,0,10,2,0
05.01,1,11,2,0
05.02,0,11,2,0
05.03,0,11,2,0
05.04,0,11,2,0
05.05,0,11,2,0
05.06,0,11,2,0
05.07,1,12,2,0
05.08,0,12,2,0
05.09,0,12,2,0
05.10,0,12,2,0
05.11,0,12,2,0
05.12,0,12,2,0
05.13,0,12,2,0
05.14,0,12,2,0
05.15,0,12,2,0
05.16,0,12,2,0
05.17,0,12,2,0
05.18,0,12,2,0
05.19,0,12,2,0
05.20,0,12,2,0
05.21,0,12,2,0
05.22,0,12,2,0
05.23,0,12,2,0
05.24,0,12,2,0
05.25,0,12,2,0
05.26,0,12,2,0
05.27,0,12,2,0
05.28,0,12,2,0
05.29,0,12,2,0
05.30,0,12,2,0
05.31,0,12,2,0
06.01,0,12,2,0
06.02,0,12,2,0
06.03,0,12,2,0
06.04,0,12,2,0
06.05,0,12,2,0
06.06,0,12,2,0
06.07,0,12,12,0
06.08,0,12,12,0
06.09,0,12,12,0
06.10,0,12,12,0
06.11,0,12,12,0
06.12,0,12,12,0
06.13,0,12,12,0
06.14,0,12,12,0
06.15,0,12,12,0
06.16,0,12,12,0
06.17,0,12,12,0
06.18,0,12,12,0
