日期,新增确诊,确诊总数,治愈数,死亡数
02.04,0,1,0,0
02.05,0,1,0,0
02.06,0,1,0,0
02.07,0,1,0,0
02.08,0,1,0,0
02.09,0,1,0,0
02.10,0,1,0,0
02.11,0,1,0,0
02.12,0,1,0,0
02.13,0,1,0,0
02.14,0,1,0,0
02.15,0,1,0,0
02.16,0,1,0,0
02.17,0,1,0,0
02.18,0,1,1,0
02.19,0,1,1,0
02.20,0,1,1,0
02.21,0,1,1,0
02.22,0,1,1,0
02.23,0,1,1,0
02.24,0,1,1,0
02.25,0,1,1,0
02.26,0,1,1,0
02.27,0,1,1,0
02.28,0,1,1,0
02.29,0,1,1,0
03.01,1,2,1,0
03.02,6,8,1,0
03.03,5,13,1,0
03.04,10,23,1,0
03.05,27,50,1,0
03.06,59,109,1,0
03.07,60,169,1,0
03.08,31,200,1,0
03.09,39,239,1,0
03.10,28,267,1,0
03.11,75,314,1,1
03.12,85,399,1,3
03.13,157,556,1,3
03.14,133,689,1,4
03.15,197,886,1,4
03.16,199,1085,1,4
03.17,243,1486,1,14
03.18,401,1486,1,14
03.19,309,1795,1,21
03.20,771,2257,1,37
03.21,558,2815,1,67
03.22,586,3401,1,75
03.23,342,3743,350,88
03.24,526,4269,350,122
03.25,668,4937,350,122
03.26,1298,6235,350,220
03.27,1049,7284,675,289
03.28,1850,9134,675,353
03.29,1702,10836,1063,431
03.30,1063,11899,1527,513
03.31,876,12775,1696,705
04.01,1189,13964,2132,828
04.02,1384,15348,2495,1011
04.03,1422,16770,2872,1143
04.04,1661,18431,3247,1283
04.05,1260,19691,3751,1447
04.06,1123,20814,3986,1632
04.07,1380,22194,4157,2035
04.08,1209,23403,4681,2240
04.09,1580,24983,5164,2523
04.10,1684,26667,5568,3019
04.11,1351,28018,5986,3346
04.12,1629,29647,6463,3600
04.13,942,30589,6707,3903
04.14,530,31119,6868,4157
04.15,2454,33573,7107,4440
04.16,1236,34809,7562,4857
04.17,1329,36138,7961,5163
04.18,1045,37183,8348,5453
04.19,1313,38496,8757,5683
04.20,1487,39983,8895,5828
04.21,973,40956,9002,5998
04.22,933,41889,9433,6262
04.23,908,42797,9800,6490
04.24,1496,44293,10122,6679
04.25,1032,45325,10417,6917
04.26,809,46134,10785,7094
04.27,553,46687,10878,7207
04.28,647,47334,10943,7331
04.29,525,47859,11283,7501
04.30,660,48519,11576,7594
05.01,513,49032,11892,7703
05.02,485,49517,12211,7765
05.03,0,49517,12211,7765
05.04,750,50267,12378,7924
05.05,242,50509,12441,8016
05.06,272,50781,12731,8339
05.07,639,51420,12980,8415
05.08,591,52011,13201,8521
05.09,585,52596,13411,8581
05.10,485,53081,13642,8656
05.11,368,53449,13697,8707
05.12,330,53779,13732,8761
05.13,202,53981,13937,8843
05.14,307,54288,14111,8903
05.15,356,54644,14301,8959
05.16,345,54989,14460,9005
05.17,291,55280,14630,9052
05.18,279,55559,14657,9080
05.19,232,55791,14687,9108
05.20,192,55983,14847,9150
05.21,252,56235,14988,9186
05.22,276,56511,15123,9212
05.23,299,56810,15155,9237
05.24,282,57092,15272,9280
05.25,250,57342,15297,9312
05.26,113,57455,15320,9334
05.27,137,57592,15465,9364
05.28,257,57849,15572,9388
05.29,212,58061,15682,9430
05.30,125,58186,15769,9453
05.31,195,58381,15887,9467
06.01,136,58517,15919,9486
06.02,98,58615,15934,9505
06.03,0,58615,15934,9505
06.04,152,58767,16048,9548
06.05,140,58907,16112,9566
06.06,165,59072,16190,9580
06.07,154,59226,16291,9595
06.08,122,59348,16315,9606
06.09,89,59437,16324,9619
06.10,132,59569,16392,9629
06.11,142,59711,16453,9636
06.12,108,59819,16498,9646
06.13,99,59918,16547,9650
06.14,111,60029,16589,9655
06.15,71,60100,16610,9661
06.16,55,60155,16625,9663
06.17,89,60244,16684,9675
06.18,0,60244,16684,9675
