日期,新增确诊,确诊总数,治愈数,死亡数
03.14,1,1,0,0
03.15,0,1,0,0
03.16,0,1,0,0
03.17,0,1,0,0
03.18,0,1,0,0
03.19,1,2,0,0
03.20,0,2,0,0
03.21,0,2,0,0
03.22,0,2,0,0
03.23,0,2,0,0
03.24,0,2,0,0
03.25,0,2,0,0
03.26,1,3,0,0
03.27,1,3,0,0
03.28,2,5,0,0
03.29,0,5,0,0
03.30,0,5,2,0
03.31,1,6,2,1
04.01,0,6,2,1
04.02,0,6,2,1
04.03,0,6,2,1
04.04,0,6,2,1
04.05,0,6,2,1
04.06,0,6,2,1
04.07,0,6,2,1
04.08,0,6,2,1
04.09,1,7,2,1
04.10,0,7,2,1
04.11,0,7,2,1
04.12,0,7,2,1
04.13,0,7,2,1
04.14,0,7,2,1
04.15,0,7,2,1
04.16,0,7,2,1
04.17,0,7,2,1
04.18,0,7,2,1
04.19,0,7,6,1
04.20,0,7,6,1
04.21,0,7,6,1
04.22,0,7,6,1
04.23,0,7,6,1
04.24,0,7,6,1
04.25,0,7,6,1
04.26,0,7,6,1
04.27,0,7,6,1
04.28,0,7,6,1
04.29,1,8,6,1
04.30,0,8,6,1
05.01,0,8,6,1
05.02,0,8,6,1
05.03,0,8,6,1
05.04,0,8,6,1
05.05,0,8,6,1
05.06,0,8,6,1
05.07,0,8,6,1
05.08,0,8,6,1
05.09,0,8,6,1
05.10,0,8,6,1
05.11,0,8,6,1
05.12,0,8,6,1
05.13,1,9,6,2
05.14,7,16,6,2
05.15,10,26,7,2
05.16,3,29,7,3
05.17,11,40,7,4
05.18,22,62,7,4
05.19,19,81,7,4
05.20,50,131,7,4
05.21,10,141,7,4
05.22,32,173,7,5
05.23,27,200,7,6
05.24,27,227,7,6
05.25,10,237,15,6
05.26,25,262,15,9
05.27,6,268,15,13
05.28,24,292,15,16
05.29,54,346,15,19
05.30,77,423,21,20
05.31,60,483,21,20
06.01,47,530,27,23
06.02,58,588,27,23
06.03,80,668,55,31
06.04,77,745,57,34
06.05,39,784,65,39
06.06,99,883,69,43
06.07,64,947,104,49
06.08,102,1049,108,55
06.09,55,1104,119,59
06.10,58,1162,139,61
06.11,121,1283,142,71
06.12,156,1439,250,74
06.13,133,1572,278,81
06.14,110,1682,311,83
06.15,101,1783,332,87
06.16,104,1887,360,91
06.17,170,2057,373,93
06.18,0,2057,373,93
