日期,新增确诊,确诊总数,治愈数,死亡数
01.28,0,3,0,0
01.29,1,4,0,0
01.30,2,6,0,0
01.31,0,6,0,0
02.01,0,6,0,0
02.02,0,6,0,0
02.03,0,6,0,0
02.04,0,6,0,0
02.05,0,6,0,0
02.06,0,6,0,0
02.07,0,6,0,0
02.08,5,11,0,0
02.09,0,11,0,0
02.10,0,11,0,0
02.11,0,11,0,0
02.12,0,11,0,0
02.13,0,11,0,0
02.14,0,11,0,0
02.15,0,11,1,1
02.16,1,12,4,1
02.17,0,12,4,1
02.18,0,12,4,1
02.19,0,12,4,1
02.20,0,12,4,1
02.21,0,12,4,1
02.22,0,12,4,1
02.23,0,12,4,1
02.24,0,12,4,1
02.25,0,12,11,1
02.26,5,17,11,2
02.27,1,18,11,2
02.28,23,41,12,2
02.29,16,73,12,2
03.01,27,100,12,2
03.02,30,130,12,2
03.03,74,204,12,3
03.04,55,257,12,4
03.05,120,377,12,6
03.06,46,423,12,9
03.07,293,716,12,11
03.08,233,949,12,16
03.09,260,1209,12,21
03.10,465,1606,20,30
03.11,282,1888,21,33
03.12,497,2370,26,48
03.13,519,2889,28,61
03.14,778,3667,28,79
03.15,839,4500,28,91
03.16,900,5400,28,127
03.17,1233,6633,28,148
03.18,1097,7730,602,175
03.19,1404,9134,602,264
03.20,1861,10995,1300,372
03.21,1617,12612,1587,450
03.22,1847,14459,1587,562
03.23,2221,16680,2200,674
03.24,3176,19856,2200,860
03.25,2444,22300,3281,1100
03.26,2933,25233,3900,1331
03.27,3922,29155,3900,1696
03.28,4259,33414,5700,1995
03.29,4691,38105,5724,2317
03.30,2646,40751,7238,2612
03.31,4481,45232,7991,3032
04.01,7604,52836,9522,3532
04.02,4971,57807,11055,4043
04.03,2122,59929,12548,5398
04.04,23102,83031,14138,6521
04.05,7832,90863,15574,7574
04.06,2917,93780,16354,8093
04.07,5204,98984,17429,8926
04.08,11086,110070,19523,10343
04.09,2880,112950,21254,10869
04.10,5840,118790,23469,12228
04.11,7141,125931,25195,13215
04.12,4799,130730,26674,13851
04.13,2955,133685,27469,14412
04.14,4202,137887,28011,14986
04.15,5416,143303,29123,15729
04.16,4560,147863,31470,17188
04.17,106,147969,33398,17942
04.18,1177,149146,35018,18703
04.19,3832,152978,36588,19349
04.20,1120,154098,37188,19744
04.21,2397,156495,38046,20294
04.22,2820,159315,39850,20829
04.23,-2180,157135,41331,21373
04.24,2360,159495,42792,21889
04.25,457,159952,44271,22279
04.26,1713,161665,45372,22648
04.27,555,162220,45683,22890
04.28,3816,166036,46394,23327
04.29,3017,169053,47775,23694
04.30,-2425,166628,49132,24121
05.01,673,167301,50381,24410
05.02,4,167305,50212,24597
05.03,1212,168517,50663,24763
05.04,408,168925,50885,24900
05.05,658,169583,51476,25204
05.06,1111,170694,52859,25538
05.07,3530,174224,54081,25812
05.08,694,174918,55191,25990
05.09,1284,176202,55892,26233
05.10,580,176782,56148,26313
05.11,312,177094,56328,26383
05.12,453,177547,56835,26646
05.13,802,178349,57898,26994
05.14,-165,178184,58786,27077
05.15,810,178994,59719,27428
05.16,636,179630,60562,27532
05.17,0,179630,60562,27532
05.18,63,179693,61327,28111
05.19,358,180051,61843,28242
05.20,883,180934,62681,28025
05.21,766,181700,63472,28135
05.22,251,181951,63976,28218
05.23,67,182018,63986,28218
05.24,18,182036,63988,28218
05.25,673,182709,64735,28370
05.26,358,183067,65317,28460
05.27,-220,182847,65997,28533
05.28,191,183038,66702,28599
05.29,3326,186364,67309,28665
05.30,560,186924,67921,28717
05.31,1828,188752,68386,28774
06.01,258,189010,68473,28805
06.02,338,189348,68558,28836
06.03,-898,188450,68930,28943
06.04,352,188802,69573,29024
06.05,767,189569,70094,29068
06.06,611,190180,70622,29114
06.07,579,190759,70924,29145
06.08,343,191102,70961,29158
06.09,211,191313,71182,29212
06.10,210,191523,71626,29299
06.11,545,192068,71952,29322
06.12,425,192493,72269,29349
06.13,727,193220,72695,29377
06.14,526,193746,72931,29401
06.15,407,194153,72982,29410
06.16,152,194305,73168,29439
06.17,42,194347,73459,29550
06.18,0,194347,73459,29550
