日期,新增确诊,确诊总数,治愈数,死亡数
03.05,2,2,0,0
03.06,0,2,0,0
03.07,1,3,0,0
03.08,0,3,0,0
03.09,0,3,0,0
03.10,2,5,0,0
03.11,2,7,0,0
03.12,4,11,0,0
03.13,2,13,0,0
03.14,5,18,0,0
03.15,3,21,0,0
03.16,3,24,0,0
03.17,0,24,0,0
03.18,0,24,0,0
03.19,14,38,0,0
03.20,26,64,0,0
03.21,27,91,2,0
03.22,29,93,0,1
03.23,33,126,0,1
03.24,5,131,2,1
03.25,37,168,2,3
03.26,45,176,2,3
03.27,55,231,5,4
03.28,36,274,5,4
03.29,4,278,8,6
03.30,46,324,8,6
03.31,87,411,17,12
04.01,44,455,19,13
04.02,63,518,20,15
04.03,50,568,27,17
04.04,49,617,28,19
04.05,37,654,30,21
04.06,20,674,47,29
04.07,80,754,68,33
04.08,45,799,79,34
04.09,42,841,95,35
04.10,45,886,129,36
04.11,49,935,139,37
04.12,65,1000,193,38
04.13,30,1030,206,39
04.14,53,1083,236,40
04.15,27,1110,253,41
04.16,57,1167,277,43
04.17,32,1199,320,46
04.18,69,1268,338,47
04.19,17,1285,347,48
04.20,24,1309,381,49
04.21,33,1342,437,51
04.22,26,1368,460,53
04.23,45,1413,485,54
04.24,8,1421,538,55
04.25,65,1486,592,57
04.26,30,1516,624,59
04.27,49,1565,659,60
04.28,20,1585,682,63
04.29,92,1677,710,65
04.30,80,1757,727,69
05.01,0,1757,727,69
05.02,82,1839,779,72
05.03,0,1839,779,72
05.04,87,1926,855,78
05.05,20,1946,911,79
05.06,41,1987,928,86
05.07,40,2027,954,90
05.08,43,2070,960,98
05.09,20,2090,1059,102
05.10,27,2117,1106,107
05.11,24,2141,1114,113
05.12,17,2158,1168,117
05.13,23,2181,1228,120
05.14,37,2218,1272,122
05.15,18,2236,1336,128
05.16,31,2267,1355,129
05.17,23,2290,1436,133
05.18,14,2304,1464,133
05.19,17,2321,1522,134
05.20,17,2338,1557,136
05.21,12,2350,1596,140
05.22,22,2372,1614,141
05.23,19,2391,1662,141
05.24,10,2401,1680,144
05.25,5,2406,1696,146
05.26,10,2416,1721,149
05.27,19,2435,1744,151
05.28,27,2462,1781,153
05.29,23,2485,1803,153
05.30,9,2494,1831,153
05.31,16,2510,1862,153
06.01,14,2524,1888,154
06.02,11,2535,1910,157
06.03,0,2535,1910,157
06.04,59,2594,1951,159
06.05,12,2606,1968,159
06.06,0,2606,1968,159
06.07,0,2606,1968,159
06.08,98,2704,2023,160
06.09,24,2728,2049,160
06.10,0,2728,2049,160
06.11,104,2832,2100,161
06.12,61,2893,2119,163
06.13,0,2893,2119,163
06.14,0,2893,2119,163
06.15,147,3040,2162,165
06.16,45,3085,2178,168
06.17,56,3141,2197,168
06.18,0,3141,2197,168
