日期,新增确诊,确诊总数,治愈数,死亡数
01.28,0,14,2,0
01.29,0,14,2,0
01.30,0,14,2,0
01.31,5,19,7,0
02.01,0,19,7,0
02.02,0,19,7,0
02.03,0,19,7,0
02.04,6,25,10,0
02.05,0,25,10,0
02.06,0,25,10,0
02.07,0,25,10,0
02.08,7,32,10,0
02.09,0,32,10,0
02.10,0,32,10,0
02.11,1,33,10,0
02.12,0,33,10,0
02.13,0,33,10,0
02.14,0,33,10,0
02.15,1,34,10,0
02.16,0,35,14,0
02.17,0,35,14,0
02.18,0,35,15,0
02.19,0,35,15,0
02.20,0,35,15,0
02.21,0,35,17,0
02.22,0,35,17,0
02.23,0,35,17,0
02.24,0,35,17,0
02.25,2,37,17,0
02.26,3,40,22,0
02.27,0,40,22,0
02.28,1,41,28,0
02.29,1,42,28,0
03.01,0,42,28,1
03.02,1,43,28,1
03.03,0,43,28,1
03.04,0,43,28,1
03.05,4,47,28,1
03.06,1,48,28,1
03.07,2,50,31,1
03.08,0,50,31,1
03.09,0,50,31,1
03.10,3,53,33,1
03.11,6,59,34,1
03.12,11,70,34,1
03.13,5,75,34,1
03.14,7,82,35,1
03.15,32,114,35,1
03.16,33,147,37,1
03.17,30,177,41,1
03.18,35,212,41,1
03.19,60,272,42,1
03.20,50,322,43,1
03.21,89,411,44,1
03.22,188,599,44,1
03.23,122,721,45,1
03.24,106,827,57,4
03.25,107,934,70,4
03.26,111,1045,70,4
03.27,109,1245,97,5
03.28,0,1245,97,6
03.29,143,1388,100,7
03.30,136,1524,127,9
03.31,127,1651,342,10
04.01,120,1771,416,12
04.02,104,1875,505,15
04.03,103,1978,581,19
04.04,89,2067,612,20
04.05,102,2169,674,23
04.06,51,2220,793,26
04.07,38,2258,824,27
04.08,111,2369,888,30
04.09,54,2423,940,32
04.10,50,2473,1013,33
04.11,45,2518,1135,35
04.12,33,2551,1218,38
04.13,28,2579,1288,40
04.14,34,2613,1405,41
04.15,30,2643,1497,43
04.16,29,2672,1593,46
04.17,28,2700,1689,47
04.18,33,2733,1787,47
04.19,32,2765,1928,47
04.20,27,2792,1999,47
04.21,19,2811,2108,48
04.22,15,2826,2352,49
04.23,13,2839,2430,50
04.24,15,2854,2490,50
04.25,53,2907,2547,51
04.26,15,2922,2594,51
04.27,9,2931,2609,52
04.28,7,2938,2652,54
04.29,9,2947,2665,54
04.30,7,2954,2684,54
05.01,6,2960,2719,54
05.02,6,2966,2732,54
05.03,0,2966,2732,54
05.04,21,2987,2740,54
05.05,1,2988,2747,54
05.06,1,2989,2761,55
05.07,3,2992,2772,55
05.08,8,3000,2784,55
05.09,4,3004,2787,56
05.10,5,3009,2794,56
05.11,6,3015,2796,56
05.12,2,3017,2798,56
05.13,0,3017,2844,56
05.14,1,3018,2850,56
05.15,7,3025,2854,56
05.16,0,3025,2855,56
05.17,3,3028,2856,56
05.18,3,3031,2857,56
05.19,2,3033,2857,56
05.20,1,3034,2888,56
05.21,3,3037,2897,56
05.22,0,3037,2910,56
05.23,3,3040,2916,56
05.24,0,3040,2921,56
05.25,2,3042,2928,57
05.26,3,3045,2929,57
05.27,9,3054,2931,57
05.28,11,3065,2945,57
05.29,11,3076,2945,57
05.30,1,3077,2961,57
05.31,4,3081,2963,57
06.01,1,3082,2965,57
06.02,1,3083,2966,58
06.03,0,3083,2966,58
06.04,18,3101,2968,58
06.05,1,3102,2971,58
06.06,2,3104,2971,58
06.07,8,3112,2972,58
06.08,7,3119,2973,58
06.09,2,3121,2973,58
06.10,4,3125,2981,58
06.11,0,3125,2987,58
06.12,4,3129,2987,58
06.13,5,3134,2987,58
06.14,1,3135,2987,58
06.15,0,3135,2987,58
06.16,0,3135,2993,58
06.17,0,3135,2996,58
